q,phase,dt_ms,offset_from_low_fold_mv,additive_mv,outcome,contained_local_cycle,bounded_ceiling_cycle,core_poincare_closure_scaled,core_recent_peak_drift,final_fast_rhs_max_per_ms,core_status,core_returns,core_period_ms,core_period_cv,core_peak_hz,core_tail_mean_hz,core_sustained_ceiling,core_support_violations,core_bound_violations,core_return_times_ms,annulus_status,annulus_returns,annulus_period_ms,annulus_period_cv,annulus_peak_hz,annulus_tail_mean_hz,annulus_sustained_ceiling,annulus_support_violations,annulus_bound_violations,annulus_return_times_ms,bath_status,bath_returns,bath_period_ms,bath_period_cv,bath_peak_hz,bath_tail_mean_hz,bath_sustained_ceiling,bath_support_violations,bath_bound_violations,bath_return_times_ms
0.835,0.0,0.125,-0.005,0.3027171045276467,bounded_CCO,True,False,1.1506246831962873e-05,0.0009745740065010471,2.348539157522641e-06,C,7,1618.2243716027015,6.594011859241016e-08,153.5668969154358,8.416609028577358,False,0,0,"[1601.6268866750338, 3219.8511261077465, 4838.075410048409, 6456.299762686377, 8074.524183228601, 9692.748653985642, 11310.972877494482]",C,8,1618.2243869606,2.672786885266196e-08,101.46284103393555,5.31306817601091,False,0,0,"[6.487874501027084, 1608.2863636568134, 3226.510796893239, 4844.735133255763, 6462.959413797077, 8081.183747757494, 9699.408134773936, 11317.632574678877]",O_unresolved,0,,,14.061507768929005,1.1395181028707744,False,0,0,[]
0.835,0.0,0.125,0.0,0.3077171045276467,LLL,False,False,,,1.024081015474354e-09,L,0,,,145.59972286224365,2.680146769284012,False,0,0,[],L,1,,,94.47649866342545,1.8934582486960614,False,0,0,[6.488599869557134],L,0,,,9.476753883063793,0.8534734916246818,False,0,0,[]
0.835,0.0,0.125,0.005,0.3127171045276467,LLL,False,False,,,3.469446951953614e-18,L,0,,,145.5669403076172,2.3682168684899807,False,0,0,[],L,1,,,94.44357454776764,1.744107692502439,False,0,0,[6.489325672705209],L,0,,,9.467076510190964,0.8471139008179307,False,0,0,[]
0.835,0.0,0.125,0.025,0.33271710452764675,LLL,False,False,,,3.4212601887320364e-18,L,0,,,145.43558657169342,2.0106120500713587,False,0,0,[],L,1,,,94.31170672178268,1.5621419297531247,False,0,0,[6.492233239566316],L,0,,,9.428407065570354,0.839579151943326,False,0,0,[]
0.835,0.25,0.125,-0.005,0.3027171045276467,bounded_CCO,True,False,1.1481310025641992e-05,0.0009744764521283098,2.3485383261707266e-06,C,7,1618.2243714279412,6.567890228902546e-08,153.5668969154358,8.416608991514995,False,0,0,"[1601.6267827408583, 3219.851021097214, 4838.075305319559, 6456.299658235939, 8074.524079054092, 9692.748548728512, 11310.972772519763]",C,8,1618.224387176663,2.6727532898234798e-08,101.46284103393555,5.313068174151983,False,0,0,"[6.487877043559996, 1608.2862592880263, 3226.5106927399956, 4844.735028262262, 6462.959309023001, 8081.183643200194, 9699.408030432603, 11317.63247055299]",O_unresolved,0,,,14.06150870025158,1.1395180999662007,False,0,0,[]
0.835,0.25,0.125,0.0,0.3077171045276467,LLL,False,False,,,1.0240809954382978e-09,L,0,,,145.5996185541153,2.680146769284012,False,0,0,[],L,1,,,94.47640925645828,1.8934582486960614,False,0,0,[6.488602414822085],L,0,,,9.476699866354465,0.8534734916246818,False,0,0,[]
0.835,0.25,0.125,0.005,0.3127171045276467,LLL,False,False,,,3.469446951953614e-18,L,0,,,145.56683599948883,2.3682168684899807,False,0,0,[],L,1,,,94.44348514080048,1.744107692502439,False,0,0,[6.489328220704927],L,0,,,9.467022493481636,0.8471139008179307,False,0,0,[]
0.835,0.25,0.125,0.025,0.33271710452764675,LLL,False,False,,,3.4212601887320364e-18,L,0,,,145.43548226356506,2.0106120500713587,False,0,0,[],L,1,,,94.31161731481552,1.5621419297531247,False,0,0,[6.492235798532445],L,0,,,9.428353980183601,0.839579151943326,False,0,0,[]
0.835,0.5,0.125,-0.005,0.3027171045276467,bounded_CCO,True,False,1.1479733669014069e-05,0.0009744764521283098,2.3485382736181463e-06,C,7,1618.2243714169006,6.566242622982763e-08,153.5668969154358,8.416609039847105,False,0,0,"[1601.6267761707998, 3219.8510144590555, 4838.075298699229, 6456.2996516332405, 8074.524072468857, 9692.748542074816, 11310.972765883942]",C,8,1618.2243871903265,2.6727511315587938e-08,101.46284103393555,5.313068119197444,False,0,0,"[6.487876984227129, 1608.2862526904862, 3226.510686156021, 4844.735021625194, 6462.959302399837, 8081.183636590754, 9699.408023836791, 11317.632463970816]",O_unresolved,0,,,14.061509631574154,1.1395180995014687,False,0,0,[]
0.835,0.5,0.125,0.0,0.3077171045276467,LLL,False,False,,,1.0240809941372552e-09,L,0,,,145.5996185541153,2.680146769748744,False,0,0,[],L,1,,,94.47640180587769,1.8934582486960614,False,0,0,[6.488602355574464],L,0,,,9.476697072386742,0.8534734916246818,False,0,0,[]
