q_hold,phase,dt_ms,cycle_window_start_ms,cycle_window_stop_ms,integrated_returns,q_reserve,tau_depletion_ms,q_min,q_max,q_mean,window_rho,per_period_rho,stroboscopic_iterations,stroboscopic_convergence_error,fixed_point_error,window_closure_error,window_duration_ms,window_interval_count,q_stroboscopic,q_mean_minus_hold
0.84,0.0,0.125,2529.5875175855635,6694.277472859354,8,0.8362999338538206,246.00798814657406,0.839443473748611,0.840631723639928,0.8400352055277955,0.027753970667983918,0.6388746273170429,9,2.0317081350640365e-14,6.661338147750939e-16,1.887379141862766e-15,4164.6899552737905,4166,0.8404686389893629,3.5205527795567626e-05
0.84,0.25,0.125,2485.5491672163266,6650.239217065324,8,0.8362999338538206,246.00798814657406,0.8394434708943921,0.8406317228104103,0.8400352044238014,0.027753938433194167,0.63887453456455,9,2.042810365310288e-14,5.551115123125783e-16,2.220446049250313e-16,4164.690049848998,4166,0.8404686348290326,3.520442380144928e-05
0.84,0.5,0.125,2476.1338984730237,6640.823688263769,8,0.8362999338538206,246.00798814657406,0.839443480662552,0.8406317327234214,0.840035212958105,0.027754175811838814,0.6388752175964556,9,2.0317081350640365e-14,5.551115123125783e-16,4.440892098500626e-16,4164.689789790746,4165,0.8404686491918841,3.521295810504643e-05
0.84,0.75,0.125,2474.612277939128,6639.302086035655,8,0.8362999338538206,246.00798814657406,0.8394434738987745,0.8406317236438575,0.8400352067070486,0.027754006193727667,0.638874729538829,9,2.042810365310288e-14,5.551115123125783e-16,2.55351295663786e-15,4164.689808096527,4166,0.8404686420182044,3.5206707048596186e-05
0.8425,0.0,0.125,2648.42724520521,7001.511398869863,8,0.8392058222678087,218.56023084786557,0.8419403550776771,0.8431441898813347,0.8425401959618901,0.018018192654474748,0.6052905634616869,8,3.452793606584237e-14,5.551115123125783e-16,1.1102230246251565e-15,4353.084153664653,4354,0.8429694695219685,4.019596189008823e-05
0.8425,0.25,0.125,2604.419758821695,6957.503942846831,8,0.8392058222678087,218.56023084786557,0.8419403550157849,0.843144190071786,0.842540195853293,0.018018189733193243,0.60529055119475,8,3.452793606584237e-14,6.661338147750939e-16,4.440892098500626e-16,4353.084184025136,4354,0.8429694681839657,4.019585329295694e-05
0.8425,0.5,0.125,2595.0244560974425,6948.108519157337,8,0.8392058222678087,218.56023084786557,0.8419403514796481,0.8431441840271182,0.8425401920118227,0.018018106545023938,0.6052902018733468,8,3.452793606584237e-14,6.661338147750939e-16,7.771561172376096e-16,4353.084063059894,4354,0.8429694404726372,4.019201182270393e-05
0.8425,0.75,0.125,2593.5068928445385,6946.590808675182,8,0.8392058222678087,218.56023084786557,0.8419403568689716,0.8431441867388912,0.8425401967500461,0.018018214151644153,0.6052906537317492,8,3.452793606584237e-14,6.661338147750939e-16,9.992007221626409e-16,4353.083915830644,4354,0.8429694778668753,4.019675004607315e-05
0.845,0.0,0.125,2797.1156019409286,7385.787468117932,8,0.8421155907193791,189.8153446637312,0.8444346994017178,0.84566368126061,0.8450474241553251,0.01001072702832915,0.5624166929683714,7,5.4289905904170155e-14,5.551115123125783e-16,3.3306690738754696e-16,4588.671866177003,4589,0.8454723637842507,4.7424155325104245e-05
0.845,0.25,0.125,2753.1342913990734,7341.806128168255,8,0.8421155907193791,189.8153446637312,0.8444346980792325,0.8456636817830127,0.8450474241268453,0.01001072687852046,0.5624166919163135,7,5.440092820663267e-14,5.551115123125783e-16,2.886579864025407e-15,4588.671836769181,4589,0.8454723634593775,4.742412684533015e-05
0.845,0.5,0.125,2743.7558174932487,7332.427638061716,8,0.8421155907193791,189.8153446637312,0.8444346964845151,0.8456636741862681,0.8450474216912853,0.010010687653677176,0.562416416452495,7,5.4289905904170155e-14,5.551115123125783e-16,1.6653345369377348e-15,4588.6718205684665,4590,0.845472360190229,4.742169128535423e-05
0.845,0.75,0.125,2742.2414762714593,7330.9133356869825,8,0.8421155907193791,189.8153446637312,0.8444346988552848,0.8456636794280297,0.8450474230762397,0.010010709671100352,0.5624165710740949,7,5.4289905904170155e-14,5.551115123125783e-16,2.1094237467877974e-15,4588.671859415523,4589,0.8454723565461215,4.7423076239727635e-05
0.84,0.0,0.0625,2527.284995035425,6687.472440258568,8,0.8362999338538206,246.00798814657406,0.8394428745090475,0.8406298554722836,0.8400339425285721,0.027829481195968734,0.6390916432701732,9,2.0872192862952943e-14,5.551115123125783e-16,1.5543122344752192e-15,4160.187445223143,4161,0.8404674122368553,3.394252857213953e-05
0.84,0.25,0.0625,2483.232418446905,6643.419863616005,8,0.8362999338538206,246.00798814657406,0.8394428733079302,0.8406298564051577,0.840033939511457,0.027829398931439868,0.6390914071238337,9,2.0872192862952943e-14,5.551115123125783e-16,3.3306690738754696e-16,4160.1874451691,4161,0.8404674031151104,3.393951145702623e-05
0.84,0.5,0.0625,2473.811419342897,6633.998864422375,8,0.8362999338538206,246.00798814657406,0.8394429517450827,0.8406298949765421,0.8400339891820073,0.02783074625757919,0.6390952746450236,9,2.0761170560490427e-14,5.551115123125783e-16,2.220446049250313e-16,4160.1874450794785,4161,0.8404674384656657,3.398918200736567e-05
0.84,0.75,0.0625,2472.2888669501267,6632.476312152164,8,0.8362999338538206,246.00798814657406,0.8394428746278176,0.8406298554064019,0.8400339428423872,0.02782948974009053,0.6390916677966639,9,2.0872192862952943e-14,4.440892098500626e-16,2.1094237467877974e-15,4160.1874452020365,4161,0.8404674129552369,3.394284238722456e-05
0.8425,0.0,0.0625,2646.2169279214554,6994.979354750819,8,0.8392058222678087,218.56023084786557,0.8419401634902249,0.8431428611558628,0.8425393984854743,0.018074193427807778,0.6055254006783395,8,3.519406988061746e-14,6.661338147750939e-16,2.4424906541753444e-15,4348.762426829364,4349,0.8429687813163111,3.93984854742957e-05
