tau_recovery_s,q_hold,substeps,outcome,entered,entry_event_index,first_crossing_ms,minimum_q_before_last,minimum_q_after_last,minimum_q_full,final_q,pre_last_margin_pass,last_event_crosses_fold,last_event_target_reached,entry_pass
20.0,0.84,1,premature_entry_event_5,True,5,7611.0,0.8545707103648724,0.8549647136107842,0.8545707103648724,0.8550000005279298,False,False,True,False
20.0,0.84,2,premature_entry_event_5,True,5,7611.0,0.8545707103648786,0.8549647136107905,0.8545707103648786,0.8550000005279361,False,False,True,False
20.0,0.8425,1,premature_entry_event_5,True,5,7607.0,0.8543285396912361,0.8549645662912083,0.8543285396912361,0.8549999997971667,False,False,True,False
20.0,0.8425,2,premature_entry_event_5,True,5,7606.5,0.8543285396912409,0.8549645662912153,0.8543285396912409,0.8549999997971736,False,False,True,False
20.0,0.845,1,premature_entry_event_5,True,5,7601.0,0.8540571363172349,0.8549643953315428,0.8540571363172349,0.8550000001388488,False,False,True,False
20.0,0.845,2,premature_entry_event_5,True,5,7601.0,0.8540571363172355,0.8549643953315511,0.8540571363172355,0.8550000001388577,False,False,True,False
40.0,0.84,1,entry_event_6,True,6,10998.0,0.8566568482702053,0.8549827492073458,0.8549827492073458,0.8549999993158174,False,True,True,False
40.0,0.84,2,entry_event_6,True,6,10998.0,0.8566568482701933,0.8549827492073182,0.8549827492073182,0.8549999993157893,False,True,True,False
40.0,0.8425,1,entry_event_6,True,6,10997.0,0.8563796023807065,0.8549827013899046,0.8549827013899046,0.8549999992286983,False,True,True,False
40.0,0.8425,2,entry_event_6,True,6,10997.0,0.8563796023807021,0.8549827013898863,0.8549827013898863,0.8549999992286802,False,True,True,False
40.0,0.845,1,entry_event_6,True,6,10996.0,0.8560515296091902,0.8549826463953695,0.8549826463953695,0.8550000004183778,False,True,True,False
40.0,0.845,2,entry_event_6,True,6,10996.0,0.8560515296091813,0.8549826463953545,0.8549826463953545,0.8550000004183624,False,True,True,False
50.0,0.84,1,target_entry_event_6,True,6,10998.0,0.8570956856613045,0.8549863131139154,0.8549863131139154,0.8549999993146881,True,True,True,True
