tau_recovery_s,q_hold,q_start,additive_start_mv,time_to_entry_ms,time_to_qsafe_ms,time_to_qreport_ms,persistence_off_bound_ms,reset_time_ms,reset_horizon_pass,minimum_zero_margin_mv,minimum_registered_margin_mv,zero_margin_pass,protected_margin_pass,release_after_reset_ms,time_to_additive_release_ms,q_at_reset,q_at_additive_release,q_never_decreases,post_reset_release_pass,handoff_pass
20.0,0.84,0.839407325121761,0.3718643665313721,6323.281052890507,27922.476161403556,49894.72193476575,2629.9184229899865,27922.476161403556,True,0.12734702407343526,0.10234702407343527,True,True,35073.56289762875,62996.03905903231,0.885,0.8974029607238693,True,True,True
20.0,0.8425,0.8418995474778522,0.3687824964523316,5483.26991953826,27082.46502805131,49054.71080141351,2629.9184229899865,27082.46502805131,True,0.16040677991060873,0.13540677991060873,True,True,34973.69707427517,62056.16210232648,0.885,0.8973899605207009,True,True,True
20.0,0.845,0.8443867413340139,0.3651994466781616,4608.233630318807,26207.42873883186,48179.674512194055,2629.9184229899865,26207.42873883186,True,0.1932118183061364,0.1682118183061364,True,True,34856.536320547624,61063.96505937948,0.885,0.8973746259396439,True,True,True
40.0,0.84,0.8397033796126617,0.3718643665313721,12450.643959605268,55649.03417663137,99593.52572335575,2629.9184229899865,55649.03417663137,True,0.1316122897510217,0.10661228975102172,True,True,35073.56289762875,90722.59707426012,0.885,0.8937585587287902,True,True,True
40.0,0.8425,0.8421994767947202,0.3687824964523316,10759.514844158406,53957.90506118451,97902.3966079089,2629.9184229899865,53957.90506118451,True,0.16476515027856714,0.13976515027856715,True,True,34973.69707427517,88931.60213545969,0.885,0.8937429565936069,True,True,True
40.0,0.845,0.8446930487370103,0.3651994466781616,8995.54580235777,52193.936019383866,96138.42756610825,2629.9184229899865,52193.936019383866,True,0.19770278640475736,0.17270278640475736,True,True,34856.536320547624,87050.4723399315,0.885,0.8937246027292814,True,True,True
50.0,0.84,0.8397626657228454,0.3718643665313721,15514.118713868904,69512.10648515153,124442.72091855701,2629.9184229899865,69512.10648515153,True,0.13246642646806567,0.10746642646806567,True,True,35073.56289762875,104585.66938278027,0.885,0.8925621714614271,True,True,True
50.0,0.8425,0.8422595440184593,0.3687824964523316,13397.40574137355,67395.39351265617,122326.00794606165,2629.9184229899865,67395.39351265617,True,0.16563800662606848,0.14063800662606848,True,True,34973.69707427517,102369.09058693134,0.885,0.8925473009183611,True,True,True
50.0,0.845,0.8447544023806813,0.3651994466781616,11188.934979849351,65186.922751131984,120117.53718453746,2629.9184229899865,65186.922751131984,True,0.1986023312860275,0.1736023312860275,True,True,34856.536320547624,100043.45907167961,0.885,0.8925298171654299,True,True,True
60.0,0.84,0.8398022014747711,0.3718643665313721,18577.549546192768,83375.13487173192,149291.8721918185,2629.9184229899865,83375.13487173192,True,0.1330360191981516,0.10803601919815162,True,True,35073.56289762875,118448.69776936068,0.885,0.8916397291953302,True,True,True
