tau_recovery_s,q_hold,phase,source_dt_ms,q_min,q_max,q_mean,q_mean_minus_hold,per_return_multiplier,closure_error,periodic_pass
20.0,0.84,0.0,0.125,0.8394079252943406,0.8405968724976708,0.8400000000000001,1.1102230246251565e-16,0.6387163516263249,0.0,True
20.0,0.84,0.25,0.125,0.8394079223790308,0.8405968716574589,0.8399999988959796,-1.1040203196088783e-09,0.638716258842589,0.0,True
20.0,0.84,0.5,0.125,0.8394079321687141,0.8405968815899448,0.8400000074305058,7.4305058772594634e-09,0.638716942105588,1.1102230246251565e-16,True
20.0,0.84,0.75,0.125,0.8394079254366149,0.8405968725079422,0.8400000011792796,1.1792796739129585e-09,0.6387164538824416,0.0,True
20.0,0.84,0.0,0.0625,0.839407326320271,0.8405950038752389,0.8399987368816575,-1.263118342476055e-06,0.6389334306622746,0.0,True
20.0,0.84,0.25,0.0625,0.839407325121761,0.8405950047969144,0.8399987338644808,-1.2661355192067347e-06,0.6389331944357848,1.1102230246251565e-16,True
20.0,0.84,0.5,0.0625,0.839407403453906,0.840595043278713,0.8399987835363772,-1.216463622721875e-06,0.6389370632696526,0.0,True
20.0,0.84,0.75,0.0625,0.8394073264378441,0.8405950038101262,0.8399987371954799,-1.262804520063554e-06,0.6389334551970901,0.0,True
20.0,0.8425,0.0,0.125,0.841899742154038,0.8431044189419812,0.8425000000000002,2.220446049250313e-16,0.6051976363141668,0.0,True
20.0,0.8425,0.25,0.125,0.8418997420933866,0.8431044191315171,0.8424999998913595,-1.086405410077873e-10,0.6051976240451842,1.1102230246251565e-16,True
20.0,0.8425,0.5,0.125,0.8418997385460405,0.8431044130658221,0.8424999960484016,-3.951598381846111e-09,0.6051972746643289,0.0,True
20.0,0.8425,0.75,0.125,0.8418997439556017,0.8431044157819478,0.8425000007884628,7.884627395426946e-10,0.6051977265992625,0.0,True
20.0,0.8425,0.0,0.0625,0.8418995506306699,0.8431030894353252,0.8424992021646557,-7.978353443460762e-07,0.6054325081260403,0.0,True
20.0,0.8425,0.25,0.0625,0.8418995495314642,0.8431030890969646,0.84249920257859,-7.974214100148203e-07,0.6054325486930104,1.1102230246251565e-16,True
20.0,0.8425,0.5,0.0625,0.8418995474778522,0.8431030878739477,0.8424991997654784,-8.002345216473472e-07,0.6054322833647007,0.0,True
20.0,0.8425,0.75,0.0625,0.8418995482665845,0.8431030890314,0.8424992012663689,-7.987336311243709e-07,0.6054324246040651,0.0,True
20.0,0.845,0.0,0.125,0.8443867442460405,0.8456167869607056,0.8449999999999995,-4.440892098500626e-16,0.5624898463656394,0.0,True
20.0,0.845,0.25,0.125,0.8443867429250261,0.8456167874810221,0.8449999999714924,-2.8507529670207532e-11,0.5624898453137197,1.1102230246251565e-16,True
20.0,0.845,0.5,0.125,0.8443867413340139,0.8456167798508635,0.8449999975332647,-2.4667352604978987e-09,0.5624895698796113,1.1102230246251565e-16,True
20.0,0.845,0.75,0.125,0.8443867437171557,0.845616785109675,0.8449999989197337,-1.0802663208409058e-09,0.5624897244845092,0.0,True
