tau_recovery_s,q_hold,schedule,event_count,substeps,outcome,entered,entry_event_index,first_crossing_ms,minimum_q_before_last,minimum_q_after_last,minimum_q_full,final_q,pre_last_margin_pass,last_event_crosses_fold,last_event_target_reached,entry_pass
20.0,0.8425,isolated,1,1,no_entry,False,,,0.8999999999999989,0.8822544999297931,0.8822544999297931,0.8822674225077115,True,False,False,False
20.0,0.8425,isolated,1,2,no_entry,False,,,0.899999999999998,0.8822544999297927,0.8822544999297927,0.8822674225077116,True,False,False,False
20.0,0.8425,dense_1200ms,6,1,premature_entry_event_5,True,5,5868.0,0.8537897393183913,0.8514559794134368,0.8514559794134368,0.8514950223513336,False,False,True,False
20.0,0.8425,dense_1200ms,6,2,premature_entry_event_5,True,5,5867.5,0.8537897393183945,0.8514559794134356,0.8514559794134356,0.8514950223513311,False,False,True,False
20.0,0.8425,sparse_3400ms,6,1,no_entry,False,,,0.8593019579753727,0.8579557272202822,0.8579557272202822,0.8579882738585325,True,False,False,False
20.0,0.8425,sparse_3400ms,6,2,no_entry,False,,,0.859301957975374,0.8579557272202872,0.8579557272202872,0.8579882738585376,True,False,False,False
20.0,0.8425,heldout_seed_20260721,6,1,premature_entry_event_5,True,5,7873.0,0.8556469091914114,0.8543416158731935,0.8543416158731935,0.8543776902346334,False,False,True,False
20.0,0.8425,heldout_seed_20260721,6,2,premature_entry_event_5,True,5,7872.5,0.8556469091914136,0.8543416158731946,0.8543416158731946,0.8543776902346342,False,False,True,False
20.0,0.8425,heldout_seed_20260722,6,1,entry_event_6,True,6,14959.0,0.856918745336535,0.8545844891941773,0.8545844891941773,0.8546203137015438,False,True,True,False
20.0,0.8425,heldout_seed_20260722,6,2,entry_event_6,True,6,14958.5,0.8569187453365378,0.8545844891941772,0.8545844891941772,0.8546203137015443,False,True,True,False
20.0,0.8425,heldout_seed_20260723,6,1,target_entry_event_6,True,6,13009.0,0.8581601051131679,0.8541166045271006,0.8541166045271006,0.8541529103672434,True,True,True,True
20.0,0.8425,heldout_seed_20260723,6,2,target_entry_event_6,True,6,13008.5,0.8581601051131738,0.8541166045271064,0.8541166045271064,0.8541529103672484,True,True,True,True
40.0,0.8425,isolated,1,1,no_entry,False,,,0.8999999999999987,0.8848149516723348,0.8848149516723348,0.8848203101235219,True,False,False,False
40.0,0.8425,isolated,1,2,no_entry,False,,,0.899999999999999,0.8848149516723356,0.8848149516723356,0.8848203101235234,True,False,False,False
40.0,0.8425,dense_1200ms,6,1,entry_event_6,True,6,7045.0,0.8560700087062296,0.8530848799558516,0.8530848799558516,0.8531030295602892,False,True,True,False
40.0,0.8425,dense_1200ms,6,2,entry_event_6,True,6,7045.0,0.8560700087062211,0.8530848799558418,0.8530848799558418,0.8531030295602786,False,True,True,False
40.0,0.8425,sparse_3400ms,6,1,no_entry,False,,,0.8591688138015937,0.8569013932185668,0.8569013932185668,0.8569178299248273,True,False,False,False
40.0,0.8425,sparse_3400ms,6,2,no_entry,False,,,0.859168813801567,0.8569013932185382,0.8569013932185382,0.8569178299247984,True,False,False,False
40.0,0.8425,heldout_seed_20260721,6,1,entry_event_6,True,6,10202.0,0.8570402931258441,0.8546628588081437,0.8546628588081437,0.8546803001962294,False,True,True,False
40.0,0.8425,heldout_seed_20260721,6,2,entry_event_6,True,6,10201.5,0.8570402931258241,0.8546628588081224,0.8546628588081224,0.8546803001962077,False,True,True,False
40.0,0.8425,heldout_seed_20260722,6,1,target_entry_event_6,True,6,14960.0,0.8578265794294906,0.8549119834136392,0.8549119834136392,0.8549293129915324,True,True,True,True
40.0,0.8425,heldout_seed_20260722,6,2,target_entry_event_6,True,6,14960.0,0.8578265794294707,0.8549119834136152,0.8549119834136152,0.8549293129915083,True,True,True,True
40.0,0.8425,heldout_seed_20260723,6,1,target_entry_event_6,True,6,13014.0,0.8585736788754269,0.8547582541264823,0.8547582541264823,0.8547756526999734,True,True,True,True
40.0,0.8425,heldout_seed_20260723,6,2,target_entry_event_6,True,6,13014.0,0.858573678875407,0.8547582541264616,0.8547582541264616,0.8547756526999526,True,True,True,True
50.0,0.8425,isolated,1,1,no_entry,False,,,0.8999999999999996,0.8852940162988839,0.8852940162988839,0.8852981333978994,True,False,False,False
50.0,0.8425,isolated,1,2,no_entry,False,,,0.8999999999999985,0.8852940162988829,0.8852940162988829,0.8852981333978985,True,False,False,False
50.0,0.8425,dense_1200ms,6,1,entry_event_6,True,6,7051.0,0.8565624623179536,0.8534471314112928,0.8534471314112928,0.8534614307979508,False,True,True,False
50.0,0.8425,dense_1200ms,6,2,entry_event_6,True,6,7050.5,0.8565624623179459,0.8534471314112825,0.8534471314112825,0.8534614307979401,False,True,True,False
50.0,0.8425,sparse_3400ms,6,1,no_entry,False,,,0.8590950078209685,0.856594896206492,0.856594896206492,0.8566080392204742,True,False,False,False
50.0,0.8425,sparse_3400ms,6,2,no_entry,False,,,0.8590950078209455,0.8565948962064736,0.8565948962064736,0.8566080392204563,True,False,False,False
50.0,0.8425,heldout_seed_20260721,6,1,target_entry_event_6,True,6,10202.0,0.8573436052633947,0.8547291263868471,0.8547291263868471,0.8547429548158396,True,True,True,True
