tau_fast_s,tau_slow_s,q_hold,mean_use_lower_bound,q_star_m0,q_star_m1_upper_bound,entry_fold_q,gate_only_below_entry_fold
20.0,70.0,0.84,0.20061816721653927,0.839984395380141,0.8429891389297164,0.8558315843088748,True
20.0,70.0,0.8425,0.19189835990173423,0.8424838326976717,0.8452130698337718,0.8558315843088748,True
20.0,70.0,0.845,0.17946190818319427,0.8449980326880542,0.847484852507835,0.8558315843088748,True
20.0,80.0,0.84,0.20061816721653927,0.8399863331782527,0.8431705480860775,0.8558315843088748,True
20.0,80.0,0.8425,0.19189835990173423,0.8424858577115084,0.8453802789751044,0.8558315843088748,True
20.0,80.0,0.845,0.17946190818319427,0.8449984923080687,0.8476385368782396,0.8558315843088748,True
20.0,90.0,0.84,0.20061816721653927,0.8399878415823259,0.8433136364931216,0.8558315843088748,True
20.0,90.0,0.8425,0.19189835990173423,0.8424874304340552,0.8455122951055287,0.8558315843088748,True
20.0,90.0,0.845,0.17946190818319427,0.8449988072913547,0.8477600184520333,0.8558315843088748,True
20.0,100.0,0.84,0.20061816721653927,0.8399890493929111,0.8434293643077234,0.8558315843088748,True
20.0,100.0,0.8425,0.19189835990173423,0.8424886875297936,0.8456191484543722,0.8558315843088748,True
20.0,100.0,0.845,0.17946190818319427,0.8449990325782036,0.84785843486595,0.8558315843088748,True
20.0,120.0,0.84,0.20061816721653927,0.839990863432433,0.8436050540420185,0.8558315843088748,True
20.0,120.0,0.8425,0.19189835990173423,0.8424905719531691,0.845781499115286,0.8558315843088748,True
20.0,120.0,0.845,0.17946190818319427,0.8449993261262149,0.8480081155653324,0.8558315843088748,True
20.0,160.0,0.84,0.20061816721653927,0.8399931359074191,0.8438282097520546,0.8558315843088748,True
20.0,160.0,0.8425,0.19189835990173423,0.842492926567808,0.8459879371155117,0.8558315843088748,True
20.0,160.0,0.845,0.17946190818319427,0.8449996183811669,0.8481986919726029,0.8558315843088748,True
15.0,70.0,0.84,0.20061816721653927,0.839984395380141,0.8442907385339244,0.8558315843088748,True
15.0,70.0,0.8425,0.19189835990173423,0.8424838326976717,0.8463999939481693,0.8558315843088748,True
15.0,70.0,0.845,0.17946190818319427,0.8449980326880542,0.8485700015430572,0.8558315843088748,True
15.0,80.0,0.84,0.20061816721653927,0.8399863331782527,0.8444797926215853,0.8558315843088748,True
15.0,80.0,0.8425,0.19189835990173423,0.8424858577115084,0.8465752222746383,0.8558315843088748,True
15.0,80.0,0.845,0.17946190818319427,0.8449984923080687,0.8487322376258135,0.8558315843088748,True
15.0,90.0,0.84,0.20061816721653927,0.8399878415823259,0.8446287515429831,0.8558315843088748,True
15.0,90.0,0.8425,0.19189835990173423,0.8424874304340552,0.8467134093761592,0.8558315843088748,True
15.0,90.0,0.845,0.17946190818319427,0.8449988072913547,0.8488603125835438,0.8558315843088748,True
15.0,100.0,0.84,0.20061816721653927,0.8399890493929111,0.8447491262504337,0.8558315843088748,True
15.0,100.0,0.8425,0.19189835990173423,0.8424886875297936,0.8468251559078853,0.8558315843088748,True
15.0,100.0,0.845,0.17946190818319427,0.8449990325782036,0.8489639650794031,0.8558315843088748,True
15.0,120.0,0.84,0.20061816721653927,0.839990863432433,0.8449317008889298,0.8558315843088748,True
15.0,120.0,0.8425,0.19189835990173423,0.8424905719531691,0.8469947704387655,0.8558315843088748,True
15.0,120.0,0.845,0.17946190818319427,0.8449993261262149,0.8491214320905424,0.8558315843088748,True
15.0,160.0,0.84,0.20061816721653927,0.8399931359074191,0.8451633125430766,0.8558315843088748,True
15.0,160.0,0.8425,0.19189835990173423,0.842492926567808,0.8472101540890252,0.8558315843088748,True
15.0,160.0,0.845,0.17946190818319427,0.8449996183811669,0.8493216200560175,0.8558315843088748,True
25.0,70.0,0.84,0.20061816721653927,0.839984395380141,0.8421785697487671,0.8558315843088748,True
25.0,70.0,0.8425,0.19189835990173423,0.8424838326976717,0.8444753435701232,0.8558315843088748,True
25.0,70.0,0.845,0.17946190818319427,0.8449980326880542,0.8468115009603,0.8558315843088748,True
25.0,80.0,0.84,0.20061816721653927,0.8399863331782527,0.8423549371169295,0.8558315843088748,True
25.0,80.0,0.8425,0.19189835990173423,0.8424858577115084,0.844637305960295,0.8558315843088748,True
25.0,80.0,0.845,0.17946190818319427,0.8449984923080687,0.8469596272558718,0.8558315843088748,True
25.0,90.0,0.84,0.20061816721653927,0.8399878415823259,0.8424941482584749,0.8558315843088748,True
25.0,90.0,0.8425,0.19189835990173423,0.8424874304340552,0.8447652792744799,0.8558315843088748,True
25.0,90.0,0.845,0.17946190818319427,0.8449988072913547,0.8470768183489433,0.8558315843088748,True
25.0,100.0,0.84,0.20061816721653927,0.8399890493929111,0.8426068033059486,0.8558315843088748,True
25.0,100.0,0.8425,0.19189835990173423,0.8424886875297936,0.8448689235281259,0.8558315843088748,True
25.0,100.0,0.845,0.17946190818319427,0.8449990325782036,0.8471718241849756,0.8558315843088748,True
25.0,120.0,0.84,0.20061816721653927,0.839990863432433,0.8427779341808481,0.8558315843088748,True
25.0,120.0,0.8425,0.19189835990173423,0.8424905719531691,0.8450265045672527,0.8558315843088748,True
25.0,120.0,0.845,0.17946190818319427,0.8449993261262149,0.847316427561369,0.8558315843088748,True
25.0,160.0,0.84,0.20061816721653927,0.8399931359074191,0.84299548009064,0.8558315843088748,True
25.0,160.0,0.8425,0.19189835990173423,0.842492926567808,0.8452270587611678,0.8558315843088748,True
25.0,160.0,0.845,0.17946190818319427,0.8449996183811669,0.8475007267852765,0.8558315843088748,True
