tau_fast_s,tau_slow_s,q_hold,m,q_star,representative
20.0,80.0,0.8425,0.0,0.8424858577115084,True
20.0,80.0,0.8425,0.01,0.8425163196003166,True
20.0,80.0,0.8425,0.02,0.842546749238432,True
20.0,80.0,0.8425,0.03,0.8425771466770446,True
20.0,80.0,0.8425,0.04,0.8426075119672356,True
20.0,80.0,0.8425,0.05,0.8426378451599789,True
20.0,80.0,0.8425,0.06,0.8426681463061396,True
20.0,80.0,0.8425,0.07,0.8426984154564767,True
20.0,80.0,0.8425,0.08,0.8427286526616407,True
20.0,80.0,0.8425,0.09,0.8427588579721764,True
20.0,80.0,0.8425,0.1,0.8427890314385215,True
20.0,80.0,0.8425,0.11,0.8428191731110073,True
20.0,80.0,0.8425,0.12,0.8428492830398593,True
20.0,80.0,0.8425,0.13,0.8428793612751974,True
20.0,80.0,0.8425,0.14,0.8429094078670355,True
20.0,80.0,0.8425,0.15,0.8429394228652829,True
20.0,80.0,0.8425,0.16,0.8429694063197437,True
20.0,80.0,0.8425,0.17,0.8429993582801175,True
20.0,80.0,0.8425,0.18,0.8430292787959995,True
20.0,80.0,0.8425,0.19,0.8430591679168807,True
20.0,80.0,0.8425,0.2,0.8430890256921487,True
20.0,80.0,0.8425,0.21,0.8431188521710871,True
20.0,80.0,0.8425,0.22,0.8431486474028763,True
20.0,80.0,0.8425,0.23,0.8431784114365939,True
20.0,80.0,0.8425,0.24,0.8432081443212148,True
20.0,80.0,0.8425,0.25,0.8432378461056113,True
20.0,80.0,0.8425,0.26,0.8432675168385535,True
20.0,80.0,0.8425,0.27,0.8432971565687097,True
20.0,80.0,0.8425,0.28,0.8433267653446465,True
20.0,80.0,0.8425,0.29,0.843356343214829,True
20.0,80.0,0.8425,0.3,0.8433858902276213,True
20.0,80.0,0.8425,0.31,0.8434154064312868,True
20.0,80.0,0.8425,0.32,0.8434448918739879,True
20.0,80.0,0.8425,0.33,0.8434743466037868,True
20.0,80.0,0.8425,0.34,0.8435037706686462,True
20.0,80.0,0.8425,0.35000000000000003,0.8435331641164279,True
20.0,80.0,0.8425,0.36,0.8435625269948952,True
20.0,80.0,0.8425,0.37,0.8435918593517113,True
20.0,80.0,0.8425,0.38,0.8436211612344411,True
20.0,80.0,0.8425,0.39,0.8436504326905497,True
20.0,80.0,0.8425,0.4,0.8436796737674052,True
20.0,80.0,0.8425,0.41000000000000003,0.8437088845122757,True
20.0,80.0,0.8425,0.42,0.8437380649723326,True
20.0,80.0,0.8425,0.43,0.8437672151946487,True
20.0,80.0,0.8425,0.44,0.8437963352262002,True
20.0,80.0,0.8425,0.45,0.8438254251138649,True
20.0,80.0,0.8425,0.46,0.8438544849044246,True
20.0,80.0,0.8425,0.47000000000000003,0.8438835146445638,True
20.0,80.0,0.8425,0.48,0.8439125143808707,True
20.0,80.0,0.8425,0.49,0.843941484159837,True
20.0,80.0,0.8425,0.5,0.8439704240278589,True
20.0,80.0,0.8425,0.51,0.8439993340312363,True
20.0,80.0,0.8425,0.52,0.8440282142161739,True
20.0,80.0,0.8425,0.53,0.8440570646287809,True
20.0,80.0,0.8425,0.54,0.844085885315072,True
20.0,80.0,0.8425,0.55,0.8441146763209664,True
20.0,80.0,0.8425,0.56,0.8441434376922891,True
20.0,80.0,0.8425,0.5700000000000001,0.8441721694747711,True
20.0,80.0,0.8425,0.58,0.8442008717140491,True
20.0,80.0,0.8425,0.59,0.844229544455666,True
20.0,80.0,0.8425,0.6,0.8442581877450709,True
20.0,80.0,0.8425,0.61,0.8442868016276199,True
20.0,80.0,0.8425,0.62,0.844315386148576,True
20.0,80.0,0.8425,0.63,0.8443439413531094,True
20.0,80.0,0.8425,0.64,0.8443724672862974,True
20.0,80.0,0.8425,0.65,0.8444009639931251,True
20.0,80.0,0.8425,0.66,0.8444294315184856,True
20.0,80.0,0.8425,0.67,0.84445786990718,True
20.0,80.0,0.8425,0.68,0.8444862792039174,True
20.0,80.0,0.8425,0.6900000000000001,0.8445146594533164,True
20.0,80.0,0.8425,0.7000000000000001,0.8445430106999031,True
20.0,80.0,0.8425,0.71,0.8445713329881139,True
20.0,80.0,0.8425,0.72,0.8445996263622936,True
20.0,80.0,0.8425,0.73,0.8446278908666971,True
20.0,80.0,0.8425,0.74,0.8446561265454884,True
20.0,80.0,0.8425,0.75,0.8446843334427422,True
20.0,80.0,0.8425,0.76,0.8447125116024424,True
20.0,80.0,0.8425,0.77,0.8447406610684848,True
20.0,80.0,0.8425,0.78,0.8447687818846741,True
20.0,80.0,0.8425,0.79,0.8447968740947273,True
20.0,80.0,0.8425,0.8,0.8448249377422717,True
20.0,80.0,0.8425,0.81,0.8448529728708466,True
20.0,80.0,0.8425,0.8200000000000001,0.8448809795239018,True
20.0,80.0,0.8425,0.8300000000000001,0.8449089577448001,True
20.0,80.0,0.8425,0.84,0.8449369075768154,True
20.0,80.0,0.8425,0.85,0.8449648290631342,True
20.0,80.0,0.8425,0.86,0.8449927222468555,True
20.0,80.0,0.8425,0.87,0.8450205871709907,True
20.0,80.0,0.8425,0.88,0.8450484238784645,True
20.0,80.0,0.8425,0.89,0.8450762324121142,True
20.0,80.0,0.8425,0.9,0.8451040128146908,True
20.0,80.0,0.8425,0.91,0.8451317651288588,True
20.0,80.0,0.8425,0.92,0.8451594893971964,True
20.0,80.0,0.8425,0.93,0.8451871856621959,True
20.0,80.0,0.8425,0.9400000000000001,0.8452148539662634,True
20.0,80.0,0.8425,0.9500000000000001,0.8452424943517202,True
20.0,80.0,0.8425,0.96,0.8452701068608012,True
20.0,80.0,0.8425,0.97,0.8452976915356571,True
20.0,80.0,0.8425,0.98,0.8453252484183533,True
20.0,80.0,0.8425,0.99,0.8453527775508703,True
20.0,80.0,0.8425,1.0,0.8453802789751044,True
15.0,80.0,0.8425,0.0,0.8424858577115084,True
15.0,80.0,0.8425,0.01,0.8425298478624451,True
15.0,80.0,0.8425,0.02,0.8425737707723752,True
15.0,80.0,0.8425,0.03,0.8426176265953523,True
15.0,80.0,0.8425,0.04,0.8426614154849605,True
15.0,80.0,0.8425,0.05,0.8427051375943146,True
15.0,80.0,0.8425,0.06,0.8427487930760631,True
15.0,80.0,0.8425,0.07,0.8427923820823897,True
15.0,80.0,0.8425,0.08,0.8428359047650147,True
15.0,80.0,0.8425,0.09,0.8428793612751974,True
15.0,80.0,0.8425,0.1,0.8429227517637369,True
15.0,80.0,0.8425,0.11,0.8429660763809752,True
15.0,80.0,0.8425,0.12,0.8430093352767978,True
15.0,80.0,0.8425,0.13,0.8430525286006357,True
15.0,80.0,0.8425,0.14,0.8430956565014674,True
15.0,80.0,0.8425,0.15,0.8431387191278205,True
15.0,80.0,0.8425,0.16,0.843181716627773,True
15.0,80.0,0.8425,0.17,0.8432246491489558,True
15.0,80.0,0.8425,0.18,0.8432675168385535,True
15.0,80.0,0.8425,0.19,0.8433103198433071,True
15.0,80.0,0.8425,0.2,0.8433530583095141,True
15.0,80.0,0.8425,0.21,0.8433957323830323,True
15.0,80.0,0.8425,0.22,0.8434383422092797,True
15.0,80.0,0.8425,0.23,0.8434808879332365,True
15.0,80.0,0.8425,0.24,0.8435233696994477,True
15.0,80.0,0.8425,0.25,0.8435657876520238,True
15.0,80.0,0.8425,0.26,0.8436081419346423,True
15.0,80.0,0.8425,0.27,0.8436504326905497,True
15.0,80.0,0.8425,0.28,0.843692660062564,True
15.0,80.0,0.8425,0.29,0.8437348241930748,True
15.0,80.0,0.8425,0.3,0.8437769252240449,True
15.0,80.0,0.8425,0.31,0.8438189632970139,True
15.0,80.0,0.8425,0.32,0.8438609385530971,True
15.0,80.0,0.8425,0.33,0.8439028511329889,True
15.0,80.0,0.8425,0.34,0.8439447011769643,True
15.0,80.0,0.8425,0.35000000000000003,0.8439864888248795,True
15.0,80.0,0.8425,0.36,0.8440282142161739,True
15.0,80.0,0.8425,0.37,0.844069877489872,True
15.0,80.0,0.8425,0.38,0.8441114787845844,True
15.0,80.0,0.8425,0.39,0.84415301823851,True
15.0,80.0,0.8425,0.4,0.8441944959894366,True
15.0,80.0,0.8425,0.41000000000000003,0.8442359121747438,True
15.0,80.0,0.8425,0.42,0.8442772669314028,True
15.0,80.0,0.8425,0.43,0.8443185603959792,True
15.0,80.0,0.8425,0.44,0.8443597927046339,True
15.0,80.0,0.8425,0.45,0.8444009639931251,True
15.0,80.0,0.8425,0.46,0.8444420743968093,True
15.0,80.0,0.8425,0.47000000000000003,0.8444831240506429,True
15.0,80.0,0.8425,0.48,0.8445241130891836,True
15.0,80.0,0.8425,0.49,0.8445650416465927,True
15.0,80.0,0.8425,0.5,0.8446059098566348,True
15.0,80.0,0.8425,0.51,0.8446467178526812,True
15.0,80.0,0.8425,0.52,0.8446874657677103,True
15.0,80.0,0.8425,0.53,0.844728153734309,True
15.0,80.0,0.8425,0.54,0.8447687818846741,True
15.0,80.0,0.8425,0.55,0.8448093503506148,True
15.0,80.0,0.8425,0.56,0.8448498592635529,True
15.0,80.0,0.8425,0.5700000000000001,0.8448903087545243,True
15.0,80.0,0.8425,0.58,0.8449306989541814,True
15.0,80.0,0.8425,0.59,0.8449710299927934,True
15.0,80.0,0.8425,0.6,0.8450113020002481,True
15.0,80.0,0.8425,0.61,0.8450515151060538,True
15.0,80.0,0.8425,0.62,0.84509166943934,True
15.0,80.0,0.8425,0.63,0.8451317651288588,True
15.0,80.0,0.8425,0.64,0.8451718023029867,True
15.0,80.0,0.8425,0.65,0.845211781089726,True
15.0,80.0,0.8425,0.66,0.8452517016167056,True
15.0,80.0,0.8425,0.67,0.8452915640111827,True
15.0,80.0,0.8425,0.68,0.8453313684000444,True
15.0,80.0,0.8425,0.6900000000000001,0.8453711149098084,True
15.0,80.0,0.8425,0.7000000000000001,0.8454108036666251,True
15.0,80.0,0.8425,0.71,0.8454504347962787,True
15.0,80.0,0.8425,0.72,0.8454900084241878,True
15.0,80.0,0.8425,0.73,0.8455295246754077,True
15.0,80.0,0.8425,0.74,0.8455689836746312,True
15.0,80.0,0.8425,0.75,0.8456083855461902,True
15.0,80.0,0.8425,0.76,0.8456477304140568,True
15.0,80.0,0.8425,0.77,0.8456870184018447,True
15.0,80.0,0.8425,0.78,0.8457262496328102,True
15.0,80.0,0.8425,0.79,0.8457654242298539,True
15.0,80.0,0.8425,0.8,0.8458045423155222,True
15.0,80.0,0.8425,0.81,0.8458436040120072,True
15.0,80.0,0.8425,0.8200000000000001,0.8458826094411501,True
15.0,80.0,0.8425,0.8300000000000001,0.8459215587244409,True
15.0,80.0,0.8425,0.84,0.8459604519830194,True
15.0,80.0,0.8425,0.85,0.8459992893376783,True
15.0,80.0,0.8425,0.86,0.8460380709088627,True
15.0,80.0,0.8425,0.87,0.8460767968166719,True
15.0,80.0,0.8425,0.88,0.846115467180861,True
15.0,80.0,0.8425,0.89,0.8461540821208416,True
15.0,80.0,0.8425,0.9,0.8461926417556831,True
15.0,80.0,0.8425,0.91,0.8462311462041144,True
15.0,80.0,0.8425,0.92,0.846269595584525,True
15.0,80.0,0.8425,0.93,0.8463079900149652,True
15.0,80.0,0.8425,0.9400000000000001,0.8463463296131486,True
15.0,80.0,0.8425,0.9500000000000001,0.8463846144964532,True
15.0,80.0,0.8425,0.96,0.8464228447819214,True
15.0,80.0,0.8425,0.97,0.8464610205862626,True
15.0,80.0,0.8425,0.98,0.846499142025854,True
15.0,80.0,0.8425,0.99,0.8465372092167407,True
15.0,80.0,0.8425,1.0,0.8465752222746383,True
25.0,80.0,0.8425,0.0,0.8424858577115084,True
25.0,80.0,0.8425,0.01,0.8425081995854846,True
25.0,80.0,0.8425,0.02,0.8425305241084063,True
25.0,80.0,0.8425,0.03,0.8425528313004785,True
25.0,80.0,0.8425,0.04,0.8425751211818745,True
25.0,80.0,0.8425,0.05,0.8425973937727367,True
25.0,80.0,0.8425,0.06,0.8426196490931759,True
25.0,80.0,0.8425,0.07,0.8426418871632715,True
25.0,80.0,0.8425,0.08,0.8426641080030727,True
25.0,80.0,0.8425,0.09,0.8426863116325966,True
25.0,80.0,0.8425,0.1,0.8427084980718301,True
25.0,80.0,0.8425,0.11,0.8427306673407285,True
25.0,80.0,0.8425,0.12,0.8427528194592171,True
25.0,80.0,0.8425,0.13,0.8427749544471892,True
25.0,80.0,0.8425,0.14,0.8427970723245085,True
25.0,80.0,0.8425,0.15,0.8428191731110073,True
25.0,80.0,0.8425,0.16,0.8428412568264874,True
25.0,80.0,0.8425,0.17,0.8428633234907201,True
25.0,80.0,0.8425,0.18,0.8428853731234462,True
25.0,80.0,0.8425,0.19,0.8429074057443762,True
25.0,80.0,0.8425,0.2,0.8429294213731895,True
25.0,80.0,0.8425,0.21,0.842951420029536,True
25.0,80.0,0.8425,0.22,0.842973401733035,True
25.0,80.0,0.8425,0.23,0.8429953665032753,True
25.0,80.0,0.8425,0.24,0.8430173143598161,True
25.0,80.0,0.8425,0.25,0.8430392453221857,True
25.0,80.0,0.8425,0.26,0.8430611594098832,True
25.0,80.0,0.8425,0.27,0.8430830566423771,True
25.0,80.0,0.8425,0.28,0.8431049370391065,True
25.0,80.0,0.8425,0.29,0.8431268006194796,True
25.0,80.0,0.8425,0.3,0.8431486474028763,True
25.0,80.0,0.8425,0.31,0.8431704774086455,True
25.0,80.0,0.8425,0.32,0.8431922906561067,True
25.0,80.0,0.8425,0.33,0.84321408716455,True
25.0,80.0,0.8425,0.34,0.8432358669532357,True
25.0,80.0,0.8425,0.35000000000000003,0.8432576300413948,True
25.0,80.0,0.8425,0.36,0.8432793764482283,True
25.0,80.0,0.8425,0.37,0.8433011061929084,True
25.0,80.0,0.8425,0.38,0.8433228192945775,True
25.0,80.0,0.8425,0.39,0.8433445157723489,True
25.0,80.0,0.8425,0.4,0.8433661956453067,True
25.0,80.0,0.8425,0.41000000000000003,0.8433878589325052,True
25.0,80.0,0.8425,0.42,0.8434095056529707,True
25.0,80.0,0.8425,0.43,0.8434311358256992,True
25.0,80.0,0.8425,0.44,0.8434527494696583,True
25.0,80.0,0.8425,0.45,0.8434743466037868,True
25.0,80.0,0.8425,0.46,0.8434959272469943,True
25.0,80.0,0.8425,0.47000000000000003,0.8435174914181612,True
25.0,80.0,0.8425,0.48,0.8435390391361399,True
25.0,80.0,0.8425,0.49,0.8435605704197533,True
25.0,80.0,0.8425,0.5,0.8435820852877957,True
25.0,80.0,0.8425,0.51,0.8436035837590333,True
25.0,80.0,0.8425,0.52,0.8436250658522031,True
25.0,80.0,0.8425,0.53,0.843646531586014,True
25.0,80.0,0.8425,0.54,0.843667980979146,True
25.0,80.0,0.8425,0.55,0.8436894140502511,True
25.0,80.0,0.8425,0.56,0.8437108308179524,True
25.0,80.0,0.8425,0.5700000000000001,0.8437322313008454,True
25.0,80.0,0.8425,0.58,0.8437536155174966,True
