tau_fast_s,tau_slow_s,q_hold,phase,source_dt_ms,q_reserve,tau_depletion_ms,low_state_entry_ms,q_exit,m_exit,additive_exit_mv,max_abs_q_excursion,fold_margin_at_exit_mv,replay_finite_domain_pass,small_q_excursion_pass,dynamic_fold_margin_pass,active_q_below_entry_fold,effective_tau_recovery_ms,time_to_qsafe_ms,persistence_off_bound_ms,reset_time_ms,reset_horizon_pass,q_at_reset,protected_margin_min_mv,protected_margin_pass,release_after_reset_ms,q_at_additive_release,q_never_decreases_after_reset,post_reset_release_pass,handoff_pass,path_pass
20.0,70.0,0.84,0.0,0.125,0.8386919040736557,302.434786894067,118.0,0.8397943227542342,0.23275074362754822,0.37240118980407716,0.0002352725388373722,0.1334593335144904,True,True,True,True,44251.23207201073,61496.665283697206,2629.9184229899865,61496.665283697206,True,0.885,0.1334593335144904,True,35090.873601677165,0.891732279543981,True,True,True,True
20.0,70.0,0.84,0.25,0.125,0.8386919040736557,302.434786894067,118.0,0.8397943227893709,0.23275068402290344,0.37240109443664554,0.0002352725202697803,0.13345923865327547,True,True,True,True,44251.23624044394,61496.67105081185,2629.9184229899865,61496.67105081185,True,0.885,0.13345923865327547,True,35090.870528622196,0.8917322789698241,True,True,True,True
20.0,70.0,0.84,0.5,0.125,0.8386919040736557,302.434786894067,118.0,0.8397943225820713,0.2327510416507721,0.37240166664123536,0.00023527263208455995,0.13345980787129358,True,True,True,True,44251.211229856424,61496.63644555225,2629.9184229899865,61496.63644555225,True,0.885,0.13345980787129358,True,35090.8889669402,0.8917322824147575,True,True,True,True
20.0,70.0,0.84,0.75,0.125,0.8386919040736557,302.434786894067,118.0,0.8397943226112583,0.23275098204612732,0.37240157127380374,0.00023527261597222626,0.1334597129243597,True,True,True,True,44251.21539828572,61496.642217034576,2629.9184229899865,61496.642217034576,True,0.885,0.1334597129243597,True,35090.885893889164,0.8917322818406042,True,True,True,True
20.0,70.0,0.84,0.0,0.0625,0.8386919040736557,302.434786894067,118.0,0.8397944164204831,0.23241522908210754,0.3718643665313721,0.00023521165041084924,0.1329238596941639,True,True,True,True,44274.7086287587,61529.22215951076,2629.9184229899865,61529.22215951076,True,0.885,0.1329238596941639,True,35073.56289762875,0.8917290455076765,True,True,True,True
20.0,70.0,0.84,0.25,0.0625,0.8386919040736557,302.434786894067,118.0,0.839794416407661,0.23241525888442993,0.3718644142150879,0.00023521165749751383,0.1329239071931501,True,True,True,True,44274.706542330336,61529.21926939952,2629.9184229899865,61529.21926939952,True,0.885,0.1329239071931501,True,35073.564436374065,0.8917290457951262,True,True,True,True
20.0,70.0,0.84,0.5,0.0625,0.8386919040736557,302.434786894067,118.0,0.8397944163511809,0.2324153482913971,0.37186455726623535,0.00023521168799067738,0.1329240494305879,True,True,True,True,44274.70028304639,61529.21061231433,2629.9184229899865,61529.21061231433,True,0.885,0.1329240494305879,True,35073.56905260884,0.8917290466574855,True,True,True,True
20.0,70.0,0.84,0.75,0.0625,0.8386919040736557,302.434786894067,118.0,0.8397944164188118,0.23241524398326874,0.37186439037323,0.00023521165110240716,0.1329238835119429,True,True,True,True,44274.70758554449,61529.220710969515,2629.9184229899865,61529.220710969515,True,0.885,0.1329238835119429,True,35073.56366700143,0.8917290456514004,True,True,True,True
20.0,70.0,0.8425,0.0,0.125,0.8413144532634171,273.10824806823996,118.0,0.8422929210899872,0.23083098232746124,0.369329571723938,0.00023591074499906828,0.16667009497020724,True,True,True,True,44385.89857570651,59802.43717676823,2629.9184229899865,59802.43717676823,True,0.885,0.16667009497020724,True,34991.48544204335,0.891713717666819,True,True,True,True
20.0,70.0,0.8425,0.25,0.125,0.8413144532634171,273.10824806823996,118.0,0.8422929210751775,0.23083101212978363,0.36932961940765385,0.00023591075340889667,0.16667014243871842,True,True,True,True,44385.896478785406,59802.43436291527,2629.9184229899865,59802.43436291527,True,0.885,0.16667014243871842,True,34991.486991349426,0.8917137179560506,True,True,True,True
