tau_slow_s,q_hold,event_row_count,periodic_row_count,entry_pass,periodic_pass,schedule_pass,r2_entry_label_match,r2_periodic_label_match,q_reserve,tau_depletion_ms,periodic_q_min
70.0,0.84,2,8,True,True,True,True,True,0.8386919040736557,302.434786894067,0.8398304466543544
70.0,0.8425,2,8,True,True,True,True,True,0.8413144532634171,273.10824806823996,0.8423282181621059
70.0,0.845,2,8,False,True,True,True,True,0.8439360849508646,242.54662812003068,0.8448245476128633
80.0,0.84,2,8,True,True,True,True,True,0.838844123477916,305.4611108354724,0.8398516333305571
80.0,0.8425,2,8,True,True,True,True,True,0.8414516550996554,276.0528483936512,0.8423496839157572
80.0,0.845,2,8,True,True,True,True,True,0.8440583061722413,245.4152332376315,0.8448464730296072
90.0,0.84,2,8,True,True,True,True,True,0.8389647139672025,307.8246027938453,0.8398681134341094
90.0,0.8425,2,8,True,True,True,True,True,0.8415605027325525,278.35361262327285,0.8423663810424236
90.0,0.845,2,8,True,True,True,True,True,0.8441554544311866,247.65779702876864,0.8448635275735541
100.0,0.84,2,8,True,True,True,True,True,0.839062579708895,309.72122272473996,0.8398812984964967
100.0,0.8425,2,8,True,True,True,True,True,0.8416489354745541,280.20059915701574,0.8423797396735893
100.0,0.845,2,8,True,True,True,True,True,0.8442344985543346,249.4587663200658,0.8448771720185939
120.0,0.84,2,8,True,True,False,True,True,0.8392117139936853,312.57546699746126,0.8399010776777672
120.0,0.8425,2,8,True,True,False,True,True,0.8417838571504688,282.98124219773183,0.8423997791070084
120.0,0.845,2,8,True,True,False,True,True,0.844355290169055,252.17128519345255,0.8448976400427911
160.0,0.84,2,8,True,True,False,True,True,0.8394020984431518,316.158105258526,0.8399258042427723
160.0,0.8425,2,8,True,True,False,True,True,0.8419563715763758,286.47334446421326,0.842424830780527
160.0,0.845,2,8,True,True,False,True,True,0.8445100654251599,255.5796307032217,0.8449232271713613
