seed,z_regime,A_frac,eta_m,realized_adap_frac,phenotype,runaway_ms,n_events,peak_participation,peak_returned
1,zA_q75_tz5000,0.0,0.0,0.0,runaway,9293.6,1,0.1491,False
1,zA_q75_tz5000,0.01,0.07452,0.0008,interictal_like,,13,0.0383,True
1,zA_q75_tz5000,0.025,0.18629,0.0015,interictal_like,,6,0.0371,True
1,zA_q75_tz5000,0.05,0.37258,0.003,interictal_like,,4,0.0385,True
1,zA_q75_tz5000,0.1,0.74516,0.0006,suppress,,21,0.0004,True
1,zA_q75_tz5000,0.2,1.49032,0.0009,suppress,,26,0.0004,True
3,zA_q75_tz5000,0.0,0.0,0.0,runaway,9499.3,2,0.1521,False
3,zA_q75_tz5000,0.01,0.07452,0.0008,interictal_like,,6,0.043,True
3,zA_q75_tz5000,0.025,0.18629,0.0013,interictal_like,,5,0.0359,True
3,zA_q75_tz5000,0.05,0.37258,0.003,interictal_like,,2,0.0401,True
3,zA_q75_tz5000,0.1,0.74516,0.0046,interictal_like,,2,0.0358,True
3,zA_q75_tz5000,0.2,1.49032,0.0088,interictal_like,,2,0.0347,True
4,zA_q75_tz5000,0.0,0.0,0.0,runaway,9757.9,5,0.1431,False
4,zA_q75_tz5000,0.01,0.07452,0.0009,interictal_like,,11,0.0389,True
4,zA_q75_tz5000,0.025,0.18629,0.0016,interictal_like,,8,0.0389,True
4,zA_q75_tz5000,0.05,0.37258,0.0025,interictal_like,,4,0.0365,True
4,zA_q75_tz5000,0.1,0.74516,0.0048,interictal_like,,2,0.0357,True
4,zA_q75_tz5000,0.2,1.49032,0.0093,interictal_like,,3,0.0351,True
