tau_h_ms,theta_h,theta_delta,theta_evaluated,substeps,source_phase,source_dt_ms,q_min,q_max,q_mean,q_mean_residual,per_cycle_multiplier,h_per_cycle_multiplier,closure_error,cycle_safe
5000.0,0.015,0.0,0.015,1,0.0,0.125,0.8419012538493071,0.8431058342521557,0.8424999999999998,-2.220446049250313e-16,0.5545230929960422,0.8968854721463225,1.1102230246251565e-16,True
5000.0,0.015,0.0,0.015,1,0.25,0.125,0.8419012534453484,0.8431058338330062,0.8424999999079086,-9.209144558042226e-11,0.5545230797041404,0.8968854714655755,1.1102230246251565e-16,True
5000.0,0.015,0.0,0.015,1,0.5,0.125,0.8419012485333673,0.8431058294788004,0.8424999966461341,-3.353865962729685e-09,0.5545227005650613,0.8968854741778753,0.0,True
5000.0,0.015,0.0,0.015,1,0.75,0.125,0.8419012528266538,0.8431058347700993,0.8425000006682849,6.682848718853052e-10,0.5545231907994075,0.8968854774790692,1.1102230246251565e-16,True
5000.0,0.015,0.0,0.015,1,0.0,0.0625,0.8419011587129109,0.8431045822419092,0.8424992967523821,-7.032476179169578e-07,0.5547751683096829,0.8969823797316586,0.0,True
5000.0,0.015,0.0,0.015,1,0.25,0.0625,0.8419011597158232,0.8431045832993949,0.8424992971032159,-7.028967841105072e-07,0.5547752123085902,0.8969823803389503,0.0,True
5000.0,0.015,0.0,0.015,1,0.5,0.0625,0.841901157887665,0.8431045809331866,0.8424992947166664,-7.052833336240738e-07,0.5547749244491852,0.8969823793360088,1.1102230246251565e-16,True
5000.0,0.015,0.0,0.015,1,0.75,0.0625,0.8419011581588185,0.8431045804194132,0.8424992959908927,-7.04009107344028e-07,0.5547750776828458,0.8969823798500806,1.1102230246251565e-16,True
5000.0,0.015,0.0,0.015,2,0.0,0.125,0.8419012538493084,0.8431058342521578,0.8424999999999825,-1.7541523789077473e-14,0.5545230929960467,0.8968854721464243,1.1102230246251565e-16,True
5000.0,0.015,0.0,0.015,2,0.25,0.125,0.8419012534453503,0.8431058338330056,0.8424999999078909,-9.21090981265138e-11,0.5545230797041452,0.8968854714656761,0.0,True
5000.0,0.015,0.0,0.015,2,0.5,0.125,0.8419012485333693,0.8431058294788024,0.8424999966461164,-3.3538836152757767e-09,0.5545227005650659,0.8968854741779764,0.0,True
5000.0,0.015,0.0,0.015,2,0.75,0.125,0.8419012528266561,0.8431058347701028,0.8425000006682678,6.682677744507259e-10,0.554523190799412,0.8968854774791716,0.0,True
5000.0,0.015,0.0,0.015,2,0.0,0.0625,0.841901158712914,0.8431045822419093,0.8424992967523649,-7.032476351254147e-07,0.5547751683096876,0.8969823797317596,1.1102230246251565e-16,True
5000.0,0.015,0.0,0.015,2,0.25,0.0625,0.8419011597158235,0.8431045832993944,0.8424992971031962,-7.02896803872477e-07,0.5547752123085942,0.8969823803390505,0.0,True
5000.0,0.015,0.0,0.015,2,0.5,0.0625,0.8419011578876657,0.843104580933186,0.8424992947166488,-7.052833512766199e-07,0.55477492444919,0.8969823793361105,0.0,True
5000.0,0.015,0.0,0.015,2,0.75,0.0625,0.8419011581588183,0.8431045804194128,0.8424992959908763,-7.040091237753288e-07,0.5547750776828506,0.8969823798501816,0.0,True
5000.0,0.015,-0.001,0.013999999999999999,1,0.0,0.125,0.8419012538493071,0.8431058342521557,0.8424999999999998,-2.220446049250313e-16,0.5545230929960422,0.8968854721463225,1.1102230246251565e-16,True
5000.0,0.015,-0.001,0.013999999999999999,1,0.25,0.125,0.8419012534453484,0.8431058338330062,0.8424999999079086,-9.209144558042226e-11,0.5545230797041404,0.8968854714655755,1.1102230246251565e-16,True
5000.0,0.015,-0.001,0.013999999999999999,1,0.5,0.125,0.8419012485333673,0.8431058294788004,0.8424999966461341,-3.353865962729685e-09,0.5545227005650613,0.8968854741778753,0.0,True
5000.0,0.015,-0.001,0.013999999999999999,1,0.75,0.125,0.8419012528266538,0.8431058347700993,0.8425000006682849,6.682848718853052e-10,0.5545231907994075,0.8968854774790692,1.1102230246251565e-16,True
5000.0,0.015,-0.001,0.013999999999999999,1,0.0,0.0625,0.8419011587129109,0.8431045822419092,0.8424992967523821,-7.032476179169578e-07,0.5547751683096829,0.8969823797316586,0.0,True
5000.0,0.015,-0.001,0.013999999999999999,1,0.25,0.0625,0.8419011597158232,0.8431045832993949,0.8424992971032159,-7.028967841105072e-07,0.5547752123085902,0.8969823803389503,0.0,True
5000.0,0.015,-0.001,0.013999999999999999,1,0.5,0.0625,0.841901157887665,0.8431045809331866,0.8424992947166664,-7.052833336240738e-07,0.5547749244491852,0.8969823793360088,1.1102230246251565e-16,True
5000.0,0.015,-0.001,0.013999999999999999,1,0.75,0.0625,0.8419011581588185,0.8431045804194132,0.8424992959908927,-7.04009107344028e-07,0.5547750776828458,0.8969823798500806,1.1102230246251565e-16,True
5000.0,0.015,-0.001,0.013999999999999999,2,0.0,0.125,0.8419012538493084,0.8431058342521578,0.8424999999999825,-1.7541523789077473e-14,0.5545230929960467,0.8968854721464243,1.1102230246251565e-16,True
5000.0,0.015,-0.001,0.013999999999999999,2,0.25,0.125,0.8419012534453503,0.8431058338330056,0.8424999999078909,-9.21090981265138e-11,0.5545230797041452,0.8968854714656761,0.0,True
5000.0,0.015,-0.001,0.013999999999999999,2,0.5,0.125,0.8419012485333693,0.8431058294788024,0.8424999966461164,-3.3538836152757767e-09,0.5545227005650659,0.8968854741779764,0.0,True
5000.0,0.015,-0.001,0.013999999999999999,2,0.75,0.125,0.8419012528266561,0.8431058347701028,0.8425000006682678,6.682677744507259e-10,0.554523190799412,0.8968854774791716,0.0,True
5000.0,0.015,-0.001,0.013999999999999999,2,0.0,0.0625,0.841901158712914,0.8431045822419093,0.8424992967523649,-7.032476351254147e-07,0.5547751683096876,0.8969823797317596,1.1102230246251565e-16,True
5000.0,0.015,-0.001,0.013999999999999999,2,0.25,0.0625,0.8419011597158235,0.8431045832993944,0.8424992971031962,-7.02896803872477e-07,0.5547752123085942,0.8969823803390505,0.0,True
5000.0,0.015,-0.001,0.013999999999999999,2,0.5,0.0625,0.8419011578876657,0.843104580933186,0.8424992947166488,-7.052833512766199e-07,0.55477492444919,0.8969823793361105,0.0,True
5000.0,0.015,-0.001,0.013999999999999999,2,0.75,0.0625,0.8419011581588183,0.8431045804194128,0.8424992959908763,-7.040091237753288e-07,0.5547750776828506,0.8969823798501816,0.0,True
5000.0,0.015,0.001,0.016,1,0.0,0.125,0.8419012538493071,0.8431058342521557,0.8424999999999998,-2.220446049250313e-16,0.5545230929960422,0.8968854721463225,1.1102230246251565e-16,True
5000.0,0.015,0.001,0.016,1,0.25,0.125,0.8419012534453484,0.8431058338330062,0.8424999999079086,-9.209144558042226e-11,0.5545230797041404,0.8968854714655755,1.1102230246251565e-16,True
5000.0,0.015,0.001,0.016,1,0.5,0.125,0.8419012485333673,0.8431058294788004,0.8424999966461341,-3.353865962729685e-09,0.5545227005650613,0.8968854741778753,0.0,True
5000.0,0.015,0.001,0.016,1,0.75,0.125,0.8419012528266538,0.8431058347700993,0.8425000006682849,6.682848718853052e-10,0.5545231907994075,0.8968854774790692,1.1102230246251565e-16,True
5000.0,0.015,0.001,0.016,1,0.0,0.0625,0.8419011587129109,0.8431045822419092,0.8424992967523821,-7.032476179169578e-07,0.5547751683096829,0.8969823797316586,0.0,True
5000.0,0.015,0.001,0.016,1,0.25,0.0625,0.8419011597158232,0.8431045832993949,0.8424992971032159,-7.028967841105072e-07,0.5547752123085902,0.8969823803389503,0.0,True
5000.0,0.015,0.001,0.016,1,0.5,0.0625,0.841901157887665,0.8431045809331866,0.8424992947166664,-7.052833336240738e-07,0.5547749244491852,0.8969823793360088,1.1102230246251565e-16,True
5000.0,0.015,0.001,0.016,1,0.75,0.0625,0.8419011581588185,0.8431045804194132,0.8424992959908927,-7.04009107344028e-07,0.5547750776828458,0.8969823798500806,1.1102230246251565e-16,True
5000.0,0.015,0.001,0.016,2,0.0,0.125,0.8419012538493084,0.8431058342521578,0.8424999999999825,-1.7541523789077473e-14,0.5545230929960467,0.8968854721464243,1.1102230246251565e-16,True
5000.0,0.015,0.001,0.016,2,0.25,0.125,0.8419012534453503,0.8431058338330056,0.8424999999078909,-9.21090981265138e-11,0.5545230797041452,0.8968854714656761,0.0,True
5000.0,0.015,0.001,0.016,2,0.5,0.125,0.8419012485333693,0.8431058294788024,0.8424999966461164,-3.3538836152757767e-09,0.5545227005650659,0.8968854741779764,0.0,True
5000.0,0.015,0.001,0.016,2,0.75,0.125,0.8419012528266561,0.8431058347701028,0.8425000006682678,6.682677744507259e-10,0.554523190799412,0.8968854774791716,0.0,True
5000.0,0.015,0.001,0.016,2,0.0,0.0625,0.841901158712914,0.8431045822419093,0.8424992967523649,-7.032476351254147e-07,0.5547751683096876,0.8969823797317596,1.1102230246251565e-16,True
5000.0,0.015,0.001,0.016,2,0.25,0.0625,0.8419011597158235,0.8431045832993944,0.8424992971031962,-7.02896803872477e-07,0.5547752123085942,0.8969823803390505,0.0,True
5000.0,0.015,0.001,0.016,2,0.5,0.0625,0.8419011578876657,0.843104580933186,0.8424992947166488,-7.052833512766199e-07,0.55477492444919,0.8969823793361105,0.0,True
5000.0,0.015,0.001,0.016,2,0.75,0.0625,0.8419011581588183,0.8431045804194128,0.8424992959908763,-7.040091237753288e-07,0.5547750776828506,0.8969823798501816,0.0,True
5000.0,0.02,0.0,0.02,1,0.0,0.125,0.8419022653727093,0.8431067791562254,0.8424999999999999,-1.1102230246251565e-16,0.5228337799720775,0.8968854721463225,1.1102230246251565e-16,True
5000.0,0.02,0.0,0.02,1,0.25,0.125,0.8419022654539466,0.8431067792769024,0.8424999999165667,-8.343337132288298e-11,0.5228337661389638,0.8968854714655755,1.1102230246251565e-16,True
5000.0,0.02,0.0,0.02,1,0.5,0.125,0.8419022645374263,0.843106776756469,0.842499996958525,-3.04147507179664e-09,0.5228333712249134,0.8968854741778753,1.1102230246251565e-16,True
5000.0,0.02,0.0,0.02,1,0.75,0.125,0.8419022678351535,0.8431067822910553,0.8425000006054055,6.054055035065176e-10,0.5228338817528067,0.8968854774790692,1.1102230246251565e-16,True
5000.0,0.02,0.0,0.02,1,0.0,0.0625,0.8419022233654581,0.8431055667549471,0.8424993441332237,-6.558667763334469e-07,0.5230948439676917,0.8969823797316586,0.0,True
5000.0,0.02,0.0,0.02,1,0.25,0.0625,0.8419022219915743,0.8431055666453214,0.842499344451042,-6.555489580062357e-07,0.5230948897852655,0.8969823803389503,1.1102230246251565e-16,True
5000.0,0.02,0.0,0.02,1,0.5,0.0625,0.8419022218163777,0.8431055664928445,0.8424993422875044,-6.57712495577556e-07,0.523094589982077,0.8969823793360088,1.1102230246251565e-16,True
