z,alpha_G,w_ee_mult,ratio,rE_khz,rI_khz,rE_hz,rI_hz,residual_inf,stability,branch_class,leading_real_per_ms,leading_imag_per_ms,leading_frequency_hz,S_G,divisor,lut_clip_at_root,jacobian_dimension
1.0,0.0,1.1,1.0,0.00027150869483261826,0.005071934141905865,0.27150869483261825,5.071934141905865,9.162662508062358e-10,stable,low_root,-0.012499999999999999,0.0,0.0,0.0,1.0,False,9
0.99,0.0,1.1,1.0,0.0003015482623931381,0.005106382760687327,0.3015482623931381,5.106382760687327,3.3871961225423464e-13,stable,low_root,-0.012499999999999999,0.0,0.0,0.0,1.0,False,9
0.98,0.0,1.1,1.0,0.00033058583029338135,0.00513966112268051,0.33058583029338134,5.1396611226805105,4.5008593206607994e-14,stable,low_root,-0.012499999999999999,0.0,0.0,0.0,1.0,False,9
0.98,0.0,1.1,1.0,0.08788861216974271,0.10056914779567126,87.88861216974271,100.56914779567126,3.6415315207705135e-14,unstable,finite_high_root,0.019642440768414305,0.0,0.0,0.9682898595578567,1.0,False,9
0.98,0.0,1.1,1.0,0.1381891437442359,0.15409784117959557,138.1891437442359,154.09784117959558,7.327471962526033e-14,unstable,saturation_cliff_root,0.007194517255491161,0.12547363311509127,19.969748937965708,0.9874751925392347,1.0,False,9
0.97,0.0,1.1,1.0,0.00035848660871116235,0.005171617406488378,0.35848660871116234,5.171617406488378,1.80967003535204e-13,stable,low_root,-0.012499999999999999,0.0,0.0,0.0,1.0,False,9
0.97,0.0,1.1,1.0,0.0427397395265827,0.05196269493078612,42.7397395265827,51.96269493078612,1.6422370407997988e-11,unstable,finite_high_root,0.08932255549925877,0.0,0.0,0.8635774902570799,1.0,False,9
0.97,0.0,1.1,1.0,0.21202426026385335,0.23174965428707198,212.02426026385334,231.749654287072,1.1102230246251565e-16,stable,saturation_cliff_root,-0.012499999999999288,0.0,0.0,0.9947776490471527,1.0,False,9
0.96,0.0,1.1,1.0,0.0003851072949261176,0.005202090217052168,0.38510729492611756,5.202090217052168,3.376273327755641e-13,stable,low_root,-0.012499999999999999,0.0,0.0,0.0,1.0,False,9
0.96,0.0,1.1,1.0,0.028084231795580297,0.03599712042604367,28.084231795580298,35.99712042604367,2.672832788430668e-11,unstable,finite_high_root,0.10041762707187096,0.0,0.0,0.7031199158100025,1.0,False,9
0.96,0.0,1.1,1.0,0.24938653460803756,0.2706266704825766,249.38653460803755,270.6266704825766,1.4432899320127035e-15,stable,saturation_cliff_root,-0.012499999999998313,0.0,0.0,0.996246858514095,1.0,False,9
0.95,0.0,1.1,1.0,0.00044367729696470637,0.005269077325030659,0.44367729696470637,5.2690773250306595,1.506086921843064e-14,stable,low_root,-0.012499999999999999,0.0,0.0,0.0,1.0,False,9
0.95,0.0,1.1,1.0,0.02017208977253711,0.027313304755181265,20.172089772537113,27.313304755181264,1.6143336667440167e-14,unstable,finite_high_root,0.10352233281867766,0.0,0.0,0.5057034224589458,1.0,False,9
0.95,0.0,1.1,1.0,0.27584678337241103,0.29797605501534297,275.84678337241104,297.976055015343,3.178951546445319e-11,stable,saturation_cliff_root,-0.012500000000003425,0.0,0.0,0.9969422276753835,1.0,False,9
0.94,0.0,1.1,1.0,0.0005097862048764674,0.005344593368133954,0.5097862048764674,5.344593368133954,2.2952126310649135e-14,stable,low_root,-0.012499999999999999,0.0,0.0,0.0,1.0,False,9
0.94,0.0,1.1,1.0,0.015180981420452624,0.02179981868238054,15.180981420452623,21.79981868238054,1.2074646837945124e-12,unstable,finite_high_root,0.09442994400527273,0.0,0.0,0.31538606790929363,1.0,False,9
0.94,0.0,1.1,1.0,0.2962482838270464,0.3189518828784897,296.24828382704635,318.9518828784897,2.7755575615628914e-15,stable,saturation_cliff_root,-0.012499999999996668,0.0,0.0,0.9973545148614252,1.0,False,9
0.93,0.0,1.1,1.0,0.0005776538218641978,0.005422019101567993,0.5776538218641978,5.422019101567993,2.504073337572521e-14,stable,low_root,-0.012499999999999999,0.0,0.0,0.0,1.0,False,9
0.93,0.0,1.1,1.0,0.011791897391503893,0.0180363196395046,11.791897391503893,18.0363196395046,3.623143451925159e-14,unstable,finite_high_root,0.1013345695965144,0.0,0.0,0.1701393879864686,1.0,False,9
0.93,0.0,1.1,1.0,0.30341958634374544,0.32630077674067837,303.41958634374544,326.3007767406784,2.220446049250313e-16,stable,saturation_cliff_root,-0.01249999999999876,0.0,0.0,0.9974798175250589,1.0,True,9
0.92,0.0,1.1,1.0,0.0006473873460128703,0.005501472733635846,0.6473873460128703,5.501472733635846,2.8016651498763423e-14,stable,low_root,-0.012499999999999999,0.0,0.0,0.0,1.0,False,9
0.92,0.0,1.1,1.0,0.009258955861872146,0.015210088485537326,9.258955861872145,15.210088485537325,3.2439329000766293e-15,unstable,finite_high_root,0.0746656520076943,0.0,0.0,0.0746022934969784,1.0,False,9
0.92,0.0,1.1,1.0,0.30337658899354575,0.32625675766244205,303.37658899354574,326.25675766244206,5.551115123125783e-16,stable,saturation_cliff_root,-0.012500000000000571,0.0,0.0,0.997479092965613,1.0,True,9
0.91,0.0,1.1,1.0,0.0007191128073292215,0.005583093479183877,0.7191128073292216,5.583093479183877,3.2063761368217314e-14,stable,low_root,-0.012499999999999999,0.0,0.0,0.0,1.0,False,9
0.91,0.0,1.1,1.0,0.007310180622843823,0.013027077675556446,7.310180622843823,13.027077675556445,1.6479873021779667e-16,unstable,finite_high_root,0.07392550812392906,0.0,0.0,0.023170120421688575,1.0,False,9
0.91,0.0,1.1,1.0,0.3033341428132651,0.32621330262953896,303.3341428132651,326.213302629539,4.996003610813204e-16,stable,saturation_cliff_root,-0.01250000000000325,0.0,0.0,0.997478377387802,1.0,True,9
0.9,0.0,1.1,1.0,0.0008850656030424161,0.005771564675155299,0.8850656030424161,5.7715646751552985,2.3548871186385156e-15,stable,low_root,-0.012499999999999999,0.0,0.0,0.0,1.0,False,9
0.9,0.0,1.1,1.0,0.005781865346899193,0.01130953680544864,5.781865346899193,11.30953680544864,6.036837696399289e-16,unstable,finite_high_root,0.07298718489461152,0.0,0.0,0.002709586728666934,1.0,False,9
0.9,0.0,1.1,1.0,0.30329194859446273,0.3261701053282591,303.2919485944627,326.17010532825907,4.440892098500626e-16,stable,saturation_cliff_root,-0.01249999999999659,0.0,0.0,0.9974776657559137,1.0,True,9
0.89,0.0,1.1,1.0,0.001118841997600176,0.006036242538963981,1.118841997600176,6.036242538963981,2.9709741611316787e-14,stable,low_root,-0.012499999999999999,0.0,0.0,0.0,1.0,False,9
0.89,0.0,1.1,1.0,0.00451171044450264,0.009877281643845189,4.51171044450264,9.877281643845189,7.245955571666407e-12,unstable,low_root,0.069149609988746,0.0,0.0,0.0,1.0,False,9
0.89,0.0,1.1,1.0,0.3032503151023913,0.3261274818703928,303.2503151023913,326.1274818703928,5.551115123125783e-16,stable,saturation_cliff_root,-0.012499999999999001,0.0,0.0,0.9974769632859722,1.0,True,9
0.88,0.0,1.1,1.0,0.0014332769641995907,0.0063909039177260495,1.4332769641995906,6.39090391772605,4.34522860401354e-13,stable,low_root,-0.012499999999999999,0.0,0.0,0.0,1.0,False,9
0.88,0.0,1.1,1.0,0.0030167554816740664,0.008186141061157792,3.0167554816740663,8.186141061157791,2.3852447794681098e-14,unstable,low_root,0.018377249190841265,0.0,0.0,0.0,1.0,False,9
0.88,0.0,1.1,1.0,0.3032089346300858,0.32608511723850736,303.2089346300858,326.08511723850734,4.440892098500626e-16,stable,saturation_cliff_root,-0.012500000000000615,0.0,0.0,0.9974762647945787,1.0,True,9
0.87,0.0,1.1,1.0,0.3031681172332303,0.32604332886857157,303.1681172332303,326.04332886857156,6.661338147750939e-16,stable,saturation_cliff_root,-0.01249999999999978,0.0,0.0,0.9974755755237827,1.0,True,9
0.86,0.0,1.1,1.0,0.30312756125157575,0.32600180793055916,303.12756125157574,326.00180793055915,4.440892098500626e-16,stable,saturation_cliff_root,-0.012499999999999675,0.0,0.0,0.9974748903879542,1.0,True,9
0.85,0.0,1.1,1.0,0.30308756293166395,0.32596085772573596,303.08756293166397,325.960857725736,3.3306690738754696e-16,stable,saturation_cliff_root,-0.012499999999996795,0.0,0.0,0.9974742144000296,1.0,True,9
0.84,0.0,1.1,1.0,0.3030478423098803,0.32592019163401703,303.0478423098803,325.92019163401704,3.3306690738754696e-16,stable,saturation_cliff_root,-0.012500000000001123,0.0,0.0,0.9974735428368788,1.0,True,9
0.83,0.0,1.1,1.0,0.3030086655864543,0.32588008219796355,303.0086655864543,325.88008219796353,3.885780586188048e-16,stable,saturation_cliff_root,-0.01250000000000297,0.0,0.0,0.9974728802073357,1.0,True,9
0.82,0.0,1.1,1.0,0.30296979131342533,0.3258402822273541,302.96979131342533,325.8402822273541,6.661338147750939e-16,stable,saturation_cliff_root,-0.012500000000000684,0.0,0.0,0.9974722224359032,1.0,True,9
0.81,0.0,1.1,1.0,0.3029314382034988,0.3258010156488708,302.93143820349883,325.8010156488708,3.3306690738754696e-16,stable,saturation_cliff_root,-0.012500000000000849,0.0,0.0,0.9974715732313112,1.0,True,9
