fork_index,z,alpha_G,w_ee_mult,ratio,phase_id,phase_fraction,history,perturbation_family,off_orbit,screen_status,screen_classification,screen_tail_mean_hz,screen_frequency_hz,screen_direct_exact_pass,confirm_status,confirm_classification,confirm_tail_mean_hz,confirm_frequency_hz,confirm_amplitude_hz,confirm_direct_exact_pass,dt_half_classification,dt_half_tail_mean_hz,dt_half_frequency_hz,dt_half_amplitude_hz,dt_half_direct_exact_pass,final_status,strict_confirm_dt_half_gate,dt_half_rate_abs_difference_hz,dt_half_frequency_abs_difference_hz,dt_half_amplitude_abs_difference_hz
0,0.84,15.0,1.1,1.0,phase_000,0.0,phase_anchor,anchor,False,numerical_unresolved,bounded_indeterminate,6.145267101552187,1.6632016632016986,True,,,,,,,,,,,,numerical_unresolved,,,,
1,0.84,15.0,1.1,1.0,phase_000,0.0,fast_plus,fast,True,numerical_unresolved,bounded_indeterminate,6.145057371665536,1.6632016632016986,True,,,,,,,,,,,,numerical_unresolved,,,,
2,0.84,15.0,1.1,1.0,phase_000,0.0,fast_minus,fast,True,numerical_unresolved,bounded_indeterminate,6.145997446264177,1.6632016632016986,True,,,,,,,,,,,,numerical_unresolved,,,,
3,0.84,15.0,1.1,1.0,phase_000,0.0,pool_plus,pool,True,numerical_unresolved,bounded_indeterminate,6.145345841148644,1.6632016632016986,True,,,,,,,,,,,,numerical_unresolved,,,,
4,0.84,15.0,1.1,1.0,phase_000,0.0,pool_minus,pool,True,numerical_unresolved,bounded_indeterminate,6.145185295767354,1.6632016632016986,True,,,,,,,,,,,,numerical_unresolved,,,,
5,0.84,15.0,1.1,1.0,phase_025,0.25,phase_anchor,anchor,False,numerical_unresolved,indeterminate_long_transient,6.240413720676435,1.6632016632016986,True,,,,,,,,,,,,numerical_unresolved,,,,
6,0.84,15.0,1.1,1.0,phase_025,0.25,fast_plus,fast,True,numerical_unresolved,indeterminate_long_transient,6.240413709664175,1.6632016632016986,True,,,,,,,,,,,,numerical_unresolved,,,,
7,0.84,15.0,1.1,1.0,phase_025,0.25,fast_minus,fast,True,numerical_unresolved,indeterminate_long_transient,6.240413743971601,1.6632016632016986,True,,,,,,,,,,,,numerical_unresolved,,,,
8,0.84,15.0,1.1,1.0,phase_025,0.25,pool_plus,pool,True,numerical_unresolved,indeterminate_long_transient,6.231974338165827,1.6632016632016986,True,,,,,,,,,,,,numerical_unresolved,,,,
9,0.84,15.0,1.1,1.0,phase_025,0.25,pool_minus,pool,True,numerical_unresolved,indeterminate_long_transient,6.249963737062901,1.6632016632016986,True,,,,,,,,,,,,numerical_unresolved,,,,
10,0.84,15.0,1.1,1.0,phase_050,0.5,phase_anchor,anchor,False,numerical_unresolved,indeterminate_long_transient,7.445053613489095,1.6632016632016986,True,,,,,,,,,,,,numerical_unresolved,,,,
11,0.84,15.0,1.1,1.0,phase_050,0.5,fast_plus,fast,True,numerical_unresolved,indeterminate_long_transient,7.445053296856361,1.6632016632016986,True,,,,,,,,,,,,numerical_unresolved,,,,
