analysis_scope,comparison,baseline,model,n_patients,median_benefit,median_ci95_low,median_ci95_high,n_positive,fraction_positive,wilcoxon_one_sided_p,bh_fdr_q,pass
coordinate_free_n31,probability_markov_over_node,node_bias,empirical_probability_markov,31,0.014379481969814922,0.010752815775662672,0.01720340072172072,30,0.967741935483871,9.313225746154785e-10,2.561137080192566e-09,True
coordinate_free_n31,directed_logit_over_node,node_bias,directed_logit_markov,31,0.014379481969814922,0.010752815775662672,0.01720340072172072,30,0.967741935483871,9.313225746154785e-10,2.561137080192566e-09,True
coordinate_free_n31,symmetric_over_node,node_bias,symmetric_only,31,0.014792068094339306,0.01006611333995816,0.01771303304610572,30,0.967741935483871,9.313225746154785e-10,2.561137080192566e-09,True
coordinate_free_n31,skew_increment_over_symmetric,symmetric_only,symmetric_plus_skew,31,-4.345090462282153e-05,-0.00022870046706571778,0.0006161673535619028,15,0.4838709677419355,0.25213842280209064,0.25213842280209064,False
coordinate_free_n31,last_rank_over_source_only,source_only,directed_logit_markov,31,0.018410848067242858,0.013719167805217092,0.02250087091156283,29,0.9354838709677419,2.3283064365386963e-09,5.122274160385132e-09,True
coordinate_free_n31,ordered_history_over_last_rank,directed_logit_markov,ordered_full_prefix,31,0.006812777002970505,0.004906523028516796,0.00814508007937259,30,0.967741935483871,9.313225746154785e-10,2.561137080192566e-09,True
physical_axis_n22,local_geometry_over_node,node_bias,same_shaft_plus_distance,22,0.000443807468866228,-0.0010616979264947701,0.0028339315118104252,12,0.5454545454545454,0.15265440940856934,0.16791985034942628,False
physical_axis_n22,directed_beyond_local_geometry,same_shaft_plus_distance,directed_logit_markov,22,0.00980510520483907,0.006213672571890982,0.013033212764693713,21,0.9545454545454546,7.867813110351562e-06,1.236370631626674e-05,True
physical_axis_n22,axis_beyond_local_geometry,same_shaft_plus_distance,physical_axis_residual,22,0.0021483279660406973,0.0009214213603116472,0.003810211688421161,20,0.9090909090909091,2.384185791015625e-06,4.3710072835286456e-06,True
physical_axis_n22,source_direction_beyond_axis,physical_axis_residual,source_conditioned_axis,22,1.7317788581855398e-05,-8.617107164488047e-07,0.00015970202930687405,15,0.6818181818181818,0.007047414779663086,0.008613506952921549,True
