source_dataset,target_dataset,condition,component,n,median_nats,median_bits,positive,sign_p_two_sided,wilcoxon_p_two_sided,bootstrap_ci95
epilepsiae,yuquan,fir_h3_source_frozen,event_contact_choice_nll,16,0.004043102264404408,0.005832963586663178,9,0.803619384765625,0.433197021484375,"[-0.004345118999481201, 0.009961128234863281]"
epilepsiae,yuquan,fir_h3_source_frozen,event_contact_contribution_nll,16,0.003202378749847412,0.00462005594145306,9,0.803619384765625,0.433197021484375,"[-0.0037830471992493786, 0.009670093655586687]"
epilepsiae,yuquan,fir_h3_source_frozen,event_stop_contribution_nll,16,0.0038716644048690935,0.005585631036890961,9,0.803619384765625,0.668548583984375,"[-0.007505923509597806, 0.013558536767959595]"
epilepsiae,yuquan,fir_h3_source_frozen,event_total_nll,16,0.004844546318054199,0.00698920294841368,10,0.454498291015625,0.375457763671875,"[-0.013671875, 0.025722026824950728]"
epilepsiae,yuquan,linear_source_frozen,event_contact_choice_nll,16,-0.006479501724243497,-0.009347945004997582,7,0.803619384765625,0.129730224609375,"[-0.0314598083496096, 0.002299070358276367]"
epilepsiae,yuquan,linear_source_frozen,event_contact_contribution_nll,16,-0.0059241801500322655,-0.008546785323784384,6,0.454498291015625,0.116668701171875,"[-0.025131285190582053, 0.0023864805698396996]"
epilepsiae,yuquan,linear_source_frozen,event_stop_contribution_nll,16,-0.0051126331090926985,-0.007375970432372759,6,0.454498291015625,0.781951904296875,"[-0.013882219791412409, 0.010983891785144806]"
epilepsiae,yuquan,linear_source_frozen,event_total_nll,16,-0.009883642196655051,-0.014259081583035144,7,0.803619384765625,0.2978515625,"[-0.036562204360961914, 0.007859945297241211]"
yuquan,epilepsiae,fir_h3_source_frozen,event_contact_choice_nll,18,0.012765109539032093,0.018416160228366004,13,0.09625244140625,0.16735076904296875,"[-0.0008491277694702148, 0.027183413505553977]"
yuquan,epilepsiae,fir_h3_source_frozen,event_contact_contribution_nll,18,0.010868310928344727,0.015679658279162265,13,0.09625244140625,0.16735076904296875,"[-0.0012545958161356285, 0.02439555525779724]"
yuquan,epilepsiae,fir_h3_source_frozen,event_stop_contribution_nll,18,0.003769055008888217,0.0054375969701607385,10,0.8145294189453125,0.5798416137695312,"[-0.009478211402893094, 0.015920929610729245]"
yuquan,epilepsiae,fir_h3_source_frozen,event_total_nll,18,-0.01460075378417991,-0.02106443507767712,7,0.480682373046875,0.83172607421875,"[-0.03845006227493275, 0.03310251235961914]"
yuquan,epilepsiae,linear_source_frozen,event_contact_choice_nll,18,0.037149906158447266,0.05359598538428223,16,0.001312255859375,0.0023345947265625,"[0.016008734703063965, 0.04716527462005626]"
yuquan,epilepsiae,linear_source_frozen,event_contact_contribution_nll,18,0.03128079324960731,0.045128645296281425,16,0.001312255859375,0.0023345947265625,"[0.014667540788650513, 0.04111851006746292]"
yuquan,epilepsiae,linear_source_frozen,event_stop_contribution_nll,18,0.013598166406154577,0.01961800723934211,13,0.09625244140625,0.01203155517578125,"[-0.0005708411335945546, 0.019165068864822332]"
yuquan,epilepsiae,linear_source_frozen,event_total_nll,18,0.04351532459259033,0.06277934299240362,17,0.00014495849609375,0.00193023681640625,"[0.030434548854827992, 0.062215209007263184]"
