subject,dataset,seed,condition,n_events,n_decisions,n_nonterminal_decisions,n_tied_nonterminal_decisions,event_total_nll,event_stop_contribution_nll,event_contact_contribution_nll,event_contact_choice_nll,event_continue_nll,event_terminal_stop_nll,joint_stop_brier,joint_terminal_stop_probability,joint_nonterminal_stop_probability,maximum_event_nll_reconstruction_error,original_event_nll
epilepsiae_1073,epilepsiae,20260725,unordered_retrained,27655,124925,97270,0,1.5939209461212158,0.3729576170444488,1.2209633588790894,1.5849013328552246,0.0901715010404586,1.2697029113769531,0.1249171169647747,0.3137883324791005,0.0900160833946013,3.5762786865234375e-07,1.5939209461212158
epilepsiae_1073,epilepsiae,20260725,fir_h3_residual,27655,124925,97270,0,1.7592259645462036,0.508172869682312,1.2510533332824707,1.6234114170074463,0.0376260466873645,2.024099588394165,0.1602609988110744,0.179149164387539,0.0409723787443369,3.5762786865234375e-07,1.7592260837554932
epilepsiae_1077,epilepsiae,20260725,unordered_retrained,6476,31652,25176,0,1.3557920455932615,0.2972062528133392,1.0585857629776,1.346606731414795,0.1723942160606384,0.6669540405273438,0.0937230931921911,0.568352867118034,0.1524478064951776,2.384185791015625e-07,1.3557920455932615
epilepsiae_1077,epilepsiae,20260725,fir_h3_residual,6476,31652,25176,0,1.376752853393555,0.279335469007492,1.0974174737930298,1.3954894542694092,0.0979713201522827,0.8458242416381836,0.0868989183923526,0.5266513014850773,0.0896484887587426,4.76837158203125e-07,1.376752853393555
epilepsiae_1084,epilepsiae,20260725,unordered_retrained,1464,11861,10397,0,1.8919318914413448,0.248179405927658,1.6437524557113647,1.881595492362976,0.0985883250832557,1.2319051027297974,0.0750512513638695,0.3194928293630399,0.0942691660776298,4.76837158203125e-07,1.891931772232056
epilepsiae_1084,epilepsiae,20260725,fir_h3_residual,1464,11861,10397,0,1.9304519891738887,0.2373155206441879,1.69313645362854,1.937792181968689,0.087802268564701,1.2147423028945925,0.0731120807409453,0.3538903402637873,0.0813065096287402,4.76837158203125e-07,1.9304519891738887
epilepsiae_1096,epilepsiae,20260725,unordered_retrained,28068,165555,137487,0,1.459262132644653,0.2715664207935333,1.187695860862732,1.442407727241516,0.1104953587055206,0.9404965043067932,0.0853509893719531,0.4573360348407811,0.1004953246282664,4.76837158203125e-07,1.459262132644653
epilepsiae_1096,epilepsiae,20260725,fir_h3_residual,28068,165555,137487,0,1.4764161109924316,0.2624731659889221,1.2139428853988647,1.4741008281707764,0.1176963672041893,0.8531432151794434,0.0842007278903675,0.5100007172631734,0.0984513916467126,4.76837158203125e-07,1.476415991783142
epilepsiae_1125,epilepsiae,20260725,unordered_retrained,7195,49688,42493,0,1.4281244277954102,0.2586885988712311,1.169435739517212,1.3814891576766968,0.1407558619976043,0.7806112766265869,0.0784018409032949,0.5467470647571732,0.1248691958094013,4.76837158203125e-07,1.4281244277954102
epilepsiae_1125,epilepsiae,20260725,fir_h3_residual,7195,49688,42493,0,1.4384764432907104,0.2767250537872314,1.1617512702941897,1.372167468070984,0.2017225921154022,0.5706629753112793,0.092484572924065,0.652499821236392,0.1536665616356767,4.76837158203125e-07,1.4384764432907104
