comparison,component,dataset,n,median_nats,median_bits,positive,sign_p_two_sided,wilcoxon_p_two_sided,ci95_low,ci95_high
fir_minus_retrained_unordered,event_contact_choice_nll,all,34,0.004989564418792836,0.007198419843188447,18,0.8641662404406816,0.4265116018941626,-0.0043016672134401635,0.016808748245239258
fir_minus_retrained_unordered,event_contact_choice_nll,epilepsiae,18,-0.0024254918098450817,-0.003499245005780296,7,0.480682373046875,0.6705245971679688,-0.018021345138549805,0.007863581180572399
fir_minus_retrained_unordered,event_contact_choice_nll,yuquan,16,0.01175069808959961,0.016952673860848772,11,0.210113525390625,0.104583740234375,-0.0024303793907165527,0.031140565872192383
fir_minus_retrained_unordered,event_contact_contribution_nll,all,34,0.003637254238128662,0.005247448651800586,18,0.8641662404406816,0.4567767282715067,-0.0041162967681884766,0.013069868087768999
fir_minus_retrained_unordered,event_contact_contribution_nll,epilepsiae,18,-0.0015541315078734241,-0.002242137819298276,7,0.480682373046875,0.5798416137695312,-0.01662558317184437,0.006436347961425781
fir_minus_retrained_unordered,event_contact_contribution_nll,yuquan,16,0.009701073169708252,0.013995690153239072,11,0.210113525390625,0.104583740234375,-0.000993490219116211,0.02929377555847168
fir_minus_retrained_unordered,event_continue_nll,all,34,0.008238546550273899,0.01188571025221303,18,0.8641662404406816,0.17912400187924504,-0.008674958720803202,0.0278153195977211
fir_minus_retrained_unordered,event_continue_nll,epilepsiae,18,0.0334194200113416,0.048214031519747916,16,0.001312255859375,0.0001068115234375,0.025665149092674283,0.052545454353094094
fir_minus_retrained_unordered,event_continue_nll,yuquan,16,-0.01660198904573915,-0.023951607265180766,2,0.004180908203125,0.001007080078125,-0.027297705411910997,-0.008216969668865204
fir_minus_retrained_unordered,event_stop_contribution_nll,all,34,-0.001066341996192946,-0.0015384063097992012,16,0.8641662404406816,0.6005140317138284,-0.005460876971483196,0.009093254804611206
fir_minus_retrained_unordered,event_stop_contribution_nll,epilepsiae,18,0.004832156002521487,0.006971327501639587,10,0.8145294189453125,0.4171142578125,-0.006642274558544117,0.0144843980669975
fir_minus_retrained_unordered,event_stop_contribution_nll,yuquan,16,-0.0019158124923705916,-0.002763933182016178,6,0.454498291015625,0.860260009765625,-0.007493704557418879,0.003085632063446727
fir_minus_retrained_unordered,event_terminal_stop_nll,all,34,-0.006337583065032848,-0.009143199659144768,17,1.0,0.9059782412368804,-0.17577540874481223,0.20675253868103027
fir_minus_retrained_unordered,event_terminal_stop_nll,epilepsiae,18,-0.2856946736574173,-0.41217028889394675,2,0.001312255859375,0.00128936767578125,-0.4496379792690277,-0.09460455179214472
fir_minus_retrained_unordered,event_terminal_stop_nll,yuquan,16,0.32149386405944835,0.4638176033547967,15,0.000518798828125,0.000213623046875,0.15667843818664573,0.40933865308761597
fir_minus_retrained_unordered,event_total_nll,all,34,-0.003516077995300182,-0.0050726282871983806,15,0.6075913612730801,0.8001492922194302,-0.011441171169281006,0.021317481994628906
fir_minus_retrained_unordered,event_total_nll,epilepsiae,18,-0.010280847549438366,-0.014832127775710182,7,0.480682373046875,0.550872802734375,-0.025795280933380016,0.020071208477020264
fir_minus_retrained_unordered,event_total_nll,yuquan,16,0.008597373962402344,0.012403388780225759,8,1.0,0.348388671875,-0.008954286575317383,0.030338048934936523
fir_minus_selected_linear,event_contact_choice_nll,all,34,-0.008425235748291016,-0.012155045832379863,13,0.22948101302608848,0.07811522763222456,-0.027678251266479492,0.007385969161986861
fir_minus_selected_linear,event_contact_choice_nll,epilepsiae,18,-0.019074499607086293,-0.027518685990581878,5,0.09625244140625,0.05385589599609375,-0.04655718803405717,0.00011396408081043585
fir_minus_selected_linear,event_contact_choice_nll,yuquan,16,0.0025637149810788795,0.003698658889455242,8,1.0,0.632171630859375,-0.022374987602233887,0.011569142341613992
fir_minus_selected_linear,event_contact_contribution_nll,all,34,-0.00781017541885376,-0.011267701345253203,13,0.22948101302608848,0.08113411313388497,-0.02545100450515758,0.007187366485595703
