comparison,component,dataset,n,median_nats,median_bits,positive,sign_p_two_sided,wilcoxon_p_two_sided,ci95_low,ci95_high
full_minus_history3,event_contact_choice_nll,all,34,-0.004179537296295388,-0.006029797730575823,9,0.00904118549078703,0.002999473363161087,-0.008712053298950195,-0.0011310577392582566
full_minus_history3,event_contact_choice_nll,epilepsiae,18,-0.00808650255203236,-0.011666357129953033,3,0.007537841796875,0.00336456298828125,-0.023241043090820312,-0.0021898746490479626
full_minus_history3,event_contact_choice_nll,yuquan,16,-0.0011377334594731003,-0.0016414024198352862,6,0.454498291015625,0.375457763671875,-0.005449533462524858,0.002819061279296875
full_minus_history3,event_contact_contribution_nll,all,34,-0.003798842430114746,-0.005480571135045123,9,0.00904118549078703,0.00281744496896863,-0.0089321404695512,-0.0010197162628169387
full_minus_history3,event_contact_contribution_nll,epilepsiae,18,-0.007286727428436168,-0.01051252552531445,3,0.007537841796875,0.00336456298828125,-0.01876312494277943,-0.002221226692199707
full_minus_history3,event_contact_contribution_nll,yuquan,16,-0.0010631084442138672,-0.0015337412803945274,6,0.454498291015625,0.375457763671875,-0.005105137825012207,0.002316117286682129
full_minus_history3,event_continue_nll,all,34,0.006839048117399153,0.00986666080337276,19,0.6075913612730801,0.17359477805439383,-0.014175636693835203,0.0166837908327579
full_minus_history3,event_continue_nll,epilepsiae,18,0.01832390204072,0.0264358026038819,15,0.007537841796875,0.0008392333984375,0.008546829223632812,0.03479976765811445
full_minus_history3,event_continue_nll,yuquan,16,-0.014697913080453848,-0.021204606312587797,4,0.076812744140625,0.083251953125,-0.018629930913448306,-0.004747755825519603
full_minus_history3,event_stop_contribution_nll,all,34,0.00554500520229341,0.007999751507052207,25,0.00904118549078703,0.009574187686666846,0.0028472319245338717,0.010058343410491943
full_minus_history3,event_stop_contribution_nll,epilepsiae,18,0.005738250911235782,0.008278546133016438,13,0.09625244140625,0.30379486083984375,-0.00014975666999818282,0.01131317019462591
full_minus_history3,event_stop_contribution_nll,yuquan,16,0.00554500520229341,0.007999751507052207,12,0.076812744140625,0.00762939453125,0.001405477523803711,0.012743905186653082
full_minus_history3,event_terminal_stop_nll,all,34,0.08517235517501831,0.12287773443183236,23,0.05761267291381955,0.07518593384884298,-0.004597127437591331,0.21580362319946245
full_minus_history3,event_terminal_stop_nll,epilepsiae,18,-0.0023910403251647394,-0.003449542019680704,9,1.0,0.44229888916015625,-0.18806403875350952,0.07124692201614391
full_minus_history3,event_terminal_stop_nll,yuquan,16,0.26923537254333507,0.3884245368001621,14,0.004180908203125,0.00030517578125,0.1183621883392334,0.3304845690727234
full_minus_history3,event_total_nll,all,34,0.001237630844116211,0.0017855238812576793,19,0.6075913612730801,0.5206828033551574,-0.007773876190185547,0.004646003246307262
full_minus_history3,event_total_nll,epilepsiae,18,-0.00460970401763916,-0.006650397126213947,7,0.480682373046875,0.0897674560546875,-0.023778378963470126,0.002776801586151012
full_minus_history3,event_total_nll,yuquan,16,0.004067718982696422,0.005868478004066028,12,0.076812744140625,0.252227783203125,-0.0022007226943969727,0.009801983833312988
history2_minus_history1,event_contact_choice_nll,all,34,0.010999917984008789,0.015869527125714804,28,0.00019512558355927467,0.00016353768296539783,0.0043184757232666016,0.013926625251769575
history2_minus_history1,event_contact_choice_nll,epilepsiae,18,0.010999917984008789,0.015869527125714804,15,0.007537841796875,0.02367401123046875,0.0022942423820495605,0.014996349811553955
history2_minus_history1,event_contact_choice_nll,yuquan,16,0.010024309158325084,0.014462021111053418,13,0.021270751953125,0.001678466796875,0.0026944875717165306,0.014874696731567383
history2_minus_history1,event_contact_contribution_nll,all,34,0.009517133235931396,0.01373032092295776,28,0.00019512558355927467,0.0001502245431765914,0.003669142723083496,0.011786103248596191
history2_minus_history1,event_contact_contribution_nll,epilepsiae,18,0.009599149227142334,0.013848644986751372,15,0.007537841796875,0.02367401123046875,0.0014197826385498047,0.013224303722381592
history2_minus_history1,event_contact_contribution_nll,yuquan,16,0.008875787258148304,0.012805054261316009,13,0.021270751953125,0.001678466796875,0.002368330955505371,0.013959646224975586
history2_minus_history1,event_continue_nll,all,34,0.0011245347559452022,0.001622360715709424,21,0.22948101302608848,0.3092015009606257,-0.0022049658000469,0.004504151642322499
history2_minus_history1,event_continue_nll,epilepsiae,18,0.001761969178915003,0.0025419841966198738,12,0.237884521484375,0.3692169189453125,-0.0033177956938744008,0.0056869424879551
history2_minus_history1,event_continue_nll,yuquan,16,0.0006344132125377482,0.0009152647956026452,9,0.803619384765625,0.632171630859375,-0.0034643672406673987,0.0048081837594509055
history2_minus_history1,event_stop_contribution_nll,all,34,0.008572354912757901,0.012367293921375967,33,4.0745362639427185e-09,1.1641532182693481e-09,0.0043508112430571955,0.011075437068939209
history2_minus_history1,event_stop_contribution_nll,epilepsiae,18,0.009563699364662198,0.013797501645951084,18,7.62939453125e-06,7.62939453125e-06,0.007751390337944031,0.01791781187057498
history2_minus_history1,event_stop_contribution_nll,yuquan,16,0.003847971558570848,0.005551449485031938,15,0.000518798828125,0.000213623046875,0.0025949329137802124,0.009677276015281705
history2_minus_history1,event_terminal_stop_nll,all,34,0.0718059241771698,0.1035940507168518,31,7.660128176212311e-07,5.016336217522621e-07,0.0477827787399292,0.09797441959381081
history2_minus_history1,event_terminal_stop_nll,epilepsiae,18,0.08963727951049816,0.12931925862857357,17,0.00014495849609375,0.00019073486328125,0.042174458503723145,0.1062677800655365
history2_minus_history1,event_terminal_stop_nll,yuquan,16,0.05451548099517817,0.07864921408342007,14,0.004180908203125,0.001678466796875,0.04022789001464844,0.10442543029785156
history2_minus_history1,event_total_nll,all,34,0.014709115028381348,0.021220767307311095,31,7.660128176212311e-07,3.1944364309310913e-06,0.012894281744956972,0.021693944931030273
history2_minus_history1,event_total_nll,epilepsiae,18,0.015059709548950195,0.021726568283498615,16,0.001312255859375,0.00400543212890625,0.013038814067840576,0.034054635465144895
history2_minus_history1,event_total_nll,yuquan,16,0.014008760452270508,0.020210369233492096,15,0.000518798828125,0.000152587890625,0.010002732276916282,0.020363569259643555
history3_minus_history2,event_contact_choice_nll,all,34,0.0015094280242919922,0.002177644325224883,22,0.12144948495551944,0.12074384978041053,-0.000541210174560991,0.003515958786010742
history3_minus_history2,event_contact_choice_nll,epilepsiae,18,-0.00022578239440940173,-0.0003257351407344799,9,1.0,0.7337265014648438,-0.003196239471435547,0.007408618927002064
