subject,seed_left,seed_right,lag,contact_kernel_cosine,stop_kernel_cosine
epilepsiae_1073,20260725,20260726,0,0.9328989511347127,0.653594153579772
epilepsiae_1073,20260725,20260726,1,0.9260490005298796,0.6662287738675827
epilepsiae_1073,20260725,20260726,2,0.9183950727983508,0.6778117318873071
epilepsiae_1073,20260725,20260726,3,0.9098488375883155,0.688437085764875
epilepsiae_1073,20260725,20260726,4,0.9003156624637023,0.6981890267885607
epilepsiae_1073,20260725,20260726,5,0.8896956635757992,0.7071428621168998
epilepsiae_1073,20260725,20260727,0,0.02746172874624779,0.7679540919906076
epilepsiae_1073,20260725,20260727,1,-0.010502435131096196,0.7884558156826317
epilepsiae_1073,20260725,20260727,2,-0.04610379568199407,0.8032705295853605
epilepsiae_1073,20260725,20260727,3,-0.07881435853983985,0.8135571798436343
epilepsiae_1073,20260725,20260727,4,-0.10819464032561511,0.8202532173573482
epilepsiae_1073,20260725,20260727,5,-0.1339033660798588,0.8241032477387227
epilepsiae_1073,20260726,20260727,0,-0.08413923057908242,0.8292002965278925
epilepsiae_1073,20260726,20260727,1,-0.13125838369280426,0.8588334732923449
epilepsiae_1073,20260726,20260727,2,-0.17634030398903625,0.8821830564459581
epilepsiae_1073,20260726,20260727,3,-0.21873289755815328,0.900490425221593
epilepsiae_1073,20260726,20260727,4,-0.2578470144614901,0.9147756644914923
epilepsiae_1073,20260726,20260727,5,-0.29315983337363105,0.9258584661940794
epilepsiae_1077,20260725,20260726,0,0.6663334768534084,0.7927159067976882
epilepsiae_1077,20260725,20260726,1,0.6558963825868108,0.7931889608921933
epilepsiae_1077,20260725,20260726,2,0.645944530973086,0.7934839144631174
epilepsiae_1077,20260725,20260726,3,0.6365988578515474,0.7936163995620521
epilepsiae_1077,20260725,20260726,4,0.6279763120574271,0.7936002750555221
epilepsiae_1077,20260725,20260726,5,0.6201857978290592,0.7934481572908938
epilepsiae_1077,20260725,20260727,0,0.5882283893705963,0.8526406345755501
epilepsiae_1077,20260725,20260727,1,0.5881417626983725,0.847038714407785
epilepsiae_1077,20260725,20260727,2,0.5880049293717095,0.8395755319457093
epilepsiae_1077,20260725,20260727,3,0.5877954756708634,0.8304102113533393
epilepsiae_1077,20260725,20260727,4,0.5874902855036386,0.8197095717385507
epilepsiae_1077,20260725,20260727,5,0.5870660466173314,0.8076430418132163
epilepsiae_1077,20260726,20260727,0,0.518876340495509,0.8746046150528349
epilepsiae_1077,20260726,20260727,1,0.5144758724127524,0.885509482829896
epilepsiae_1077,20260726,20260727,2,0.5100333804965662,0.8949210241017012
epilepsiae_1077,20260726,20260727,3,0.5055564360031407,0.9028631352550763
epilepsiae_1077,20260726,20260727,4,0.5010519986909288,0.9093821377987905
epilepsiae_1077,20260726,20260727,5,0.4965264744628654,0.9145420073028465
epilepsiae_1084,20260725,20260726,0,0.8167992672000178,0.606790523850238
epilepsiae_1084,20260725,20260726,1,0.8103490135415864,0.6301733806680908
epilepsiae_1084,20260725,20260726,2,0.8038616355009675,0.6515358488449243
epilepsiae_1084,20260725,20260726,3,0.7973907366706962,0.6709871654107262
epilepsiae_1084,20260725,20260726,4,0.7909974804367489,0.68864433341128
epilepsiae_1084,20260725,20260726,5,0.7847501708481704,0.7046278436299658
epilepsiae_1084,20260725,20260727,0,0.5925225875404718,0.20714839416550393
epilepsiae_1084,20260725,20260727,1,0.5830299340001466,0.253543198244308
epilepsiae_1084,20260725,20260727,2,0.5735559805565151,0.29600108280379245
epilepsiae_1084,20260725,20260727,3,0.5641748060998454,0.33457110013188196
epilepsiae_1084,20260725,20260727,4,0.5549646386978919,0.36937755676339723
epilepsiae_1084,20260725,20260727,5,0.5460059257405668,0.4005985095644748
epilepsiae_1084,20260726,20260727,0,0.5126355127664789,0.8018599386091545
