subject,dataset,tolerance_ms,condition,component,gain_nats,gain_bits
epilepsiae_1073,epilepsiae,0.0,history_3,event_contact_choice_nll,-0.007717251777648704,-0.011133640868905323
epilepsiae_1073,epilepsiae,0.0,history_3,event_contact_contribution_nll,-0.006683707237243652,-0.009642551285925092
epilepsiae_1073,epilepsiae,0.0,history_3,event_stop_contribution_nll,0.0866714715957641,0.12504050225775754
epilepsiae_1073,epilepsiae,0.0,history_3,event_total_nll,0.08245384693145752,0.11895575607023144
epilepsiae_1073,epilepsiae,0.0,linear_state,event_contact_choice_nll,-0.020620226860046387,-0.029748699032994326
epilepsiae_1073,epilepsiae,0.0,linear_state,event_contact_contribution_nll,-0.015270501375198364,-0.022030676605886777
epilepsiae_1073,epilepsiae,0.0,linear_state,event_stop_contribution_nll,0.08030763268470764,0.11585942341976015
epilepsiae_1073,epilepsiae,0.0,linear_state,event_total_nll,0.06503713130950928,0.09382874681387338
epilepsiae_1073,epilepsiae,1.0,history_3,event_contact_choice_nll,-0.02909064292907715,-0.041968926290051195
epilepsiae_1073,epilepsiae,1.0,history_3,event_contact_contribution_nll,-0.01624387502670288,-0.023434957945844326
epilepsiae_1073,epilepsiae,1.0,history_3,event_stop_contribution_nll,-0.10342246294021606,-0.1492070744003723
epilepsiae_1073,epilepsiae,1.0,history_3,event_total_nll,-0.11432719230651855,-0.16493927337937317
epilepsiae_1073,epilepsiae,1.0,linear_state,event_contact_choice_nll,-0.0044329166412351295,-0.0063953468549840815
epilepsiae_1073,epilepsiae,1.0,linear_state,event_contact_contribution_nll,-0.0032342970371244117,-0.004666104296221257
epilepsiae_1073,epilepsiae,1.0,linear_state,event_stop_contribution_nll,-0.047033488750457764,-0.06785498097599227
epilepsiae_1073,epilepsiae,1.0,linear_state,event_total_nll,-0.0471186637878418,-0.06797786258003374
epilepsiae_1073,epilepsiae,2.0,history_3,event_contact_choice_nll,-0.03861069679260298,-0.05570346078795573
epilepsiae_1073,epilepsiae,2.0,history_3,event_contact_contribution_nll,-0.026371300220489502,-0.038045744049894234
epilepsiae_1073,epilepsiae,2.0,history_3,event_stop_contribution_nll,-0.24407094717025757,-0.3521199451076028
epilepsiae_1073,epilepsiae,2.0,history_3,event_total_nll,-0.25301873683929443,-0.36502887689003977
epilepsiae_1073,epilepsiae,2.0,linear_state,event_contact_choice_nll,-0.007893085479736106,-0.011387315278927966
epilepsiae_1073,epilepsiae,2.0,linear_state,event_contact_contribution_nll,-0.0056017935276033715,-0.008081679742357278
epilepsiae_1073,epilepsiae,2.0,linear_state,event_stop_contribution_nll,-0.14561402797698975,-0.2100766360462699
epilepsiae_1073,epilepsiae,2.0,linear_state,event_total_nll,-0.16043472290039062,-0.2314583791147886
epilepsiae_1073,epilepsiae,5.0,history_3,event_contact_choice_nll,-0.02395874261856079,-0.03456515916173271
epilepsiae_1073,epilepsiae,5.0,history_3,event_contact_contribution_nll,-0.016154110431671143,-0.02330545500974463
epilepsiae_1073,epilepsiae,5.0,history_3,event_stop_contribution_nll,-0.5505446791648865,-0.7942680784189872
epilepsiae_1073,epilepsiae,5.0,history_3,event_total_nll,-0.5698267221450808,-0.8220861862047213
epilepsiae_1073,epilepsiae,5.0,linear_state,event_contact_choice_nll,-0.0037120580673217773,-0.005355367765216998
epilepsiae_1073,epilepsiae,5.0,linear_state,event_contact_contribution_nll,-0.0027380287647247314,-0.003950140520679705
epilepsiae_1073,epilepsiae,5.0,linear_state,event_stop_contribution_nll,-0.367869555950165,-0.5307235840633282
epilepsiae_1073,epilepsiae,5.0,linear_state,event_total_nll,-0.41682660579681396,-0.6013536770936424
epilepsiae_1073,epilepsiae,10.0,history_3,event_contact_choice_nll,-0.02274906635284424,-0.03281996521210236
epilepsiae_1073,epilepsiae,10.0,history_3,event_contact_contribution_nll,-0.010826706886291615,-0.015619636334011304
epilepsiae_1073,epilepsiae,10.0,history_3,event_stop_contribution_nll,-0.7798109650611877,-1.1250294121246123
epilepsiae_1073,epilepsiae,10.0,history_3,event_total_nll,-0.8167772889137269,-1.1783605442265659
epilepsiae_1073,epilepsiae,10.0,linear_state,event_contact_choice_nll,0.0022913217544555664,0.003305678532234045
epilepsiae_1073,epilepsiae,10.0,linear_state,event_contact_contribution_nll,0.0010623931884764515,0.0015327093844891904
epilepsiae_1073,epilepsiae,10.0,linear_state,event_stop_contribution_nll,-0.5651639103889465,-0.8153591708075477
epilepsiae_1073,epilepsiae,10.0,linear_state,event_total_nll,-0.6155085563659668,-0.8879911418939054
epilepsiae_1077,epilepsiae,0.0,history_3,event_contact_choice_nll,0.05991649627685547,0.08644123204606143
epilepsiae_1077,epilepsiae,0.0,history_3,event_contact_contribution_nll,0.04759705066680908,0.0686680289579462
epilepsiae_1077,epilepsiae,0.0,history_3,event_stop_contribution_nll,0.01966658234596247,0.02837288082175449
epilepsiae_1077,epilepsiae,0.0,history_3,event_total_nll,0.07916665077209473,0.1142133344726895
epilepsiae_1077,epilepsiae,0.0,linear_state,event_contact_choice_nll,0.02861011028289795,0.04127566422442321
epilepsiae_1077,epilepsiae,0.0,linear_state,event_contact_contribution_nll,0.022605866193771362,0.032613371052753415
epilepsiae_1077,epilepsiae,0.0,linear_state,event_stop_contribution_nll,0.014135748147964478,0.0203935737523237
epilepsiae_1077,epilepsiae,0.0,linear_state,event_total_nll,0.049463629722595215,0.07136093330515605
epilepsiae_1077,epilepsiae,1.0,history_3,event_contact_choice_nll,0.05257582664489746,0.0758508843712314
epilepsiae_1077,epilepsiae,1.0,history_3,event_contact_contribution_nll,0.04122495651245117,0.05947504032137648
epilepsiae_1077,epilepsiae,1.0,history_3,event_stop_contribution_nll,0.0035299360752105158,0.005092621270361262
epilepsiae_1077,epilepsiae,1.0,history_3,event_total_nll,0.055313348770141824,0.07980029396564525
epilepsiae_1077,epilepsiae,1.0,linear_state,event_contact_choice_nll,0.014369606971740723,0.020730960717653815
epilepsiae_1077,epilepsiae,1.0,linear_state,event_contact_contribution_nll,0.011916786432266235,0.017192288689163383
epilepsiae_1077,epilepsiae,1.0,linear_state,event_stop_contribution_nll,0.0032986104488372803,0.004758888936362062
epilepsiae_1077,epilepsiae,1.0,linear_state,event_total_nll,0.028958797454833984,0.04177871347819693
epilepsiae_1077,epilepsiae,2.0,history_3,event_contact_choice_nll,0.047566771507263184,0.06862434536462704
epilepsiae_1077,epilepsiae,2.0,history_3,event_contact_contribution_nll,0.03676494956016518,0.05304061040898319
epilepsiae_1077,epilepsiae,2.0,history_3,event_stop_contribution_nll,-0.020461291074752752,-0.029519403163731403
epilepsiae_1077,epilepsiae,2.0,history_3,event_total_nll,0.01345372200012207,0.019409618011074856
epilepsiae_1077,epilepsiae,2.0,linear_state,event_contact_choice_nll,0.00017488002777077405,0.00025229854881541995
epilepsiae_1077,epilepsiae,2.0,linear_state,event_contact_contribution_nll,0.0016171932220456764,0.0023331166416045417
epilepsiae_1077,epilepsiae,2.0,linear_state,event_stop_contribution_nll,-0.015882343053817805,-0.022913377561440223
epilepsiae_1077,epilepsiae,2.0,linear_state,event_total_nll,0.0021965503692624733,0.0031689523247977916
epilepsiae_1077,epilepsiae,5.0,history_3,event_contact_choice_nll,0.03647303581237782,0.05261946789268305
epilepsiae_1077,epilepsiae,5.0,history_3,event_contact_contribution_nll,0.026930660009383933,0.03885272964340493
epilepsiae_1077,epilepsiae,5.0,history_3,event_stop_contribution_nll,-0.1262398362159729,-0.18212558567141907
epilepsiae_1077,epilepsiae,5.0,history_3,event_total_nll,-0.1376422643661499,-0.19857581221777215
epilepsiae_1077,epilepsiae,5.0,linear_state,event_contact_choice_nll,-0.04003936052322399,-0.05776458686722058
epilepsiae_1077,epilepsiae,5.0,linear_state,event_contact_contribution_nll,-0.026200592517853005,-0.03779946489385901
epilepsiae_1077,epilepsiae,5.0,linear_state,event_stop_contribution_nll,-0.1052128672599793,-0.15179008183368092
epilepsiae_1077,epilepsiae,5.0,linear_state,event_total_nll,-0.10096657276153587,-0.14566397381862248
epilepsiae_1077,epilepsiae,10.0,history_3,event_contact_choice_nll,0.022180020809173584,0.031999006028208744
epilepsiae_1077,epilepsiae,10.0,history_3,event_contact_contribution_nll,0.01512488722801214,0.021820599797857936
epilepsiae_1077,epilepsiae,10.0,history_3,event_stop_contribution_nll,-0.30399405956268316,-0.4385707221907872
epilepsiae_1077,epilepsiae,10.0,history_3,event_total_nll,-0.35064131021499634,-0.5058684793779838
epilepsiae_1077,epilepsiae,10.0,linear_state,event_contact_choice_nll,-0.07133233547210693,-0.10291080664063657
epilepsiae_1077,epilepsiae,10.0,linear_state,event_contact_contribution_nll,-0.04464623332023615,-0.0644108994054763
epilepsiae_1077,epilepsiae,10.0,linear_state,event_stop_contribution_nll,-0.2605455815792084,-0.3758878184698548
epilepsiae_1077,epilepsiae,10.0,linear_state,event_total_nll,-0.2485312819480896,-0.35855484797228565
epilepsiae_1084,epilepsiae,0.0,history_3,event_contact_choice_nll,-0.012973785400391069,-0.01871721585870183
epilepsiae_1084,epilepsiae,0.0,history_3,event_contact_contribution_nll,-0.011412829160690308,-0.01646523203264086
epilepsiae_1084,epilepsiae,0.0,history_3,event_stop_contribution_nll,-0.010554149746894809,-0.015226419500644649
epilepsiae_1084,epilepsiae,0.0,history_3,event_total_nll,-0.021658897399902344,-0.031247183869961975
epilepsiae_1084,epilepsiae,0.0,linear_state,event_contact_choice_nll,0.0355224609375,0.05124807823470317
epilepsiae_1084,epilepsiae,0.0,linear_state,event_contact_contribution_nll,0.031009286642074807,0.0447369440600257
epilepsiae_1084,epilepsiae,0.0,linear_state,event_stop_contribution_nll,0.002029567956924383,0.0029280476266019526
epilepsiae_1084,epilepsiae,0.0,linear_state,event_total_nll,0.033038854598999245,0.04766499168662774
epilepsiae_1084,epilepsiae,1.0,history_3,event_contact_choice_nll,-0.017286419868469016,-0.024939032218964697
epilepsiae_1084,epilepsiae,1.0,history_3,event_contact_contribution_nll,-0.014114171266555564,-0.020362444892517213
epilepsiae_1084,epilepsiae,1.0,history_3,event_stop_contribution_nll,-0.043448060750961304,-0.06268230178165429
epilepsiae_1084,epilepsiae,1.0,history_3,event_total_nll,-0.05756223201751687,-0.0830447466741715
epilepsiae_1084,epilepsiae,1.0,linear_state,event_contact_choice_nll,0.03405833244323753,0.04913578731680648
epilepsiae_1084,epilepsiae,1.0,linear_state,event_contact_contribution_nll,0.029075205326080544,0.04194665453676478
epilepsiae_1084,epilepsiae,1.0,linear_state,event_stop_contribution_nll,-0.002349197864532526,-0.0033891761092280184
epilepsiae_1084,epilepsiae,1.0,linear_state,event_total_nll,0.017606377601623313,0.025400633653880476
epilepsiae_1084,epilepsiae,2.0,history_3,event_contact_choice_nll,-0.023163914680480957,-0.033418464837104936
epilepsiae_1084,epilepsiae,2.0,history_3,event_contact_contribution_nll,-0.018291980028152688,-0.026389748874655845
epilepsiae_1084,epilepsiae,2.0,history_3,event_stop_contribution_nll,-0.06973597407341009,-0.10060774396727007
epilepsiae_1084,epilepsiae,2.0,history_3,event_total_nll,-0.08802795410156272,-0.12699749284192582
epilepsiae_1084,epilepsiae,2.0,linear_state,event_contact_choice_nll,0.026869654655456543,0.038764717521826204
epilepsiae_1084,epilepsiae,2.0,linear_state,event_contact_contribution_nll,0.023052155971526878,0.033257231101920734
epilepsiae_1084,epilepsiae,2.0,linear_state,event_stop_contribution_nll,-0.042114913463592474,-0.0607589768013927
epilepsiae_1084,epilepsiae,2.0,linear_state,event_total_nll,-0.023406505584716797,-0.03376844953161075
epilepsiae_1084,epilepsiae,5.0,history_3,event_contact_choice_nll,-0.0317842960357666,-0.045855046268947215
epilepsiae_1084,epilepsiae,5.0,history_3,event_contact_contribution_nll,-0.025069311261177063,-0.036167371035002
epilepsiae_1084,epilepsiae,5.0,history_3,event_stop_contribution_nll,-0.26662617921829224,-0.3846602665294022
epilepsiae_1084,epilepsiae,5.0,history_3,event_total_nll,-0.2725788354873657,-0.39324813420891114
epilepsiae_1084,epilepsiae,5.0,linear_state,event_contact_choice_nll,0.00754702091217041,0.010888049643473553
