comparison,dataset,n,median_nats,median_bits,positive,sign_p_two_sided,wilcoxon_p_two_sided,bootstrap_ci95
last_event_minus_static,all,34,0.005929633757591174,0.008554653216364576,32,6.938353180885315e-08,5.820766091346741e-10,"[0.003627020752551169, 0.007768453106854256]"
last_event_minus_static,epilepsiae,18,0.009120612480960799,0.01315826239615213,18,7.62939453125e-06,7.62939453125e-06,"[0.00478761746778812, 0.016743393674430868]"
last_event_minus_static,yuquan,16,0.0036402547133655427,0.005251777422545144,14,0.004180908203125,0.000152587890625,"[0.002587038725739732, 0.006353544887168383]"
recent_unordered_minus_static,all,34,0.0222026123290186,0.0320315987018553,33,4.0745362639427185e-09,1.1641532182693481e-09,"[0.011544559271649324, 0.026048453488606627]"
recent_unordered_minus_static,epilepsiae,18,0.027060087692045376,0.03903945431933434,18,7.62939453125e-06,7.62939453125e-06,"[0.0222026123290186, 0.047838654505903244]"
recent_unordered_minus_static,yuquan,16,0.011409081748561367,0.01645982565974627,15,0.000518798828125,0.00030517578125,"[0.005091547170155808, 0.02071639500168565]"
scalar_context_minus_static,all,34,0.004085233921201414,0.005893746718988655,25,0.00904118549078703,0.008589048986323178,"[0.001337681831104831, 0.006258055432185827]"
scalar_context_minus_static,epilepsiae,18,0.003246185086509701,0.004683255126115256,12,0.237884521484375,0.0987396240234375,"[-0.001011223166166586, 0.009731316831998627]"
scalar_context_minus_static,yuquan,16,0.004396056447038388,0.006342168835610239,13,0.021270751953125,0.021392822265625,"[0.001337681831104831, 0.008463855356829919]"
time_state_minus_best_nonstate_control,all,34,0.004378790725321491,0.0063172596645119025,26,0.0029350556433200836,0.0118404800305143,"[0.0012693157970325997, 0.007936592278627475]"
time_state_minus_best_nonstate_control,epilepsiae,18,0.009461048452027165,0.013649407683349796,17,0.00014495849609375,7.62939453125e-05,"[0.004808845609159229, 0.011311438557199571]"
time_state_minus_best_nonstate_control,yuquan,16,0.0008832255032433234,0.0012742250535158017,9,0.803619384765625,0.743560791015625,"[-0.006544447855020397, 0.003446788352695962]"
time_state_minus_static,all,34,0.02497369001517674,0.03602941873759371,32,6.938353180885315e-08,7.672933861613274e-07,"[0.012496374034769886, 0.032383128471316414]"
time_state_minus_static,epilepsiae,18,0.033911519161953674,0.04892398052396162,18,7.62939453125e-06,7.62939453125e-06,"[0.02410471943656234, 0.057617233910506216]"
time_state_minus_static,yuquan,16,0.008699278370082109,0.012550405763830083,14,0.004180908203125,0.013092041015625,"[0.0030955854388079462, 0.025444994848029978]"
