field,metric,left,right,n,median,bootstrap_ci95,n_positive,wilcoxon_p,alternative,family_bh_fdr_q
participation,absolute_rho,full_history_gru,static_contact_hazard,16,0.0,"[-0.023214285714285715, 0.03529411764705881]",6,0.23845327748379197,greater,0.29806659685473996
participation,absolute_rho,full_history_gru,unordered_prefix,16,0.031022408963585435,"[-0.0035714285714285865, 0.06071428571428572]",10,0.061928760638626006,greater,0.1564418212036054
participation,absolute_rho,full_history_gru,last_set_first_order,16,0.00735294117647059,"[-0.008963585434173638, 0.06320346320346323]",9,0.09906145587698362,greater,0.16510242646163936
participation,absolute_rho,full_history_gru,rank_shuffle_gru,16,-0.008957219251336912,"[-0.04761904761904767, 0.08333333333333331]",7,0.3909759521484375,greater,0.3909759521484375
participation,absolute_rho,full_history_gru,empirical_rank_distribution,16,0.04174595768886204,"[-0.0714285714285714, 0.12941176470588234]",8,0.06257672848144216,greater,0.1564418212036054
participation,all_contact_margin,full_history_gru,static_contact_hazard,16,0.0,"[-0.02121212121212121, 0.032352941176470584]",7,0.2400884449530385,greater,0.3001105561912981
participation,all_contact_margin,full_history_gru,unordered_prefix,16,0.029982517482517512,"[-0.0059523809523809035, 0.06176470588235293]",10,0.07007303073420625,greater,0.14404029094618853
participation,all_contact_margin,full_history_gru,last_set_first_order,16,0.010427807486631024,"[-0.008928571428571452, 0.06471861471861474]",10,0.08642417456771312,greater,0.14404029094618853
participation,all_contact_margin,full_history_gru,rank_shuffle_gru,16,-0.008957219251336898,"[-0.0454545454545455, 0.09166666666666662]",7,0.4301300048828125,greater,0.4301300048828125
participation,all_contact_margin,full_history_gru,empirical_rank_distribution,16,0.047160002189176056,"[-0.05714285714285705, 0.12941176470588234]",9,0.0522918701171875,greater,0.14404029094618853
participation,within_shaft_margin,full_history_gru,static_contact_hazard,16,0.0,"[-0.018648018648018627, 0.033333333333333354]",7,0.3416195358132955,greater,0.4101400490497519
participation,within_shaft_margin,full_history_gru,unordered_prefix,16,0.009448884448884476,"[-0.015160897979348803, 0.04999999999999999]",9,0.09906145587698362,greater,0.24765363969245904
participation,within_shaft_margin,full_history_gru,last_set_first_order,16,0.0014705882352941818,"[-0.004545454545454533, 0.033333333333333326]",9,0.0885570204317988,greater,0.24765363969245904
participation,within_shaft_margin,full_history_gru,rank_shuffle_gru,16,-0.00909090909090908,"[-0.05319680319680317, 0.06428571428571428]",7,0.41014004904975193,greater,0.4101400490497519
participation,within_shaft_margin,full_history_gru,empirical_rank_distribution,16,0.00875350140056022,"[-0.03928571428571426, 0.07738095238095236]",8,0.2165985107421875,greater,0.3609975179036458
endpoint_joint_mass,absolute_rho,full_history_gru,static_contact_hazard,16,0.011011904761904778,"[-0.032834821428571366, 0.0507352941176471]",8,0.3528594970703125,greater,0.8387451171875
endpoint_joint_mass,absolute_rho,full_history_gru,unordered_prefix,16,0.0,"[-0.024999999999999994, 0.025000000000000022]",6,0.5555965227813765,greater,0.8387451171875
endpoint_joint_mass,absolute_rho,full_history_gru,last_set_first_order,16,-0.008957219251336884,"[-0.06704545454545455, 0.035714285714285754]",6,0.7949480342808185,greater,0.8387451171875
endpoint_joint_mass,absolute_rho,full_history_gru,rank_shuffle_gru,16,-0.0329004329004329,"[-0.09523809523809523, 0.033333333333333326]",6,0.8387451171875,greater,0.8387451171875
endpoint_joint_mass,absolute_rho,full_history_gru,empirical_rank_distribution,16,-0.008333333333333304,"[-0.035714285714285754, 0.03179489189979404]",6,0.6218352854054201,greater,0.8387451171875
endpoint_joint_mass,all_contact_margin,full_history_gru,static_contact_hazard,16,0.011011904761904778,"[-0.03273809523809526, 0.0507352941176471]",8,0.3528594970703125,greater,0.8258056640625
endpoint_joint_mass,all_contact_margin,full_history_gru,unordered_prefix,16,0.0,"[-0.026785714285714288, 0.025000000000000022]",6,0.6234238176170428,greater,0.8258056640625
endpoint_joint_mass,all_contact_margin,full_history_gru,last_set_first_order,16,-0.010427807486630997,"[-0.07661064425770309, 0.035714285714285754]",6,0.8028770663946114,greater,0.8258056640625
endpoint_joint_mass,all_contact_margin,full_history_gru,rank_shuffle_gru,16,-0.0329004329004329,"[-0.09523809523809518, 0.033333333333333326]",7,0.8258056640625,greater,0.8258056640625
endpoint_joint_mass,all_contact_margin,full_history_gru,empirical_rank_distribution,16,-0.0002328961171529642,"[-0.03273809523809523, 0.035714285714285726]",6,0.47735377710913834,greater,0.8258056640625
endpoint_joint_mass,within_shaft_margin,full_history_gru,static_contact_hazard,16,0.0017857142857142794,"[-0.027272727272727254, 0.035714285714285754]",8,0.47735377710913834,greater,0.9114429795682012
endpoint_joint_mass,within_shaft_margin,full_history_gru,unordered_prefix,16,-0.011764705882352927,"[-0.05714285714285716, 0.012121212121212144]",6,0.9114429795682012,greater,0.9114429795682012
endpoint_joint_mass,within_shaft_margin,full_history_gru,last_set_first_order,16,-0.015043290043290039,"[-0.06764705882352937, 0.014015151515151536]",4,0.8597345498739629,greater,0.9114429795682012
endpoint_joint_mass,within_shaft_margin,full_history_gru,rank_shuffle_gru,16,-0.031493506493506476,"[-0.08823529411764702, 0.050000000000000044]",7,0.7886135660830336,greater,0.9114429795682012
endpoint_joint_mass,within_shaft_margin,full_history_gru,empirical_rank_distribution,16,-0.01645021645021641,"[-0.05, 0.02053571428571427]",5,0.8028770663946114,greater,0.9114429795682012
