subject,control,direction_type,direction_index,n_contacts,median_cross_seed_spearman,median_heldout_half_spearman
epilepsiae_1073,full_history_gru,output_coupled,1,6,0.3714285714285715,0.942857142857143
epilepsiae_1073,full_history_gru,output_coupled,2,6,-0.14285714285714288,0.942857142857143
epilepsiae_1073,full_history_gru,pca,1,6,0.4285714285714286,0.8285714285714287
epilepsiae_1073,full_history_gru,pca,2,6,0.6571428571428573,0.942857142857143
epilepsiae_1073,rank_shuffle_gru,output_coupled,1,6,0.14285714285714288,0.942857142857143
epilepsiae_1073,rank_shuffle_gru,output_coupled,2,6,-0.2,0.942857142857143
epilepsiae_1073,rank_shuffle_gru,pca,1,6,0.2571428571428572,0.8285714285714287
epilepsiae_1073,rank_shuffle_gru,pca,2,6,0.6571428571428573,1.0
epilepsiae_1077,full_history_gru,output_coupled,1,6,0.8857142857142858,1.0
epilepsiae_1077,full_history_gru,output_coupled,2,6,-0.7714285714285715,1.0
epilepsiae_1077,full_history_gru,pca,1,6,-0.4285714285714286,1.0
epilepsiae_1077,full_history_gru,pca,2,6,-0.3142857142857143,1.0
epilepsiae_1077,rank_shuffle_gru,output_coupled,1,6,1.0,1.0
epilepsiae_1077,rank_shuffle_gru,output_coupled,2,6,-0.2571428571428572,1.0
epilepsiae_1077,rank_shuffle_gru,pca,1,6,0.48571428571428577,1.0
epilepsiae_1077,rank_shuffle_gru,pca,2,6,0.8285714285714287,1.0
epilepsiae_1084,full_history_gru,output_coupled,1,11,0.8636363636363636,0.990909090909091
epilepsiae_1084,full_history_gru,output_coupled,2,11,0.7454545454545456,1.0
epilepsiae_1084,full_history_gru,pca,1,11,0.7272727272727273,0.990909090909091
epilepsiae_1084,full_history_gru,pca,2,11,-0.13636363636363638,0.990909090909091
epilepsiae_1084,rank_shuffle_gru,output_coupled,1,11,0.8636363636363636,0.990909090909091
epilepsiae_1084,rank_shuffle_gru,output_coupled,2,11,0.7727272727272727,0.990909090909091
epilepsiae_1084,rank_shuffle_gru,pca,1,11,0.8727272727272729,0.9545454545454546
epilepsiae_1084,rank_shuffle_gru,pca,2,11,0.690909090909091,0.990909090909091
epilepsiae_1096,full_history_gru,output_coupled,1,7,0.7857142857142859,1.0
epilepsiae_1096,full_history_gru,output_coupled,2,7,0.642857142857143,0.9642857142857145
epilepsiae_1096,full_history_gru,pca,1,7,0.7857142857142859,1.0
epilepsiae_1096,full_history_gru,pca,2,7,-0.42857142857142866,1.0
epilepsiae_1096,rank_shuffle_gru,output_coupled,1,7,0.8571428571428573,0.9285714285714288
epilepsiae_1096,rank_shuffle_gru,output_coupled,2,7,-0.9642857142857145,1.0
epilepsiae_1096,rank_shuffle_gru,pca,1,7,0.9642857142857145,1.0
epilepsiae_1096,rank_shuffle_gru,pca,2,7,0.8928571428571429,0.9642857142857145
epilepsiae_1125,full_history_gru,output_coupled,1,8,0.880952380952381,1.0
epilepsiae_1125,full_history_gru,output_coupled,2,8,0.6666666666666669,1.0
epilepsiae_1125,full_history_gru,pca,1,8,0.880952380952381,0.9761904761904763
epilepsiae_1125,full_history_gru,pca,2,8,0.7380952380952381,1.0
epilepsiae_1125,rank_shuffle_gru,output_coupled,1,8,0.880952380952381,0.9761904761904763
epilepsiae_1125,rank_shuffle_gru,output_coupled,2,8,-0.6428571428571429,1.0
epilepsiae_1125,rank_shuffle_gru,pca,1,8,0.8333333333333335,0.9285714285714287
epilepsiae_1125,rank_shuffle_gru,pca,2,8,0.6904761904761906,1.0
epilepsiae_1146,full_history_gru,output_coupled,1,15,0.8857142857142855,0.9892857142857142
epilepsiae_1146,full_history_gru,output_coupled,2,15,0.05357142857142857,0.9928571428571428
epilepsiae_1146,full_history_gru,pca,1,15,0.807142857142857,0.9892857142857142
epilepsiae_1146,full_history_gru,pca,2,15,0.8142857142857142,0.982142857142857
epilepsiae_1146,rank_shuffle_gru,output_coupled,1,15,-0.2071428571428571,0.9964285714285712
epilepsiae_1146,rank_shuffle_gru,output_coupled,2,15,0.5071428571428571,1.0
epilepsiae_1146,rank_shuffle_gru,pca,1,15,0.9107142857142855,0.9571428571428571
epilepsiae_1146,rank_shuffle_gru,pca,2,15,0.06428571428571428,0.9964285714285712
epilepsiae_1150,full_history_gru,output_coupled,1,9,0.8833333333333333,0.9833333333333333
epilepsiae_1150,full_history_gru,output_coupled,2,9,0.8333333333333333,1.0
epilepsiae_1150,full_history_gru,pca,1,9,0.7333333333333334,0.9500000000000001
epilepsiae_1150,full_history_gru,pca,2,9,0.75,0.9833333333333333
epilepsiae_1150,rank_shuffle_gru,output_coupled,1,9,0.9666666666666667,1.0
epilepsiae_1150,rank_shuffle_gru,output_coupled,2,9,0.8166666666666667,1.0
epilepsiae_1150,rank_shuffle_gru,pca,1,9,0.9500000000000001,1.0
epilepsiae_1150,rank_shuffle_gru,pca,2,9,0.38333333333333336,1.0
epilepsiae_139,full_history_gru,output_coupled,1,7,0.9642857142857145,0.9642857142857145
epilepsiae_139,full_history_gru,output_coupled,2,7,0.9642857142857145,1.0
epilepsiae_139,full_history_gru,pca,1,7,0.8928571428571429,0.9642857142857145
epilepsiae_139,full_history_gru,pca,2,7,0.7857142857142859,0.9642857142857145
