subject,seed_dir,task,feature,k,metric,value,secondary_accuracy,selected_alpha,selected_temperature
epilepsiae_1073,seed_20260725,next_action,progress,0,event_first_nll,1.795901204457429,0.3162846020761246,0.1,0.25
epilepsiae_1073,seed_20260725,next_action,last_set,0,event_first_nll,1.653282660282483,0.4129541522491349,0.1,0.25
epilepsiae_1073,seed_20260725,next_action,unordered,0,event_first_nll,1.5066528895007825,0.5030276816608996,0.1,0.25
epilepsiae_1073,seed_20260725,next_action,unordered_plus_full_hidden,2,event_first_nll,1.5425653084950612,0.4559904844290657,10.0,0.25
epilepsiae_1073,seed_20260725,next_action,unordered_plus_full_hidden,4,event_first_nll,1.563619170619891,0.4544766435986159,1.0,0.25
epilepsiae_1073,seed_20260725,next_action,unordered_plus_full_hidden,8,event_first_nll,1.5713715055988802,0.4455017301038062,0.1,0.25
epilepsiae_1073,seed_20260725,future_participation,unordered_plus_full_hidden,8,event_first_candidate_brier,0.2267694802858247,,0.1,
epilepsiae_1073,seed_20260725,remaining_rank_score,unordered_plus_full_hidden,8,event_first_candidate_mse,0.1478589196855869,,0.1,
epilepsiae_1073,seed_20260725,next_action,unordered_plus_full_hidden,16,event_first_nll,1.5123864533560327,0.4781574394463668,1.0,0.25
epilepsiae_1073,seed_20260725,next_action,unordered_plus_full_hidden,32,event_first_nll,1.495593594434921,0.4781574394463668,1.0,0.25
epilepsiae_1073,seed_20260725,next_action,unordered_plus_rank_shuffle_hidden,2,event_first_nll,1.5431213425489396,0.4655060553633218,10.0,0.25
epilepsiae_1073,seed_20260725,next_action,unordered_plus_rank_shuffle_hidden,4,event_first_nll,1.5350804470274846,0.4669117647058823,10.0,0.25
epilepsiae_1073,seed_20260725,next_action,unordered_plus_rank_shuffle_hidden,8,event_first_nll,1.5087952273180143,0.4850778546712803,0.1,0.25
epilepsiae_1073,seed_20260725,future_participation,unordered_plus_rank_shuffle_hidden,8,event_first_candidate_brier,0.227798554003459,,0.1,
epilepsiae_1073,seed_20260725,remaining_rank_score,unordered_plus_rank_shuffle_hidden,8,event_first_candidate_mse,0.1455379956649171,,0.1,
epilepsiae_1073,seed_20260725,next_action,unordered_plus_rank_shuffle_hidden,16,event_first_nll,1.503957679604511,0.4783737024221453,0.1,0.25
epilepsiae_1073,seed_20260725,next_action,unordered_plus_rank_shuffle_hidden,32,event_first_nll,1.4809404555822263,0.4835640138408305,1.0,0.25
epilepsiae_1073,seed_20260725,future_participation,unordered,0,event_first_candidate_brier,0.2372597769819306,,100.0,
epilepsiae_1073,seed_20260725,remaining_rank_score,unordered,0,event_first_candidate_mse,0.149781856498466,,100.0,
epilepsiae_1073,seed_20260726,next_action,progress,0,event_first_nll,1.795901204457429,0.3162846020761246,0.1,0.25
epilepsiae_1073,seed_20260726,next_action,last_set,0,event_first_nll,1.653282660282483,0.4129541522491349,0.1,0.25
epilepsiae_1073,seed_20260726,next_action,unordered,0,event_first_nll,1.5066528895007825,0.5030276816608996,0.1,0.25
epilepsiae_1073,seed_20260726,next_action,unordered_plus_full_hidden,2,event_first_nll,1.5391724247545917,0.4772923875432526,10.0,0.25
epilepsiae_1073,seed_20260726,next_action,unordered_plus_full_hidden,4,event_first_nll,1.554008268786177,0.4488538062283737,10.0,0.25
epilepsiae_1073,seed_20260726,next_action,unordered_plus_full_hidden,8,event_first_nll,1.545064877100352,0.4357698961937716,10.0,0.25
epilepsiae_1073,seed_20260726,future_participation,unordered_plus_full_hidden,8,event_first_candidate_brier,0.2292416269624979,,0.1,
epilepsiae_1073,seed_20260726,remaining_rank_score,unordered_plus_full_hidden,8,event_first_candidate_mse,0.147195998948469,,1.0,
epilepsiae_1073,seed_20260726,next_action,unordered_plus_full_hidden,16,event_first_nll,1.5222990463618158,0.4792387543252595,10.0,0.25
epilepsiae_1073,seed_20260726,next_action,unordered_plus_full_hidden,32,event_first_nll,1.4889608977695592,0.4798875432525951,10.0,0.25
epilepsiae_1073,seed_20260726,next_action,unordered_plus_rank_shuffle_hidden,2,event_first_nll,1.536783639886989,0.4554498269896194,10.0,0.25
epilepsiae_1073,seed_20260726,next_action,unordered_plus_rank_shuffle_hidden,4,event_first_nll,1.529862307088051,0.4516652249134948,0.1,0.25
epilepsiae_1073,seed_20260726,next_action,unordered_plus_rank_shuffle_hidden,8,event_first_nll,1.520098704513036,0.4607482698961938,0.1,0.25
epilepsiae_1073,seed_20260726,future_participation,unordered_plus_rank_shuffle_hidden,8,event_first_candidate_brier,0.2290154454640704,,100.0,
epilepsiae_1073,seed_20260726,remaining_rank_score,unordered_plus_rank_shuffle_hidden,8,event_first_candidate_mse,0.1464679869293982,,0.1,
epilepsiae_1073,seed_20260726,next_action,unordered_plus_rank_shuffle_hidden,16,event_first_nll,1.5089096382793017,0.4744809688581315,1.0,0.25
epilepsiae_1073,seed_20260726,next_action,unordered_plus_rank_shuffle_hidden,32,event_first_nll,1.480538500410434,0.4855103806228373,1.0,0.25
epilepsiae_1073,seed_20260726,future_participation,unordered,0,event_first_candidate_brier,0.2372597769819306,,100.0,
epilepsiae_1073,seed_20260726,remaining_rank_score,unordered,0,event_first_candidate_mse,0.149781856498466,,100.0,
epilepsiae_1073,seed_20260727,next_action,progress,0,event_first_nll,1.795901204457429,0.3162846020761246,0.1,0.25
epilepsiae_1073,seed_20260727,next_action,last_set,0,event_first_nll,1.653282660282483,0.4129541522491349,0.1,0.25
epilepsiae_1073,seed_20260727,next_action,unordered,0,event_first_nll,1.5066528895007825,0.5030276816608996,0.1,0.25
epilepsiae_1073,seed_20260727,next_action,unordered_plus_full_hidden,2,event_first_nll,1.536681498193503,0.4675605536332179,100.0,0.25
epilepsiae_1073,seed_20260727,next_action,unordered_plus_full_hidden,4,event_first_nll,1.5468349591040207,0.4573961937716263,10.0,0.25
epilepsiae_1073,seed_20260727,next_action,unordered_plus_full_hidden,8,event_first_nll,1.5240780282970616,0.4695069204152249,0.1,0.25
epilepsiae_1073,seed_20260727,future_participation,unordered_plus_full_hidden,8,event_first_candidate_brier,0.2282603278207923,,100.0,
epilepsiae_1073,seed_20260727,remaining_rank_score,unordered_plus_full_hidden,8,event_first_candidate_mse,0.1471379690375527,,1.0,
epilepsiae_1073,seed_20260727,next_action,unordered_plus_full_hidden,16,event_first_nll,1.4928787734273403,0.4824826989619377,0.1,0.25
epilepsiae_1073,seed_20260727,next_action,unordered_plus_full_hidden,32,event_first_nll,1.4616522861861343,0.4992430795847751,0.1,0.25
epilepsiae_1073,seed_20260727,next_action,unordered_plus_rank_shuffle_hidden,2,event_first_nll,1.544588433105601,0.4658304498269896,10.0,0.25
epilepsiae_1073,seed_20260727,next_action,unordered_plus_rank_shuffle_hidden,4,event_first_nll,1.549463527272937,0.4578287197231834,10.0,0.25
epilepsiae_1073,seed_20260727,next_action,unordered_plus_rank_shuffle_hidden,8,event_first_nll,1.5353582659893823,0.4540441176470588,1.0,0.25
epilepsiae_1073,seed_20260727,future_participation,unordered_plus_rank_shuffle_hidden,8,event_first_candidate_brier,0.2273032104165564,,100.0,
epilepsiae_1073,seed_20260727,remaining_rank_score,unordered_plus_rank_shuffle_hidden,8,event_first_candidate_mse,0.1467550467506167,,0.1,
epilepsiae_1073,seed_20260727,next_action,unordered_plus_rank_shuffle_hidden,16,event_first_nll,1.5290740757509094,0.4823745674740484,0.1,0.25
epilepsiae_1073,seed_20260727,next_action,unordered_plus_rank_shuffle_hidden,32,event_first_nll,1.4889812118708388,0.4947015570934256,1.0,0.25
epilepsiae_1073,seed_20260727,future_participation,unordered,0,event_first_candidate_brier,0.2372597769819306,,100.0,
epilepsiae_1073,seed_20260727,remaining_rank_score,unordered,0,event_first_candidate_mse,0.149781856498466,,100.0,
epilepsiae_1077,seed_20260725,next_action,progress,0,event_first_nll,1.62879004968771,0.3858306836248013,0.1,0.25
epilepsiae_1077,seed_20260725,next_action,last_set,0,event_first_nll,1.5071932128425467,0.4662162162162162,0.1,0.25
epilepsiae_1077,seed_20260725,next_action,unordered,0,event_first_nll,1.352199847334885,0.5326907790143084,0.1,0.25
epilepsiae_1077,seed_20260725,next_action,unordered_plus_full_hidden,2,event_first_nll,1.3467329875965166,0.5238473767885533,0.1,0.25
epilepsiae_1077,seed_20260725,next_action,unordered_plus_full_hidden,4,event_first_nll,1.3339026181621003,0.5473966613672496,0.1,0.25
epilepsiae_1077,seed_20260725,next_action,unordered_plus_full_hidden,8,event_first_nll,1.3287389456523515,0.5477941176470589,0.1,0.25
epilepsiae_1077,seed_20260725,future_participation,unordered_plus_full_hidden,8,event_first_candidate_brier,0.1758885432035228,,0.1,
epilepsiae_1077,seed_20260725,remaining_rank_score,unordered_plus_full_hidden,8,event_first_candidate_mse,0.1317037841690238,,0.1,
epilepsiae_1077,seed_20260725,next_action,unordered_plus_full_hidden,16,event_first_nll,1.3193244590313968,0.5466017488076311,0.1,0.25
epilepsiae_1077,seed_20260725,next_action,unordered_plus_full_hidden,32,event_first_nll,1.2997994668761037,0.5452106518282989,0.1,0.25
epilepsiae_1077,seed_20260725,next_action,unordered_plus_rank_shuffle_hidden,2,event_first_nll,1.3473553139558183,0.5392488076311606,10.0,0.25
epilepsiae_1077,seed_20260725,next_action,unordered_plus_rank_shuffle_hidden,4,event_first_nll,1.3363395764727106,0.5401430842607313,0.1,0.25
epilepsiae_1077,seed_20260725,next_action,unordered_plus_rank_shuffle_hidden,8,event_first_nll,1.333000470383268,0.5437201907790143,0.1,0.25
epilepsiae_1077,seed_20260725,future_participation,unordered_plus_rank_shuffle_hidden,8,event_first_candidate_brier,0.1768488293539385,,0.1,
epilepsiae_1077,seed_20260725,remaining_rank_score,unordered_plus_rank_shuffle_hidden,8,event_first_candidate_mse,0.1317006767588335,,0.1,
epilepsiae_1077,seed_20260725,next_action,unordered_plus_rank_shuffle_hidden,16,event_first_nll,1.318802491988119,0.5453100158982512,0.1,0.25
epilepsiae_1077,seed_20260725,next_action,unordered_plus_rank_shuffle_hidden,32,event_first_nll,1.3029294962422826,0.5489864864864865,0.1,0.25
epilepsiae_1077,seed_20260725,future_participation,unordered,0,event_first_candidate_brier,0.1795152340744475,,100.0,
epilepsiae_1077,seed_20260725,remaining_rank_score,unordered,0,event_first_candidate_mse,0.1331896163710973,,0.1,
epilepsiae_1077,seed_20260726,next_action,progress,0,event_first_nll,1.62879004968771,0.3858306836248013,0.1,0.25
epilepsiae_1077,seed_20260726,next_action,last_set,0,event_first_nll,1.5071932128425467,0.4662162162162162,0.1,0.25
epilepsiae_1077,seed_20260726,next_action,unordered,0,event_first_nll,1.352199847334885,0.5326907790143084,0.1,0.25
epilepsiae_1077,seed_20260726,next_action,unordered_plus_full_hidden,2,event_first_nll,1.3487564489493271,0.5363672496025437,0.1,0.25
epilepsiae_1077,seed_20260726,next_action,unordered_plus_full_hidden,4,event_first_nll,1.3429208234746324,0.5409379968203497,10.0,0.25
epilepsiae_1077,seed_20260726,next_action,unordered_plus_full_hidden,8,event_first_nll,1.3354232588771846,0.5394475357710652,0.1,0.25
epilepsiae_1077,seed_20260726,future_participation,unordered_plus_full_hidden,8,event_first_candidate_brier,0.1765487137250742,,0.1,
epilepsiae_1077,seed_20260726,remaining_rank_score,unordered_plus_full_hidden,8,event_first_candidate_mse,0.131925415396355,,0.1,
epilepsiae_1077,seed_20260726,next_action,unordered_plus_full_hidden,16,event_first_nll,1.324480193795846,0.5444157392686805,1.0,0.25
epilepsiae_1077,seed_20260726,next_action,unordered_plus_full_hidden,32,event_first_nll,1.3045241159697487,0.546204292527822,0.1,0.25
epilepsiae_1077,seed_20260726,next_action,unordered_plus_rank_shuffle_hidden,2,event_first_nll,1.3423810366751074,0.5375596184419714,0.1,0.25
epilepsiae_1077,seed_20260726,next_action,unordered_plus_rank_shuffle_hidden,4,event_first_nll,1.339688695799097,0.5386526232114467,0.1,0.25
epilepsiae_1077,seed_20260726,next_action,unordered_plus_rank_shuffle_hidden,8,event_first_nll,1.3330705412923605,0.543918918918919,0.1,0.25
