config_key,coverage_cycle,n_patients,n_seeds,patient_median_contact_choice_nll,patient_mean_contact_choice_nll,patient_sd_contact_choice_nll,patient_se_contact_choice_nll,patient_median_total_nll,patient_median_stop_nll,patient_median_train_validation_gap,seed_patient_median_sd,seed_patient_median_values,cfg_updates_per_patient,cfg_hidden_size,cfg_learning_rate,cfg_optimizer,cfg_weight_decay,cfg_batch_size,cfg_objective,optimizer_steps_in_cycle,gradient_clip_fraction,parameter_update_norm_median,runtime_seconds,optimizer_steps_total
u32_h32_lr0.001_adamw_wd0.0001_b1024_teacher_forced_one_step,1,34,3,1.7815168301264448,1.953104360430848,0.5220597493181552,0.08953250836791646,1.8158093492190042,0.24846951166788736,-0.017117659250895135,0.007991866242560862,"[1.797838866710663, 1.8088724613189702, 1.7933404445648193]",32,32,0.001,adamw,0.0001,1024,teacher_forced_one_step,1088.0,0.1951593137254902,0.028462067246437073,543.2102409998575,1088
u32_h32_lr0.001_adamw_wd0.0001_b1024_teacher_forced_one_step,2,34,3,1.8067061305046082,1.9058069715312886,0.5152077277044542,0.08835739635580085,1.7986485560735068,0.22401507943868632,-0.017646451791127483,0.009391950038748863,"[1.7905558347702026, 1.79812628030777, 1.8092287182807922]",32,32,0.001,adamw,0.0001,1024,teacher_forced_one_step,1088.0,0.14368872549019607,0.026132869223753612,543.2102409998575,2176
u32_h32_lr0.001_adamw_wd0.0001_b1024_teacher_forced_one_step,3,34,3,1.7340270678202312,1.861356251380023,0.51476162361997,0.08828089013648552,1.72893230120341,0.21742038925488788,-0.016198813915252665,0.015621135102699128,"[1.7466424107551575, 1.7160165905952454, 1.7259812355041504]",32,32,0.001,adamw,0.0001,1024,teacher_forced_one_step,1088.0,0.08823529411764706,0.025704757310450077,543.2102409998575,3264
u32_h32_lr0.001_adamw_wd0.0001_b1024_teacher_forced_one_step,4,34,3,1.7237842082977295,1.8596223288891363,0.5042015007010304,0.0864698439969564,1.7640209992726643,0.24974644432465237,-0.015409549077351833,0.013630392649112207,"[1.7098628282546997, 1.735601782798767, 1.7305099964141846]",32,32,0.001,adamw,0.0001,1024,teacher_forced_one_step,1088.0,0.06004901960784314,0.025734538522859413,543.2102409998575,4352
u32_h64_lr0.001_adamw_wd0.0001_b1024_teacher_forced_one_step,1,34,3,1.827854037284851,1.9719014039226608,0.5339651911866712,0.09157427480386333,1.8632208506266277,0.2517713258663813,-0.014410754044850618,0.050708258442219704,"[1.7781586050987244, 1.824490487575531, 1.8794526457786562]",32,64,0.001,adamw,0.0001,1024,teacher_forced_one_step,1088.0,0.21752450980392157,0.03251460256675879,504.32150435447693,1088
u32_h64_lr0.001_adamw_wd0.0001_b1024_teacher_forced_one_step,2,34,3,1.8169741233189902,1.9158050219217937,0.5091852705543499,0.08732455347547657,1.7935165762901306,0.22326210141181946,-0.020472745100657115,0.03763699605706531,"[1.799893081188202, 1.8574174642562866, 1.7866095900535583]",32,64,0.001,adamw,0.0001,1024,teacher_forced_one_step,1088.0,0.15808823529411764,0.031817580262819924,504.32150435447693,2176
u32_h64_lr0.001_adamw_wd0.0001_b1024_teacher_forced_one_step,3,34,3,1.783300797144572,1.8745519133175121,0.5207892958892688,0.08931462740237299,1.737880071004232,0.2142702663938204,-0.015990555286407433,0.02451807445683352,"[1.7524293065071106, 1.7985289096832275, 1.7610040307044983]",32,64,0.001,adamw,0.0001,1024,teacher_forced_one_step,1088.0,0.10784313725490197,0.032116725419958435,504.32150435447693,3264
u32_h64_lr0.001_adamw_wd0.0001_b1024_teacher_forced_one_step,4,34,3,1.7533256212870278,1.8752032331391877,0.506065102060774,0.08678944899342207,1.766852080821991,0.23758544276158014,-0.022827903429667118,0.010884652562642226,"[1.7337854504585266, 1.7554941773414612, 1.7460452914237976]",32,64,0.001,adamw,0.0001,1024,teacher_forced_one_step,1088.0,0.08026960784313725,0.03233893867582083,504.32150435447693,4352
u8_h32_lr0.001_adamw_wd0.0001_b1024_teacher_forced_one_step,1,34,3,1.8516947229703267,1.959689687280094,0.5389262002213985,0.09242508083419827,1.8714755972226462,0.24786544839541114,-0.009679615497589049,0.011818260595670944,"[1.843045175075531, 1.8611793518066406, 1.865241527557373]",8,32,0.001,adamw,0.0001,1024,teacher_forced_one_step,272.0,0.29534313725490197,0.03273267485201359,302.8362005551656,272
u8_h32_lr0.001_adamw_wd0.0001_b1024_teacher_forced_one_step,2,34,3,1.8302733500798545,1.943365944366829,0.5345713256141277,0.09167822600057829,1.8322402040163677,0.23868628591299051,-0.010375122229258182,0.030905567332505754,"[1.8038264513015747, 1.8522872924804688, 1.7948285341262817]",8,32,0.001,adamw,0.0001,1024,teacher_forced_one_step,272.0,0.3272058823529412,0.029470122419297695,302.8362005551656,544
u8_h32_lr0.001_adamw_wd0.0001_b1024_teacher_forced_one_step,3,34,3,1.8057491580645242,1.923164395725026,0.537734825470219,0.09222076174999648,1.792889416217804,0.22504137953122455,-0.009814182917276999,0.03278153440540631,"[1.8182901740074158, 1.835142433643341, 1.771844744682312]",8,32,0.001,adamw,0.0001,1024,teacher_forced_one_step,272.0,0.23039215686274508,0.030950209436317284,302.8362005551656,816
u8_h32_lr0.001_adamw_wd0.0001_b1024_teacher_forced_one_step,4,34,3,1.7917797168095906,1.9152928614148905,0.5397739137561273,0.0925704625060104,1.79448401927948,0.22785039494434986,-0.009868840376536018,0.015828697613031406,"[1.7895936965942383, 1.7802053689956665, 1.8110823035240173]",8,32,0.001,adamw,0.0001,1024,teacher_forced_one_step,272.0,0.26715686274509803,0.03266977394620577,302.8362005551656,1088
