arm,condition,cycles,updates_per_patient,offset_cycles,endpoint,n_patients,patient_median,patient_mean
loso_dev_c1_u8__offset4,loso_dev_c1_u8,1,8,4,likelihood_contact_choice_nll,34,1.8678316275278726,1.9641762270646936
loso_dev_c1_u8__offset4,loso_dev_c1_u8,1,8,4,likelihood_event_total_nll,34,1.8701987663904827,1.9825111884696813
loso_dev_c1_u8__offset4,loso_dev_c1_u8,1,8,4,likelihood_stop_contribution_nll,34,0.24766028920809424,0.2353383551771734
loso_dev_c1_u8__offset8,loso_dev_c1_u8,1,8,8,likelihood_contact_choice_nll,34,1.84498659769694,1.9573136205766715
loso_dev_c1_u8__offset8,loso_dev_c1_u8,1,8,8,likelihood_event_total_nll,34,1.8570147156715393,1.9739260731958874
loso_dev_c1_u8__offset8,loso_dev_c1_u8,1,8,8,likelihood_stop_contribution_nll,34,0.2441785037517547,0.23275389398137727
loso_dev_c4_u32__offset4,loso_dev_c4_u32,4,32,4,likelihood_contact_choice_nll,34,1.7162500023841858,1.8146374494421718
loso_dev_c4_u32__offset4,loso_dev_c4_u32,4,32,4,likelihood_event_total_nll,34,1.6813298463821411,1.8165147877206989
loso_dev_c4_u32__offset4,loso_dev_c4_u32,4,32,4,likelihood_stop_contribution_nll,34,0.19621548056602478,0.20237291998722973
loso_dev_c4_u32__offset8,loso_dev_c4_u32,4,32,8,likelihood_contact_choice_nll,34,1.7068851788838706,1.8033845623334248
loso_dev_c4_u32__offset8,loso_dev_c4_u32,4,32,8,likelihood_event_total_nll,34,1.6714789867401123,1.8023714154374364
loso_dev_c4_u32__offset8,loso_dev_c4_u32,4,32,8,likelihood_stop_contribution_nll,34,0.19558277229468027,0.198281790988118
loso_dev_c7_u32__offset4,loso_dev_c7_u32,7,32,4,likelihood_contact_choice_nll,34,1.7006070613861084,1.799440604798934
loso_dev_c7_u32__offset4,loso_dev_c7_u32,7,32,4,likelihood_event_total_nll,34,1.6687540411949158,1.7974567647073783
loso_dev_c7_u32__offset4,loso_dev_c7_u32,7,32,4,likelihood_stop_contribution_nll,34,0.1937415202458699,0.19711328356289395
loso_dev_c7_u32__offset8,loso_dev_c7_u32,7,32,8,likelihood_contact_choice_nll,34,1.6921128630638123,1.7898200563355986
loso_dev_c7_u32__offset8,loso_dev_c7_u32,7,32,8,likelihood_event_total_nll,34,1.6605693101882935,1.7853062877468033
loso_dev_c7_u32__offset8,loso_dev_c7_u32,7,32,8,likelihood_stop_contribution_nll,34,0.1941851104299227,0.19359294712251304
