condition,rollout_condition,n_patients,n_seeds,n_cells,transition_correlation__patient_median,transition_correlation__patient_mean,transition_mae__patient_median,transition_mae__patient_mean,suffix_rank_wasserstein__patient_median,suffix_rank_wasserstein__patient_mean,suffix_precedence_correlation__patient_median,suffix_precedence_correlation__patient_mean,suffix_precedence_mae__patient_median,suffix_precedence_mae__patient_mean,suffix_participation_mae__patient_median,suffix_participation_mae__patient_mean,whole_participation_mae__patient_median,whole_participation_mae__patient_mean,whole_rank_wasserstein__patient_median,whole_rank_wasserstein__patient_mean,event_length_wasserstein__patient_median,event_length_wasserstein__patient_mean,stop_hazard_mae__patient_median,stop_hazard_mae__patient_mean,likelihood_contact_choice_nll__patient_median,likelihood_contact_choice_nll__patient_mean,likelihood_event_total_nll__patient_median,likelihood_event_total_nll__patient_mean,likelihood_stop_contribution_nll__patient_median,likelihood_stop_contribution_nll__patient_mean
objective_scheduled_sampling,full_constructive,34,3,102,0.7305589604824205,0.6844138048179815,0.035276552385474745,0.03736521087475604,0.11961697043708999,0.12798035668835583,0.06932060688160191,0.09551405611673716,0.20140197142346777,0.20606772468254766,0.11521752193810195,0.12892581253629884,0.11521752193810193,0.12892581253629884,0.08365195237004217,0.09368618965627179,0.0237425872451507,0.02895633235284898,0.039988224151821614,0.04781731620307193,1.7041624983151755,1.8104767799377441,1.682908296585083,1.8086082315912433,0.19751435269912077,0.1982132089780826
objective_scheduled_sampling,native_model,34,3,102,0.8033872150546231,0.7444641209978134,0.031388125825182814,0.03161284297117948,0.06773358072618524,0.06851689891141519,0.726776543537067,0.715433962735013,0.10734520388430743,0.1125296454589709,0.08385035808001622,0.08230441042892409,0.08385035808001622,0.08230441042892409,0.05344480911079573,0.05462460311519373,0.0528488197985732,0.05897367605749264,0.07658849102650117,0.08507060927956771,1.7041624983151755,1.8104767799377441,1.682908296585083,1.8086082315912433,0.19751435269912077,0.1982132089780826
objective_scheduled_sampling,none,34,3,102,,,,,,,,,,,,,,,,,,,,,1.7041624983151755,1.8104767799377441,1.682908296585083,1.8086082315912433,0.19751435269912077,0.1982132089780826
objective_scheduled_sampling,static_only,34,3,102,0.42006143246601657,0.44712969545221315,0.045657257725911844,0.047557407375393566,0.11750565654003267,0.11299896316072869,0.1272068239654341,0.2154576880631926,0.1774072384679899,0.1741127793819024,0.09991664714583745,0.10442987447067408,0.09991664714583746,0.10442987447067408,0.08167469970865149,0.08936536326294497,0.0237425872451507,0.02895633235284898,0.039988224151821614,0.04781731620307193,1.7041624983151755,1.8104767799377441,1.682908296585083,1.8086082315912433,0.19751435269912077,0.1982132089780826
objective_self_fed_2step,full_constructive,34,3,102,0.7216017335976883,0.6716136175010494,0.03569331548147367,0.038323207427214456,0.12470456870703746,0.12647284888846308,0.19601095351654718,0.12556091869665187,0.20474290831441289,0.2012593415617559,0.12088942654680676,0.1286490854836276,0.12088942654680676,0.1286490854836276,0.08436081592929837,0.09287382707160434,0.0237425872451507,0.02895633235284898,0.039988224151821614,0.04781731620307193,1.7178773482640584,1.8257420285075319,1.690946122010549,1.8246137569932377,0.20013823360204694,0.20034097631772357
objective_self_fed_2step,native_model,34,3,102,0.8085730078683415,0.7319105556467287,0.032792955336028745,0.032511799476178306,0.06526102171735464,0.06883461698571669,0.7601866193525861,0.7163673450622072,0.1043270406669884,0.111160034159401,0.07943172035455795,0.08313258527579157,0.07943172035455794,0.08313258527579155,0.05512472930561465,0.05560713810205684,0.054173995019065384,0.060181206150322575,0.0792996789887972,0.08412410984194546,1.7178773482640584,1.8257420285075319,1.690946122010549,1.8246137569932377,0.20013823360204694,0.20034097631772357
objective_self_fed_2step,none,34,3,102,,,,,,,,,,,,,,,,,,,,,1.7178773482640584,1.8257420285075319,1.690946122010549,1.8246137569932377,0.20013823360204694,0.20034097631772357
objective_self_fed_2step,static_only,34,3,102,0.42006143246601657,0.44712969545221315,0.045657257725911844,0.047557407375393566,0.11750565654003267,0.11299896316072869,0.1272068239654341,0.2154576880631926,0.1774072384679899,0.1741127793819024,0.09991664714583745,0.10442987447067408,0.09991664714583746,0.10442987447067408,0.08167469970865149,0.08936536326294497,0.0237425872451507,0.02895633235284898,0.039988224151821614,0.04781731620307193,1.7178773482640584,1.8257420285075319,1.690946122010549,1.8246137569932377,0.20013823360204694,0.20034097631772357
objective_self_fed_3step,full_constructive,34,3,102,0.6851382457925403,0.6399515923549014,0.03716871481842456,0.04006341011295665,0.12308502448350472,0.12646924263777468,0.17370038616171968,0.13783360105332226,0.2022027617431671,0.20258845902438669,0.11922254479491237,0.12925123079652637,0.1192225447949124,0.12925123079652637,0.08771984676347441,0.09195649545130176,0.0237425872451507,0.02895633235284898,0.039988224151821614,0.04781731620307193,1.7364750305811563,1.8476661420335958,1.7132626573244731,1.8462354868066075,0.20360028495391208,0.20225418212951396
objective_self_fed_3step,native_model,34,3,102,0.777787239161521,0.7018573552292264,0.03504425570011357,0.03475145757694668,0.068225222441651,0.07014879026588143,0.7467499135217797,0.7127183239276775,0.10949906854684274,0.1132976523029702,0.08478618581173286,0.08645736471375104,0.08478618581173286,0.08645736471375105,0.05550098901135643,0.056179042364880805,0.06004706714407488,0.06494765931633875,0.08387306119452524,0.08307398767664315,1.7364750305811563,1.8476661420335958,1.7132626573244731,1.8462354868066075,0.20360028495391208,0.20225418212951396
