condition,rollout_condition,n_patients,n_seeds,n_cells,transition_correlation__patient_median,transition_correlation__patient_mean,transition_mae__patient_median,transition_mae__patient_mean,suffix_rank_wasserstein__patient_median,suffix_rank_wasserstein__patient_mean,suffix_precedence_correlation__patient_median,suffix_precedence_correlation__patient_mean,suffix_precedence_mae__patient_median,suffix_precedence_mae__patient_mean,suffix_participation_mae__patient_median,suffix_participation_mae__patient_mean,whole_participation_mae__patient_median,whole_participation_mae__patient_mean,whole_rank_wasserstein__patient_median,whole_rank_wasserstein__patient_mean,event_length_wasserstein__patient_median,event_length_wasserstein__patient_mean,stop_hazard_mae__patient_median,stop_hazard_mae__patient_mean,likelihood_contact_choice_nll__patient_median,likelihood_contact_choice_nll__patient_mean,likelihood_event_total_nll__patient_median,likelihood_event_total_nll__patient_mean,likelihood_stop_contribution_nll__patient_median,likelihood_stop_contribution_nll__patient_mean
best_rollout_aware,full_constructive,34,3,102,0.801529214931237,0.7332506802308425,0.03139009984464438,0.03450416863793068,0.10613616509295062,0.11636930539956362,0.0673880662329398,0.09490049249572527,0.16712385683092484,0.1815628136843845,0.12833011456933865,0.1338031946308671,0.12833011456933868,0.13380319463086712,0.07521412150089199,0.0852163283968954,0.016671509531461348,0.02737691454888695,0.0300073737875702,0.04001947774824792,1.736152251561483,1.8534948895959293,1.7448492447535195,1.8461758248946247,0.2048995271325111,0.2013747559896871
best_rollout_aware,native_model,34,3,102,0.8764456346145331,0.7952107862322358,0.02521859951081258,0.029327028663797026,0.05747273685050483,0.05974114890219345,0.8072517429686248,0.7302581124392609,0.09257772661507047,0.09489257233157375,0.07718758169979614,0.0856783029981541,0.07718758169979614,0.0856783029981541,0.042927920341016244,0.04807203479018346,0.05333124080809444,0.06200007484700761,0.0797212549660823,0.08066757420438844,1.736152251561483,1.8534948895959293,1.7448492447535195,1.8461758248946247,0.2048995271325111,0.2013747559896871
best_rollout_aware,none,34,3,102,,,,,,,,,,,,,,,,,,,,,1.736152251561483,1.8534948895959293,1.7448492447535195,1.8461758248946247,0.2048995271325111,0.2013747559896871
best_rollout_aware,static_only,34,3,102,0.4450476871432737,0.4809383871986151,0.04443696726217988,0.04503645395808498,0.09161182420164427,0.09632132020476343,0.18438657610491593,0.24595321795467856,0.14076533247862733,0.14539676825579714,0.0834305410871966,0.09557307950336351,0.0834305410871966,0.09557307950336351,0.06861916611329466,0.07611056101657143,0.016671509531461348,0.02737691454888695,0.0300073737875702,0.04001947774824792,1.736152251561483,1.8534948895959293,1.7448492447535195,1.8461758248946247,0.2048995271325111,0.2013747559896871
converged_teacher_forced,full_constructive,34,3,102,0.8152350514814697,0.7574537143706875,0.02909728102643415,0.03195307988929337,0.10842787353168759,0.11274927182136783,0.013982398228753216,0.09232472213079337,0.1692377989530881,0.17805568248258366,0.12552972222096365,0.13142152070891194,0.12552972222096365,0.13142152070891194,0.0765669088180852,0.08400461701819474,0.016671509531461348,0.02737691454888695,0.0300073737875702,0.04001947774824792,1.724539597829183,1.8332930148816575,1.725092629591624,1.8279179673568877,0.19932633141676584,0.20089913619791758
converged_teacher_forced,native_model,34,3,102,0.8668834471930013,0.812338104154521,0.0247509797901119,0.0270819671830972,0.049715494697213786,0.058043993175209745,0.8034917263030668,0.7551218593468858,0.07966727475989663,0.09080170750400167,0.06813217735118057,0.0802263503555294,0.06813217735118057,0.0802263503555294,0.04445652817602011,0.04748891522737757,0.0477103317413529,0.055822692684761144,0.07140986566726662,0.07520573478929238,1.724539597829183,1.8332930148816575,1.725092629591624,1.8279179673568877,0.19932633141676584,0.20089913619791758
converged_teacher_forced,none,34,3,102,,,,,,,,,,,,,,,,,,,,,1.724539597829183,1.8332930148816575,1.725092629591624,1.8279179673568877,0.19932633141676584,0.20089913619791758
converged_teacher_forced,static_only,34,3,102,0.4450476871432737,0.4809383871986151,0.04443696726217988,0.04503645395808498,0.09161182420164427,0.09632132020476343,0.18438657610491593,0.24595321795467856,0.14076533247862733,0.14539676825579714,0.0834305410871966,0.09557307950336351,0.0834305410871966,0.09557307950336351,0.06861916611329466,0.07611056101657143,0.016671509531461348,0.02737691454888695,0.0300073737875702,0.04001947774824792,1.724539597829183,1.8332930148816575,1.725092629591624,1.8279179673568877,0.19932633141676584,0.20089913619791758
current_teacher_forced_reference,full_constructive,34,3,102,0.634943773211309,0.5969931434497618,0.03731240345718515,0.04094928765513438,0.09434355809215969,0.1021134804264399,0.20111382370982822,0.26606046868934036,0.14711658089184093,0.15680185194143806,0.08503154909244567,0.09075154862929531,0.08503154909244567,0.0907515486292953,0.08135348261156541,0.08058940621417839,0.016671509531461348,0.02737691454888695,0.0300073737875702,0.04001947774824792,1.879162093003591,1.9871974832871384,1.8771504362424216,1.9940474535904675,0.23813321193059284,0.23064994351828796
current_teacher_forced_reference,native_model,34,3,102,0.6207961868963444,0.6123544409337419,0.03512479301231443,0.03977414719490322,0.08743113674494371,0.08948900825801671,0.45932552477023786,0.44882319945434407,0.1227876561440274,0.13354873840383358,0.09910191181005239,0.10642399307350048,0.09910191181005239,0.10642399307350048,0.06670348522094537,0.07117649394683068,0.08737760089582244,0.09581389044334275,0.08185939565759803,0.08502629234639206,1.879162093003591,1.9871974832871384,1.8771504362424216,1.9940474535904675,0.23813321193059284,0.23064994351828796
current_teacher_forced_reference,none,34,3,102,,,,,,,,,,,,,,,,,,,,,1.879162093003591,1.9871974832871384,1.8771504362424216,1.9940474535904675,0.23813321193059284,0.23064994351828796
current_teacher_forced_reference,static_only,34,3,102,0.4450476871432737,0.4809383871986151,0.04443696726217988,0.04503645395808498,0.09161182420164427,0.09632132020476343,0.18438657610491593,0.24595321795467856,0.14076533247862733,0.14539676825579714,0.0834305410871966,0.09557307950336351,0.0834305410871966,0.09557307950336351,0.06861916611329466,0.07611056101657143,0.016671509531461348,0.02737691454888695,0.0300073737875702,0.04001947774824792,1.879162093003591,1.9871974832871384,1.8771504362424216,1.9940474535904675,0.23813321193059284,0.23064994351828796
