cell	status
loso_dev_c7_u32/seed_20260725/epilepsiae_1073	pending
loso_dev_c7_u32/seed_20260725/epilepsiae_1077	pending
loso_dev_c7_u32/seed_20260725/epilepsiae_1084	pending
loso_dev_c7_u32/seed_20260725/epilepsiae_1096	pending
loso_dev_c7_u32/seed_20260725/epilepsiae_1125	pending
loso_dev_c7_u32/seed_20260725/epilepsiae_1146	pending
loso_dev_c7_u32/seed_20260725/epilepsiae_1150	pending
loso_dev_c7_u32/seed_20260725/epilepsiae_139	pending
loso_dev_c7_u32/seed_20260725/epilepsiae_253	pending
loso_dev_c7_u32/seed_20260725/epilepsiae_384	pending
loso_dev_c7_u32/seed_20260725/epilepsiae_442	pending
loso_dev_c7_u32/seed_20260725/epilepsiae_548	pending
loso_dev_c7_u32/seed_20260725/epilepsiae_583	pending
loso_dev_c7_u32/seed_20260725/epilepsiae_590	pending
loso_dev_c7_u32/seed_20260725/epilepsiae_620	pending
loso_dev_c7_u32/seed_20260725/epilepsiae_635	pending
loso_dev_c7_u32/seed_20260725/epilepsiae_922	pending
loso_dev_c7_u32/seed_20260725/epilepsiae_958	pending
loso_dev_c7_u32/seed_20260725/yuquan_chengshuai	pending
loso_dev_c7_u32/seed_20260725/yuquan_chenziyang	pending
loso_dev_c7_u32/seed_20260725/yuquan_gaolan	pending
loso_dev_c7_u32/seed_20260725/yuquan_hanyuxuan	pending
loso_dev_c7_u32/seed_20260725/yuquan_huanghanwen	pending
loso_dev_c7_u32/seed_20260725/yuquan_litengsheng	pending
loso_dev_c7_u32/seed_20260725/yuquan_liyouran	pending
loso_dev_c7_u32/seed_20260725/yuquan_pengzihang	pending
loso_dev_c7_u32/seed_20260725/yuquan_songzishuo	pending
loso_dev_c7_u32/seed_20260725/yuquan_sunyuanxin	pending
loso_dev_c7_u32/seed_20260725/yuquan_wangyiyang	pending
loso_dev_c7_u32/seed_20260725/yuquan_xuxinyi	pending
loso_dev_c7_u32/seed_20260725/yuquan_zhangbichen	pending
loso_dev_c7_u32/seed_20260725/yuquan_zhangjiaqi	pending
loso_dev_c7_u32/seed_20260725/yuquan_zhangkexuan	pending
loso_dev_c7_u32/seed_20260725/yuquan_zhaochenxi	pending
loso_dev_c7_u32/seed_20260726/epilepsiae_1073	pending
loso_dev_c7_u32/seed_20260726/epilepsiae_1077	pending
loso_dev_c7_u32/seed_20260726/epilepsiae_1084	pending
loso_dev_c7_u32/seed_20260726/epilepsiae_1096	pending
loso_dev_c7_u32/seed_20260726/epilepsiae_1125	pending
loso_dev_c7_u32/seed_20260726/epilepsiae_1146	pending
loso_dev_c7_u32/seed_20260726/epilepsiae_1150	pending
loso_dev_c7_u32/seed_20260726/epilepsiae_139	pending
loso_dev_c7_u32/seed_20260726/epilepsiae_253	pending
loso_dev_c7_u32/seed_20260726/epilepsiae_384	pending
loso_dev_c7_u32/seed_20260726/epilepsiae_442	pending
loso_dev_c7_u32/seed_20260726/epilepsiae_548	pending
loso_dev_c7_u32/seed_20260726/epilepsiae_583	pending
loso_dev_c7_u32/seed_20260726/epilepsiae_590	pending
loso_dev_c7_u32/seed_20260726/epilepsiae_620	pending
loso_dev_c7_u32/seed_20260726/epilepsiae_635	pending
loso_dev_c7_u32/seed_20260726/epilepsiae_922	pending
loso_dev_c7_u32/seed_20260726/epilepsiae_958	pending
loso_dev_c7_u32/seed_20260726/yuquan_chengshuai	pending
loso_dev_c7_u32/seed_20260726/yuquan_chenziyang	pending
loso_dev_c7_u32/seed_20260726/yuquan_gaolan	pending
loso_dev_c7_u32/seed_20260726/yuquan_hanyuxuan	pending
loso_dev_c7_u32/seed_20260726/yuquan_huanghanwen	pending
loso_dev_c7_u32/seed_20260726/yuquan_litengsheng	pending
loso_dev_c7_u32/seed_20260726/yuquan_liyouran	pending
loso_dev_c7_u32/seed_20260726/yuquan_pengzihang	pending
loso_dev_c7_u32/seed_20260726/yuquan_songzishuo	pending
loso_dev_c7_u32/seed_20260726/yuquan_sunyuanxin	pending
loso_dev_c7_u32/seed_20260726/yuquan_wangyiyang	pending
loso_dev_c7_u32/seed_20260726/yuquan_xuxinyi	pending
loso_dev_c7_u32/seed_20260726/yuquan_zhangbichen	pending
loso_dev_c7_u32/seed_20260726/yuquan_zhangjiaqi	pending
loso_dev_c7_u32/seed_20260726/yuquan_zhangkexuan	pending
