cell	status
c7_u32_h32_lr0.0003_adamw_wd0_b1024_teacher_forced_one_step/seed_20260725	pending
c7_u32_h32_lr0.0003_adamw_wd0_b1024_teacher_forced_one_step/seed_20260726	pending
c7_u32_h32_lr0.0003_adamw_wd0_b1024_teacher_forced_one_step/seed_20260727	pending
c7_u32_h32_lr0.001_adamw_wd0_b1024_teacher_forced_one_step/seed_20260725	pending
c7_u32_h32_lr0.001_adamw_wd0_b1024_teacher_forced_one_step/seed_20260726	pending
c7_u32_h32_lr0.001_adamw_wd0_b1024_teacher_forced_one_step/seed_20260727	pending
c7_u32_h32_lr0.003_adamw_wd0_b1024_teacher_forced_one_step/seed_20260725	pending
c7_u32_h32_lr0.003_adamw_wd0_b1024_teacher_forced_one_step/seed_20260726	pending
c7_u32_h32_lr0.003_adamw_wd0_b1024_teacher_forced_one_step/seed_20260727	pending
c7_u32_h32_lr0.0003_adamw_wd0.0001_b1024_teacher_forced_one_step/seed_20260725	pending
c7_u32_h32_lr0.0003_adamw_wd0.0001_b1024_teacher_forced_one_step/seed_20260726	pending
c7_u32_h32_lr0.0003_adamw_wd0.0001_b1024_teacher_forced_one_step/seed_20260727	pending
c7_u32_h32_lr0.001_adamw_wd0.0001_b1024_teacher_forced_one_step/seed_20260725	pending
c7_u32_h32_lr0.001_adamw_wd0.0001_b1024_teacher_forced_one_step/seed_20260726	pending
c7_u32_h32_lr0.001_adamw_wd0.0001_b1024_teacher_forced_one_step/seed_20260727	pending
c7_u32_h32_lr0.003_adamw_wd0.0001_b1024_teacher_forced_one_step/seed_20260725	pending
c7_u32_h32_lr0.003_adamw_wd0.0001_b1024_teacher_forced_one_step/seed_20260726	pending
c7_u32_h32_lr0.003_adamw_wd0.0001_b1024_teacher_forced_one_step/seed_20260727	pending
c7_u32_h32_lr0.0003_adam_wd0_b1024_teacher_forced_one_step/seed_20260725	pending
c7_u32_h32_lr0.0003_adam_wd0_b1024_teacher_forced_one_step/seed_20260726	pending
c7_u32_h32_lr0.0003_adam_wd0_b1024_teacher_forced_one_step/seed_20260727	pending
c7_u32_h32_lr0.001_adam_wd0_b1024_teacher_forced_one_step/seed_20260725	pending
c7_u32_h32_lr0.001_adam_wd0_b1024_teacher_forced_one_step/seed_20260726	pending
c7_u32_h32_lr0.001_adam_wd0_b1024_teacher_forced_one_step/seed_20260727	pending
c7_u32_h32_lr0.003_adam_wd0_b1024_teacher_forced_one_step/seed_20260725	pending
c7_u32_h32_lr0.003_adam_wd0_b1024_teacher_forced_one_step/seed_20260726	pending
c7_u32_h32_lr0.003_adam_wd0_b1024_teacher_forced_one_step/seed_20260727	pending
