subject,dataset,seed,contact_index,contact_name,observed_participation,generated_participation,observed_mean_rank,generated_mean_rank,observed_rank_bin_0,generated_rank_bin_0,observed_rank_bin_1,generated_rank_bin_1,observed_rank_bin_2,generated_rank_bin_2,observed_rank_bin_3,generated_rank_bin_3,observed_rank_bin_4,generated_rank_bin_4,observed_rank_bin_5,generated_rank_bin_5,observed_rank_bin_6,generated_rank_bin_6,observed_rank_bin_7,generated_rank_bin_7,observed_rank_bin_8,generated_rank_bin_8,observed_rank_bin_9,generated_rank_bin_9,observed_early_probability,generated_early_probability,observed_middle_probability,generated_middle_probability,observed_late_probability,generated_late_probability
epilepsiae_1073,epilepsiae,20260726,0,HRA1,0.8161634424154764,0.5638,0.33869567143679946,0.5143608844743999,0.4371981746488857,0.22277403334515786,0.0,0.0,0.029949935758273892,0.1071301880099326,0.11341987506091888,0.05214615111741752,0.005892516946524301,0.05640297978006385,0.19906074165965176,0.15040794608017027,0.05546940764698064,0.045406172401560835,0.01572814673696336,0.05853139411138702,0.004253245314784458,0.0595956012770486,0.13902795622701697,0.24760553387726145,0.4671481104071596,0.32990422135509045,0.3738425413140756,0.30436324937921244,0.15900934827876478,0.36573252926569705
epilepsiae_1073,epilepsiae,20260726,1,BFRA5,0.26870367022238295,0.587,0.4705243798501772,0.523923906871096,0.32162562239267933,0.22453151618398637,0.0,0.0,0.07953169156237384,0.10391822827938671,0.049925985735432644,0.04531516183986371,0.012380567891266316,0.05485519591141397,0.16458081011976855,0.13356047700170356,0.04319741622930965,0.05894378194207837,0.03377741892073745,0.05792163543441227,0.013860853182613377,0.05928449744463373,0.28111963396581885,0.2616695059625213,0.40115731395505316,0.32844974446337305,0.2700847799757772,0.2926746166950596,0.32875790606916966,0.3788756388415673
epilepsiae_1073,epilepsiae,20260726,2,BFRA7,0.49810160911227624,0.688,0.3836479128856624,0.44697189922480624,0.3898366606170599,0.29593023255813955,0.0,0.0,0.06018148820326679,0.10843023255813954,0.10693284936479129,0.05726744186046512,0.0070417422867513615,0.04941860465116279,0.16137931034482758,0.1438953488372093,0.05052631578947368,0.051744186046511625,0.02780399274047187,0.054360465116279066,0.008130671506352088,0.0375,0.18816696914700545,0.20145348837209304,0.4500181488203267,0.4043604651162791,0.3258802177858439,0.3023255813953488,0.2241016333938294,0.2933139534883721
epilepsiae_1073,epilepsiae,20260726,3,BFRA8,0.18694630265774725,0.6334,0.5023500967117989,0.47799705294179556,0.3147001934235977,0.26113040732554466,0.0,0.0,0.051837524177949706,0.1161982949163246,0.033655705996131526,0.050205241553520685,0.016827852998065763,0.05083675402589201,0.17736943907156674,0.14430059993684874,0.03307543520309478,0.047679191664035364,0.03597678916827853,0.05304704767919166,0.017601547388781433,0.05462582886011999,0.31895551257253385,0.22197663403852225,0.3665377176015474,0.37732870224186926,0.26092843326885884,0.2930217871802968,0.3725338491295938,0.32964951057783387
epilepsiae_1073,epilepsiae,20260726,4,HRB1,0.8850117519435907,0.6378,0.5556697310180455,0.4755409219190969,0.19713993871297242,0.2659140796487927,0.0,0.0,0.0222267620020429,0.10849796174349326,0.05397344228804903,0.05299466917529006,0.004821246169560776,0.04578237692066479,0.2884167517875383,0.1480087801818752,0.1091726251276813,0.05487613671997491,0.04061287027579162,0.05675760426465977,0.00567926455566905,0.05017246785826278,0.2779570990806946,0.21699592348698651,0.21936670071501532,0.37441204139228595,0.4563840653728294,0.30166196299780496,0.32424923391215527,0.3239259956099091
epilepsiae_1073,epilepsiae,20260726,5,HRC1,0.8623395407702042,0.5822,0.6714154925640166,0.4956715905187221,0.14990774907749077,0.24218481621435933,0.0,0.0,0.018282455551828246,0.10408794228787359,0.045244884267024485,0.04878048780487805,0.004696410600469641,0.056338028169014086,0.19968131499496813,0.1600824458948815,0.07824555518282456,0.04878048780487805,0.02247567930224757,0.05668155273102027,0.004109359275410936,0.0539333562349708,0.47735659174773565,0.22913088285812436,0.16819020462931902,0.34627275850223294,0.3278681650452868,0.31398144967365166,0.5039416303253942,0.33974579182411546
epilepsiae_1077,epilepsiae,20260726,0,AMR1,0.573965410747375,0.476,0.34254775356470274,0.5415966386554621,0.35001345170836695,0.21638655462184875,0.0,0.0,0.14608555286521388,0.09663865546218488,0.09389292440139897,0.05042016806722689,0.02744148506860371,0.04285714285714286,0.19720204465967178,0.1357142857142857,0.04465967177831585,0.0453781512605042,0.011837503362927092,0.06680672268907563,0.003228410008071025,0.06428571428571428,0.12563895614743073,0.2815126050420168,0.4960990045735808,0.3130252100840336,0.36319612590799033,0.27436974789915963,0.14070486951842884,0.4126050420168067
epilepsiae_1077,epilepsiae,20260726,1,HAR1,0.862415071031501,0.6828,0.26404356908385557,0.45769869166178484,0.5658012533572068,0.2958406561218512,0.0,0.0,0.06392121754700089,0.09490333919156414,0.05550581915846016,0.06092560046865846,0.008773500447627574,0.03749267721148213,0.13106535362578334,0.14294083186877563,0.02846911369740376,0.06942003514938488,0.01414503133393017,0.051259519625073226,0.0035810205908683975,0.03163444639718805,0.12873769024171888,0.21558289396602226,0.6297224709042076,0.3907439953134153,0.22381378692927484,0.3107791446983011,0.14646374216651745,0.29847685998828355
epilepsiae_1077,epilepsiae,20260726,2,HAR2,0.7449042618900555,0.6056,0.4873272526257601,0.49602047556142664,0.16832504145936983,0.25165125495376484,0.0,0.0,0.1183665008291874,0.0964332892998679,0.11857379767827529,0.0653896961690885,0.041666666666666664,0.043262879788639366,0.240257048092869,0.14332892998678995,0.07462686567164178,0.056472919418758254,0.019693200663349918,0.062417437252311754,0.005182421227197346,0.03665785997357992,0.21330845771144277,0.24438573315719947,0.2866915422885572,0.3480845442536327,0.47512437810945274,0.3084544253632761,0.23818407960199003,0.34346103038309117
epilepsiae_1077,epilepsiae,20260726,3,HPR1,0.8114576899320568,0.6834,0.6813732952743419,0.4389474197639255,0.11798287345385347,0.30757974831723733,0.0,0.0,0.018268315889628926,0.10857477319285923,0.04548049476688868,0.06379865378987416,0.00818268315889629,0.038630377524143986,0.18439581351094195,0.13988879133743048,0.11075166508087536,0.05297044190810653,0.08696479543292103,0.05238513315774071,0.019410085632730733,0.03219198127011999,0.40856327307326357,0.20398009950248755,0.1362511893434824,0.4161545215100966,0.3488106565176023,0.29528826455955515,0.5149381541389153,0.2885572139303483
