lesion,metric,n_patients,median_benefit,n_patients_better,wilcoxon_p_greater,wilcoxon_q_bh,pass,inference_role
drop_dominant_mode,heldout_event_nll,34,0.0,0,1.0,1.0,False,secondary_diagnostic
drop_dominant_mode,participation_mae,34,0.00021250000000000088,20,0.27146899403305724,0.9981663177390337,False,primary_duplicate_for_complete_table
drop_dominant_mode,path_sliced_wasserstein,34,0.0002864789783330532,20,0.2132558009470813,0.9981663177390337,False,secondary_diagnostic
drop_dominant_mode,precedence_mae,34,1.0246654096997265e-05,17,0.24944742460502312,0.9981663177390337,False,secondary_diagnostic
drop_dominant_mode,rank_wasserstein,34,4.036622316751226e-05,19,0.12425233685644343,0.9981663177390337,False,primary_duplicate_for_complete_table
drop_forward,heldout_event_nll,34,0.0,0,1.0,1.0,False,secondary_diagnostic
drop_forward,participation_mae,34,0.00010051282051284915,18,0.3002570158569142,0.9981663177390337,False,primary_duplicate_for_complete_table
drop_forward,path_sliced_wasserstein,34,0.00045643919149614826,20,0.09238976787310094,0.9981663177390337,False,secondary_diagnostic
drop_forward,precedence_mae,34,4.540304472033796e-05,18,0.6129171976353973,0.9981663177390337,False,secondary_diagnostic
drop_forward,rank_wasserstein,34,1.1111242279801536e-05,17,0.41976180247729644,0.9981663177390337,False,primary_duplicate_for_complete_table
drop_reverse,heldout_event_nll,34,0.0,0,1.0,1.0,False,secondary_diagnostic
drop_reverse,participation_mae,34,-0.0001337381916328914,15,0.7989129051482289,1.0,False,primary_duplicate_for_complete_table
drop_reverse,path_sliced_wasserstein,34,-1.8780454502702326e-05,17,0.5134596157586202,0.9981663177390337,False,secondary_diagnostic
drop_reverse,precedence_mae,34,7.943460446365597e-05,17,0.11734784650616348,0.9981663177390337,False,secondary_diagnostic
drop_reverse,rank_wasserstein,34,6.211140065820117e-05,19,0.4131751204840839,0.9981663177390337,False,primary_duplicate_for_complete_table
graph,heldout_event_nll,34,0.0,0,1.0,1.0,False,secondary_diagnostic
graph,participation_mae,34,0.0009499999999999995,20,0.4932692584116012,0.9981663177390337,False,primary_duplicate_for_complete_table
graph,path_sliced_wasserstein,34,0.0011119577622488025,21,0.24409031280083582,0.9981663177390337,False,secondary_diagnostic
graph,precedence_mae,34,-8.648858917689045e-05,14,0.8453992495196871,1.0,False,secondary_diagnostic
graph,rank_wasserstein,34,6.52266810937975e-05,19,0.3364644142566249,0.9981663177390337,False,primary_duplicate_for_complete_table
inhibition,heldout_event_nll,34,0.0,0,1.0,1.0,False,secondary_diagnostic
inhibition,participation_mae,34,-0.0009615686274509483,2,0.9999999980791472,1.0,False,primary_duplicate_for_complete_table
inhibition,path_sliced_wasserstein,34,-0.00038999049085064463,10,0.9980821986100636,1.0,False,secondary_diagnostic
inhibition,precedence_mae,34,-3.294811307189005e-05,16,0.6064357033465058,0.9981663177390337,False,secondary_diagnostic
inhibition,rank_wasserstein,34,-5.350305080951273e-06,16,0.5269043137086555,0.9981663177390337,False,primary_duplicate_for_complete_table
mode_collapse,heldout_event_nll,34,0.0,0,1.0,1.0,False,secondary_diagnostic
mode_collapse,participation_mae,34,-0.0003033333333332666,12,0.6818508587311953,1.0,False,primary_duplicate_for_complete_table
mode_collapse,path_sliced_wasserstein,34,1.625603607299103e-05,17,0.6064357033465058,0.9981663177390337,False,secondary_diagnostic
mode_collapse,precedence_mae,34,4.142441699940547e-05,19,0.28858108911663294,0.9981663177390337,False,secondary_diagnostic
mode_collapse,rank_wasserstein,34,5.0379871386480035e-06,17,0.6321720012347214,0.9981663177390337,False,primary_duplicate_for_complete_table
