lesion,metric,n_patients,median_benefit,n_patients_better,wilcoxon_p_greater,wilcoxon_q_bh,pass
drop_dominant_mode,participation_mae,31,0.0002375000000000016,19,0.1449603815563023,0.7738295855621496,False
drop_dominant_mode,rank_wasserstein,31,1.75326891305172e-05,17,0.17848106054589152,0.7738295855621496,False
drop_forward,participation_mae,31,9.333333333341742e-05,16,0.41962781082838774,0.7738295855621496,False
drop_forward,rank_wasserstein,31,4.320739875060542e-05,16,0.4500416754744947,0.7738295855621496,False
drop_reverse,participation_mae,31,-6.923076923068261e-05,14,0.7566897727634994,0.8254797521056357,False
drop_reverse,rank_wasserstein,31,0.0001263080837967112,18,0.29072492523118854,0.7738295855621496,False
graph,participation_mae,31,0.00134999999999999,18,0.48074346827343106,0.7738295855621496,False
graph,rank_wasserstein,31,7.617874486529758e-05,18,0.3459603930823505,0.7738295855621496,False
inhibition,participation_mae,31,-0.0009764705882353009,2,0.9999999911524355,0.9999999911524355,False
inhibition,rank_wasserstein,31,-8.766701253500042e-06,14,0.5728052146732807,0.7738295855621496,False
mode_collapse,participation_mae,31,-0.00023999999999990695,11,0.6540396069176495,0.7848475283011794,False
mode_collapse,rank_wasserstein,31,2.365187670309854e-05,16,0.5803721891716123,0.7738295855621496,False
