subject,persistence_label,rho_propagation,rho_competition,learning_rate,seed,best_epoch,epochs_completed,validation_full_nll,validation_node_nll,validation_full_over_node_benefit,finite,runtime_seconds,peak_rss_gb,peak_cuda_allocated_gb,batch_size,target_values_read,metrics_path
epilepsiae_1077,p025_c050,0.25,0.5,0.003,17,199,200,1.0856944754987312,1.2106898337009373,0.12499535820220609,True,84.157874584198,1.1913948059082031,0.06734085083007812,2048,False,results/topic5_symmetric_axis_competitive_propagation_v2_3/development/grid/epilepsiae_1077/p025_c050/lr_0p003/seed_17/metrics.json
epilepsiae_1077,p025_c050,0.25,0.5,0.003,29,190,200,1.0857024370190274,1.2106898337009373,0.12498739668190995,True,26.5870361328125,0.5442543029785156,0.0,2048,False,results/topic5_symmetric_axis_competitive_propagation_v2_3/development/grid/epilepsiae_1077/p025_c050/lr_0p003/seed_29/metrics.json
epilepsiae_1077,p025_c050,0.25,0.5,0.01,17,118,139,1.0854751316119984,1.2106898337009373,0.12521470208893892,True,20.269248962402344,0.5430564880371094,0.0,2048,False,results/topic5_symmetric_axis_competitive_propagation_v2_3/development/grid/epilepsiae_1077/p025_c050/lr_0p01/seed_17/metrics.json
epilepsiae_1077,p025_c050,0.25,0.5,0.01,29,106,127,1.0855004066442422,1.2106898337009373,0.1251894270566951,True,18.03876543045044,0.5426254272460938,0.0,2048,False,results/topic5_symmetric_axis_competitive_propagation_v2_3/development/grid/epilepsiae_1077/p025_c050/lr_0p01/seed_29/metrics.json
epilepsiae_1077,p050_c075,0.5,0.75,0.003,17,199,200,1.082904196899462,1.2106898337009373,0.12778563680147537,True,29.186532258987427,0.5439910888671875,0.0,2048,False,results/topic5_symmetric_axis_competitive_propagation_v2_3/development/grid/epilepsiae_1077/p050_c075/lr_0p003/seed_17/metrics.json
epilepsiae_1077,p050_c075,0.5,0.75,0.003,29,190,200,1.082906647988779,1.2106898337009373,0.1277831857121583,True,28.95193314552307,0.5444526672363281,0.0,2048,False,results/topic5_symmetric_axis_competitive_propagation_v2_3/development/grid/epilepsiae_1077/p050_c075/lr_0p003/seed_29/metrics.json
epilepsiae_1077,p050_c075,0.5,0.75,0.01,17,100,121,1.0827339799545923,1.2106898337009373,0.127955853746345,True,50.73444652557373,1.1940193176269531,0.06734085083007812,2048,False,results/topic5_symmetric_axis_competitive_propagation_v2_3/development/grid/epilepsiae_1077/p050_c075/lr_0p01/seed_17/metrics.json
epilepsiae_1077,p050_c075,0.5,0.75,0.01,29,106,127,1.0827480318037888,1.2106898337009373,0.12794180189714854,True,17.36706829071045,0.5440597534179688,0.0,2048,False,results/topic5_symmetric_axis_competitive_propagation_v2_3/development/grid/epilepsiae_1077/p050_c075/lr_0p01/seed_29/metrics.json
epilepsiae_1077,p050_c090,0.5,0.9,0.003,17,199,200,1.082878175673731,1.2106898337009373,0.1278116580272064,True,29.235260009765625,0.5460548400878906,0.0,2048,False,results/topic5_symmetric_axis_competitive_propagation_v2_3/development/grid/epilepsiae_1077/p050_c090/lr_0p003/seed_17/metrics.json
epilepsiae_1077,p050_c090,0.5,0.9,0.003,29,190,200,1.0828750192016274,1.2106898337009373,0.12781481449930987,True,27.690080642700195,0.5459060668945312,0.0,2048,False,results/topic5_symmetric_axis_competitive_propagation_v2_3/development/grid/epilepsiae_1077/p050_c090/lr_0p003/seed_29/metrics.json
epilepsiae_1077,p050_c090,0.5,0.9,0.01,17,70,91,1.0827490389304586,1.2106898337009373,0.1279407947704787,True,13.916634321212769,0.544036865234375,0.0,2048,False,results/topic5_symmetric_axis_competitive_propagation_v2_3/development/grid/epilepsiae_1077/p050_c090/lr_0p01/seed_17/metrics.json
epilepsiae_1077,p050_c090,0.5,0.9,0.01,29,88,109,1.0827641891663902,1.2106898337009373,0.12792564453454713,True,14.904679536819458,0.545867919921875,0.0,2048,False,results/topic5_symmetric_axis_competitive_propagation_v2_3/development/grid/epilepsiae_1077/p050_c090/lr_0p01/seed_29/metrics.json
epilepsiae_1146,p025_c050,0.25,0.5,0.003,17,199,200,1.9532259706192348,2.0899519597647704,0.1367259891455357,True,52.4313108921051,1.1917762756347656,0.08248662948608398,2048,False,results/topic5_symmetric_axis_competitive_propagation_v2_3/development/grid/epilepsiae_1146/p025_c050/lr_0p003/seed_17/metrics.json
epilepsiae_1146,p025_c050,0.25,0.5,0.003,29,199,200,1.953221463379039,2.0899519597647704,0.13673049638573143,True,47.63888478279114,0.645111083984375,0.0,2048,False,results/topic5_symmetric_axis_competitive_propagation_v2_3/development/grid/epilepsiae_1146/p025_c050/lr_0p003/seed_29/metrics.json
epilepsiae_1146,p025_c050,0.25,0.5,0.01,17,199,200,1.9375761831761136,2.0899519597647704,0.15237577658865686,True,50.482035398483276,0.645843505859375,0.0,2048,False,results/topic5_symmetric_axis_competitive_propagation_v2_3/development/grid/epilepsiae_1146/p025_c050/lr_0p01/seed_17/metrics.json
epilepsiae_1146,p025_c050,0.25,0.5,0.01,29,199,200,1.9375780093190154,2.0899519597647704,0.15237395044575508,True,46.93972420692444,0.6400222778320312,0.0,2048,False,results/topic5_symmetric_axis_competitive_propagation_v2_3/development/grid/epilepsiae_1146/p025_c050/lr_0p01/seed_29/metrics.json
epilepsiae_1146,p050_c075,0.5,0.75,0.003,17,199,200,1.9197135073342793,2.0899519597647704,0.17023845243049118,True,51.13459753990173,0.6446342468261719,0.0,2048,False,results/topic5_symmetric_axis_competitive_propagation_v2_3/development/grid/epilepsiae_1146/p050_c075/lr_0p003/seed_17/metrics.json
epilepsiae_1146,p050_c075,0.5,0.75,0.003,29,199,200,1.9197074585659635,2.0899519597647704,0.17024450119880696,True,48.692256927490234,0.6392631530761719,0.0,2048,False,results/topic5_symmetric_axis_competitive_propagation_v2_3/development/grid/epilepsiae_1146/p050_c075/lr_0p003/seed_29/metrics.json
epilepsiae_1146,p050_c075,0.5,0.75,0.01,17,199,200,1.8998811750447062,2.0899519597647704,0.19007078472006422,True,49.82941937446594,1.2225837707519531,0.08248662948608398,2048,False,results/topic5_symmetric_axis_competitive_propagation_v2_3/development/grid/epilepsiae_1146/p050_c075/lr_0p01/seed_17/metrics.json
epilepsiae_1146,p050_c075,0.5,0.75,0.01,29,199,200,1.8998827849705868,2.0899519597647704,0.19006917479418362,True,46.63906264305115,0.6402435302734375,0.0,2048,False,results/topic5_symmetric_axis_competitive_propagation_v2_3/development/grid/epilepsiae_1146/p050_c075/lr_0p01/seed_29/metrics.json
epilepsiae_1146,p050_c090,0.5,0.9,0.003,17,199,200,1.9207458945187992,2.0899519597647704,0.16920606524597126,True,48.78757309913635,0.6426124572753906,0.0,2048,False,results/topic5_symmetric_axis_competitive_propagation_v2_3/development/grid/epilepsiae_1146/p050_c090/lr_0p003/seed_17/metrics.json
epilepsiae_1146,p050_c090,0.5,0.9,0.003,29,199,200,1.9207397546592564,2.0899519597647704,0.16921220510551405,True,46.888288497924805,0.631195068359375,0.0,2048,False,results/topic5_symmetric_axis_competitive_propagation_v2_3/development/grid/epilepsiae_1146/p050_c090/lr_0p003/seed_29/metrics.json
